Year,Geography,Gender,Indigenous identity,GeoCode,Value
2018,New Brunswick,Male,Non-Indigenous identity,,1.37
2018,New Brunswick,Female,Total,,2.06
2018,New Brunswick,Female,Indigenous identity,,6.09
2018,New Brunswick,Female,Non-Indigenous identity,,1.88
2018,Quebec,All genders,Total,24,1.0
2018,Quebec,All genders,Indigenous identity,,2.33
2018,Quebec,All genders,Non-Indigenous identity,,0.96
2018,Quebec,Male,Total,,1.58
2018,Quebec,Male,Indigenous identity,,2.76
2018,Quebec,Male,Non-Indigenous identity,,1.54
2018,Quebec,Female,Total,,0.43
2018,Quebec,Female,Indigenous identity,,1.89
2018,Quebec,Female,Non-Indigenous identity,,0.39
2018,Ontario,All genders,Total,35,1.9
2018,Ontario,All genders,Indigenous identity,,3.9
2018,Ontario,All genders,Non-Indigenous identity,,1.82
2018,Ontario,Male,Total,,2.8
2018,Ontario,Male,Indigenous identity,,4.2
2018,Ontario,Male,Non-Indigenous identity,,2.75
2018,Ontario,Female,Total,,1.02
2018,Ontario,Female,Indigenous identity,,3.6
2018,Ontario,Female,Non-Indigenous identity,,0.93
2018,Manitoba,All genders,Total,46,4.07
2018,Manitoba,All genders,Indigenous identity,,15.7
2018,Manitoba,All genders,Non-Indigenous identity,,1.37
2018,Manitoba,Male,Total,,6.36
2018,Manitoba,Male,Indigenous identity,,23.73
2018,Manitoba,Male,Non-Indigenous identity,,2.37
2018,Manitoba,Female,Total,,1.77
2018,Manitoba,Female,Indigenous identity,,7.79
2018,Manitoba,Female,Non-Indigenous identity,,0.36
2018,Saskatchewan,All genders,Total,47,3.01
2018,Saskatchewan,All genders,Indigenous identity,,11.14
2018,Saskatchewan,All genders,Non-Indigenous identity,,1.35
2018,Saskatchewan,Male,Total,,4.61
2018,Saskatchewan,Male,Indigenous identity,,18.33
2018,Saskatchewan,Male,Non-Indigenous identity,,1.85
2018,Saskatchewan,Female,Total,,1.39
2018,Saskatchewan,Female,Indigenous identity,,4.03
2018,Saskatchewan,Female,Non-Indigenous identity,,0.84
2018,Alberta,All genders,Total,48,1.93
2018,Alberta,All genders,Indigenous identity,,10.53
2018,Alberta,All genders,Non-Indigenous identity,,1.27
2018,Alberta,Male,Total,,2.86
2018,Alberta,Male,Indigenous identity,,14.44
2018,Alberta,Male,Non-Indigenous identity,,1.98
2018,Alberta,Female,Total,,0.98
2018,Alberta,Female,Indigenous identity,,6.71
2018,Alberta,Female,Non-Indigenous identity,,0.55
2018,British Columbia,All genders,Total,59,1.8
2018,British Columbia,All genders,Indigenous identity,,3.85
2018,British Columbia,All genders,Non-Indigenous identity,,1.66
2018,British Columbia,Male,Total,,2.86
2018,British Columbia,Male,Indigenous identity,,4.57
2018,British Columbia,Male,Non-Indigenous identity,,2.75
2018,British Columbia,Female,Total,,0.71
2018,British Columbia,Female,Indigenous identity,,3.15
2018,British Columbia,Female,Non-Indigenous identity,,0.55
2018,Yukon,All genders,Total,60,7.4
2018,Yukon,All genders,Indigenous identity,,21.49
2018,Yukon,All genders,Non-Indigenous identity,,3.2
2018,Yukon,Male,Total,,9.68
2018,Yukon,Male,Indigenous identity,,21.84
2018,Yukon,Male,Non-Indigenous identity,,6.22
2018,Yukon,Female,Total,,5.03
2018,Yukon,Female,Indigenous identity,,21.15
2018,Yukon,Female,Non-Indigenous identity,,0.0
2018,Northwest Territories,All genders,Total,61,13.34
2018,Northwest Territories,All genders,Indigenous identity,,21.96
2018,Northwest Territories,All genders,Non-Indigenous identity,,4.5
2018,Northwest Territories,Male,Total,,25.89
2018,Northwest Territories,Male,Indigenous identity,,43.54
2018,Northwest Territories,Male,Non-Indigenous identity,,8.55
2018,Northwest Territories,Female,Total,,0.0
2018,Northwest Territories,Female,Indigenous identity,,0.0
2018,Northwest Territories,Female,Non-Indigenous identity,,0.0
2018,Nunavut,All genders,Total,62,20.97
2018,Nunavut,All genders,Indigenous identity,,24.28
2018,Nunavut,All genders,Non-Indigenous identity,,0.0
2018,Nunavut,Male,Total,,20.42
2018,Nunavut,Male,Indigenous identity,,23.84
2018,Nunavut,Male,Non-Indigenous identity,,0.0
2018,Nunavut,Female,Total,,21.56
2018,Nunavut,Female,Indigenous identity,,24.74
2018,Nunavut,Female,Non-Indigenous identity,,0.0
2019,Canada,All genders,Indigenous identity,,9.08
2019,Canada,All genders,Non-Indigenous identity,,1.34
2019,Canada,Male,Total,,2.83
2019,Canada,Male,Indigenous identity,,13.41
2019,Canada,Male,Non-Indigenous identity,,2.13
2019,Canada,Female,Total,,0.82
2019,Canada,Female,Indigenous identity,,4.72
2019,Canada,Female,Non-Indigenous identity,,0.56
2019,Newfoundland and Labrador,All genders,Total,10,0.96
2019,Newfoundland and Labrador,All genders,Indigenous identity,,3.94
2019,Newfoundland and Labrador,All genders,Non-Indigenous identity,,0.63
2019,Newfoundland and Labrador,Male,Total,,1.16
2019,Newfoundland and Labrador,Male,Indigenous identity,,4.04
2019,Newfoundland and Labrador,Male,Non-Indigenous identity,,0.85
2019,Newfoundland and Labrador,Female,Total,,0.76
2019,Newfoundland and Labrador,Female,Indigenous identity,,3.85
2019,Newfoundland and Labrador,Female,Non-Indigenous identity,,0.42
2019,Prince Edward Island,All genders,Total,11,1.27
2019,Prince Edward Island,All genders,Indigenous identity,,0.0
2019,Prince Edward Island,All genders,Non-Indigenous identity,,1.3
2019,Prince Edward Island,Male,Total,,2.58
2019,Prince Edward Island,Male,Indigenous identity,,0.0
2019,Prince Edward Island,Male,Non-Indigenous identity,,2.63
2019,Prince Edward Island,Female,Total,,0.0
2019,Prince Edward Island,Female,Indigenous identity,,0.0
2019,Prince Edward Island,Female,Non-Indigenous identity,,0.0
2019,Nova Scotia,All genders,Total,12,0.62
2019,Nova Scotia,All genders,Indigenous identity,,3.19
2019,Nova Scotia,All genders,Non-Indigenous identity,,0.33
2019,Nova Scotia,Male,Total,,0.84
2019,Nova Scotia,Male,Indigenous identity,,3.26
2019,Nova Scotia,Male,Non-Indigenous identity,,0.68
2019,Nova Scotia,Female,Total,,0.4
2019,Nova Scotia,Female,Indigenous identity,,3.13
2019,Nova Scotia,Female,Non-Indigenous identity,,0.0
2019,New Brunswick,All genders,Total,13,2.19
2019,New Brunswick,All genders,Indigenous identity,,2.92
2019,New Brunswick,All genders,Non-Indigenous identity,,2.15
2019,New Brunswick,Male,Total,,3.12
2019,New Brunswick,Male,Indigenous identity,,5.82
2019,New Brunswick,Male,Non-Indigenous identity,,2.99
2019,New Brunswick,Female,Total,,1.27
2019,New Brunswick,Female,Indigenous identity,,0.0
2019,New Brunswick,Female,Non-Indigenous identity,,1.33
2019,Quebec,All genders,Total,24,0.92
2019,Quebec,All genders,Indigenous identity,,4.06
2019,Quebec,All genders,Non-Indigenous identity,,0.8
2019,Quebec,Male,Total,,1.32
2019,Quebec,Male,Indigenous identity,,4.45
2019,Quebec,Male,Non-Indigenous identity,,1.19
2019,Quebec,Female,Total,,0.49
2019,Quebec,Female,Indigenous identity,,3.66
2019,Quebec,Female,Non-Indigenous identity,,0.41
2019,Ontario,All genders,Total,35,1.74
2019,Ontario,All genders,Indigenous identity,,5.78
2019,Ontario,All genders,Non-Indigenous identity,,1.51
2019,Ontario,Male,Total,,2.67
2019,Ontario,Male,Indigenous identity,,7.24
2019,Ontario,Male,Non-Indigenous identity,,2.41
2019,Ontario,Female,Total,,0.79
2019,Ontario,Female,Indigenous identity,,3.93
2019,Ontario,Female,Non-Indigenous identity,,0.63
2019,Manitoba,All genders,Total,46,5.33
2019,Manitoba,All genders,Indigenous identity,,16.48
2019,Manitoba,All genders,Non-Indigenous identity,,1.98
2019,Manitoba,Male,Total,,9.2
2019,Manitoba,Male,Indigenous identity,,29.37
2019,Manitoba,Male,Non-Indigenous identity,,3.42
2019,Manitoba,Female,Total,,1.46
2019,Manitoba,Female,Indigenous identity,,3.8
2019,Manitoba,Female,Non-Indigenous identity,,0.54
2019,Saskatchewan,All genders,Total,47,4.69
2019,Saskatchewan,All genders,Indigenous identity,,18.41
2019,Saskatchewan,All genders,Non-Indigenous identity,,1.34
2019,Saskatchewan,Male,Total,,7.45
2019,Saskatchewan,Male,Indigenous identity,,29.01
2019,Saskatchewan,Male,Non-Indigenous identity,,2.45
2019,Saskatchewan,Female,Total,,1.72
2019,Saskatchewan,Female,Indigenous identity,,7.92
2019,Saskatchewan,Female,Non-Indigenous identity,,0.21
2019,Alberta,All genders,Total,48,2.29
2019,Alberta,All genders,Indigenous identity,,11.28
2019,Alberta,All genders,Non-Indigenous identity,,1.63
2019,Alberta,Male,Total,,3.42
2019,Alberta,Male,Indigenous identity,,14.76
2019,Alberta,Male,Non-Indigenous identity,,2.59
2019,Alberta,Female,Total,,1.15
2019,Alberta,Female,Indigenous identity,,7.87
2019,Alberta,Female,Non-Indigenous identity,,0.65
2019,British Columbia,All genders,Total,59,1.77
2019,British Columbia,All genders,Indigenous identity,,4.68
2019,British Columbia,All genders,Non-Indigenous identity,,1.55
2019,British Columbia,Male,Total,,2.86
2019,British Columbia,Male,Indigenous identity,,7.61
2019,British Columbia,Male,Non-Indigenous identity,,2.5
2019,British Columbia,Female,Total,,0.7
2019,British Columbia,Female,Indigenous identity,,1.84
2019,British Columbia,Female,Non-Indigenous identity,,0.62
2019,Yukon,All genders,Total,60,2.42
2019,Yukon,All genders,Indigenous identity,,10.61
2019,Yukon,All genders,Non-Indigenous identity,,0.0
2019,Yukon,Male,Total,,0.0
2019,Yukon,Male,Indigenous identity,,0.0
2019,Yukon,Male,Non-Indigenous identity,,0.0
2019,Yukon,Female,Total,,4.93
2019,Yukon,Female,Indigenous identity,,20.86
2019,Yukon,Female,Non-Indigenous identity,,0.0
2019,Northwest Territories,All genders,Total,61,4.44
2019,Northwest Territories,All genders,Indigenous identity,,8.76
2019,Northwest Territories,All genders,Non-Indigenous identity,,0.0
2019,Northwest Territories,Male,Total,,8.63
2019,Northwest Territories,Male,Indigenous identity,,17.34
2019,Northwest Territories,Male,Non-Indigenous identity,,0.0
2019,Northwest Territories,Female,Total,,0.0
2019,Northwest Territories,Female,Indigenous identity,,0.0
2019,Northwest Territories,Female,Non-Indigenous identity,,0.0
2019,Nunavut,All genders,Total,62,18.14
2019,Nunavut,All genders,Indigenous identity,,20.93
2019,Nunavut,All genders,Non-Indigenous identity,,0.0
2019,Nunavut,Male,Total,,20.2
2019,Nunavut,Male,Indigenous identity,,23.46
2019,Nunavut,Male,Non-Indigenous identity,,0.0
2019,Nunavut,Female,Total,,15.97
2019,Nunavut,Female,Indigenous identity,,18.3
2019,Nunavut,Female,Non-Indigenous identity,,0.0
2020,Canada,All genders,Indigenous identity,,10.28
2020,Canada,All genders,Non-Indigenous identity,,1.44
2020,Canada,Male,Total,,3.04
2020,Canada,Male,Indigenous identity,,16.56
2020,Canada,Male,Non-Indigenous identity,,2.16
2020,Canada,Female,Total,,0.93
2020,Canada,Female,Indigenous identity,,4.11
2020,Canada,Female,Non-Indigenous identity,,0.71
2020,Newfoundland and Labrador,All genders,Total,10,0.77
2020,Newfoundland and Labrador,All genders,Indigenous identity,,1.94
2020,Newfoundland and Labrador,All genders,Non-Indigenous identity,,0.43
2020,Newfoundland and Labrador,Male,Total,,1.55
2020,Newfoundland and Labrador,Male,Indigenous identity,,3.96
2020,Newfoundland and Labrador,Male,Non-Indigenous identity,,0.86
2020,Newfoundland and Labrador,Female,Total,,0.0
2020,Newfoundland and Labrador,Female,Indigenous identity,,0.0
2020,Newfoundland and Labrador,Female,Non-Indigenous identity,,0.0
2020,Prince Edward Island,All genders,Total,11,0.62
2020,Prince Edward Island,All genders,Indigenous identity,,0.0
2020,Prince Edward Island,All genders,Non-Indigenous identity,,0.63
2020,Prince Edward Island,Male,Total,,0.0
2020,Prince Edward Island,Male,Indigenous identity,,0.0
2020,Prince Edward Island,Male,Non-Indigenous identity,,0.0
2020,Prince Edward Island,Female,Total,,1.22
2020,Prince Edward Island,Female,Indigenous identity,,0.0
2020,Prince Edward Island,Female,Non-Indigenous identity,,1.25
2020,Nova Scotia,All genders,Total,12,3.77
2020,Nova Scotia,All genders,Indigenous identity,,1.53
2020,Nova Scotia,All genders,Non-Indigenous identity,,3.71
2020,Nova Scotia,Male,Total,,4.37
2020,Nova Scotia,Male,Indigenous identity,,0.0
2020,Nova Scotia,Male,Non-Indigenous identity,,4.46
2020,Nova Scotia,Female,Total,,3.19
2020,Nova Scotia,Female,Indigenous identity,,2.99
2020,Nova Scotia,Female,Non-Indigenous identity,,2.99
2020,New Brunswick,All genders,Total,13,1.79
2020,New Brunswick,All genders,Indigenous identity,,5.66
2020,New Brunswick,All genders,Non-Indigenous identity,,1.6
2020,New Brunswick,Male,Total,,2.84
2020,New Brunswick,Male,Indigenous identity,,11.29
2020,New Brunswick,Male,Non-Indigenous identity,,2.43
2020,New Brunswick,Female,Total,,0.76
2020,New Brunswick,Female,Indigenous identity,,0.0
2020,New Brunswick,Female,Non-Indigenous identity,,0.79
2020,Quebec,All genders,Total,24,1.01
2020,Quebec,All genders,Indigenous identity,,5.22
2020,Quebec,All genders,Non-Indigenous identity,,0.89
2020,Quebec,Male,Total,,1.47
2020,Quebec,Male,Indigenous identity,,8.59
2020,Quebec,Male,Non-Indigenous identity,,1.25
2020,Quebec,Female,Total,,0.56
2020,Quebec,Female,Indigenous identity,,1.77
2020,Quebec,Female,Non-Indigenous identity,,0.53
2020,Ontario,All genders,Total,35,1.63
2020,Ontario,All genders,Indigenous identity,,5.4
2020,Ontario,All genders,Non-Indigenous identity,,1.38
2020,Ontario,Male,Total,,2.47
2020,Ontario,Male,Indigenous identity,,8.79
2020,Ontario,Male,Non-Indigenous identity,,2.11
2020,Ontario,Female,Total,,0.78
2020,Ontario,Female,Indigenous identity,,2.12
2020,Ontario,Female,Non-Indigenous identity,,0.65
2020,Manitoba,All genders,Total,46,4.49
2020,Manitoba,All genders,Indigenous identity,,14.99
2020,Manitoba,All genders,Non-Indigenous identity,,1.26
2020,Manitoba,Male,Total,,7.4
2020,Manitoba,Male,Indigenous identity,,24.19
2020,Manitoba,Male,Non-Indigenous identity,,2.15
2020,Manitoba,Female,Total,,1.45
2020,Manitoba,Female,Indigenous identity,,5.94
2020,Manitoba,Female,Non-Indigenous identity,,0.18
2020,Saskatchewan,All genders,Total,47,5.43
2020,Saskatchewan,All genders,Indigenous identity,,23.48
2020,Saskatchewan,All genders,Non-Indigenous identity,,1.44
2020,Saskatchewan,Male,Total,,8.59
2020,Saskatchewan,Male,Indigenous identity,,37.36
2020,Saskatchewan,Male,Non-Indigenous identity,,2.23
2020,Saskatchewan,Female,Total,,2.22
2020,Saskatchewan,Female,Indigenous identity,,9.74
2020,Saskatchewan,Female,Non-Indigenous identity,,0.62
2020,Alberta,All genders,Total,48,3.19
2020,Alberta,All genders,Indigenous identity,,19.14
2020,Alberta,All genders,Non-Indigenous identity,,1.99
2020,Alberta,Male,Total,,5.22
2020,Alberta,Male,Indigenous identity,,32.12
2020,Alberta,Male,Non-Indigenous identity,,3.24
2020,Alberta,Female,Total,,1.09
2020,Alberta,Female,Indigenous identity,,6.42
2020,Alberta,Female,Non-Indigenous identity,,0.69
2020,British Columbia,All genders,Total,59,1.94
2020,British Columbia,All genders,Indigenous identity,,3.95
2020,British Columbia,All genders,Non-Indigenous identity,,1.8
2020,British Columbia,Male,Total,,2.86
2020,British Columbia,Male,Indigenous identity,,6.18
2020,British Columbia,Male,Non-Indigenous identity,,2.64
2020,British Columbia,Female,Total,,0.96
2020,British Columbia,Female,Indigenous identity,,1.79
2020,British Columbia,Female,Non-Indigenous identity,,0.9
2020,Yukon,All genders,Total,60,0.0
2020,Yukon,All genders,Indigenous identity,,0.0
2020,Yukon,All genders,Non-Indigenous identity,,0.0
2020,Yukon,Male,Total,,0.0
2020,Yukon,Male,Indigenous identity,,0.0
2020,Yukon,Male,Non-Indigenous identity,,0.0
2020,Yukon,Female,Total,,0.0
2020,Yukon,Female,Indigenous identity,,0.0
2020,Yukon,Female,Non-Indigenous identity,,0.0
2020,Northwest Territories,All genders,Total,61,13.22
2020,Northwest Territories,All genders,Indigenous identity,,17.45
2020,Northwest Territories,All genders,Non-Indigenous identity,,8.91
2020,Northwest Territories,Male,Total,,12.87
2020,Northwest Territories,Male,Indigenous identity,,17.29
2020,Northwest Territories,Male,Non-Indigenous identity,,8.51
2020,Northwest Territories,Female,Total,,13.6
2020,Northwest Territories,Female,Indigenous identity,,17.61
2020,Northwest Territories,Female,Non-Indigenous identity,,9.35
2020,Nunavut,All genders,Total,62,7.66
2020,Nunavut,All genders,Indigenous identity,,8.81
2020,Nunavut,All genders,Non-Indigenous identity,,0.0
2020,Nunavut,Male,Total,,10.0
2020,Nunavut,Male,Indigenous identity,,11.57
2020,Nunavut,Male,Non-Indigenous identity,,0.0
2020,Nunavut,Female,Total,,5.22
2020,Nunavut,Female,Indigenous identity,,5.97
2020,Nunavut,Female,Non-Indigenous identity,,0.0
2021,Canada,All genders,Indigenous identity,,9.17
2021,Canada,All genders,Non-Indigenous identity,,1.55
2021,Canada,Male,Total,,3.08
2021,Canada,Male,Indigenous identity,,14.13
2021,Canada,Male,Non-Indigenous identity,,2.3
2021,Canada,Female,Total,,1.02
2021,Canada,Female,Indigenous identity,,4.31
2021,Canada,Female,Non-Indigenous identity,,0.8
2021,Newfoundland and Labrador,All genders,Total,10,1.54
2021,Newfoundland and Labrador,All genders,Indigenous identity,,7.57
2021,Newfoundland and Labrador,All genders,Non-Indigenous identity,,0.86
2021,Newfoundland and Labrador,Male,Total,,1.95
2021,Newfoundland and Labrador,Male,Indigenous identity,,11.62
2021,Newfoundland and Labrador,Male,Non-Indigenous identity,,0.87
2021,Newfoundland and Labrador,Female,Total,,1.14
2021,Newfoundland and Labrador,Female,Indigenous identity,,3.7
2021,Newfoundland and Labrador,Female,Non-Indigenous identity,,0.85
2021,Prince Edward Island,All genders,Total,11,0.0
2021,Prince Edward Island,All genders,Indigenous identity,,0.0
2021,Prince Edward Island,All genders,Non-Indigenous identity,,0.0
2021,Prince Edward Island,Male,Total,,0.0
2021,Prince Edward Island,Male,Indigenous identity,,0.0
2021,Prince Edward Island,Male,Non-Indigenous identity,,0.0
2021,Prince Edward Island,Female,Total,,0.0
2021,Prince Edward Island,Female,Indigenous identity,,0.0
2021,Prince Edward Island,Female,Non-Indigenous identity,,0.0
2021,Nova Scotia,All genders,Total,12,2.32
2021,Nova Scotia,All genders,Indigenous identity,,2.94
2021,Nova Scotia,All genders,Non-Indigenous identity,,1.95
2021,Nova Scotia,Male,Total,,4.32
2021,Nova Scotia,Male,Indigenous identity,,6.02
2021,Nova Scotia,Male,Non-Indigenous identity,,3.76
2021,Nova Scotia,Female,Total,,0.4
2021,Nova Scotia,Female,Indigenous identity,,0.0
2021,Nova Scotia,Female,Non-Indigenous identity,,0.21
2021,New Brunswick,All genders,Total,13,1.39
2021,New Brunswick,All genders,Indigenous identity,,2.74
2021,New Brunswick,All genders,Non-Indigenous identity,,1.33
2021,New Brunswick,Male,Total,,1.79
2021,New Brunswick,Male,Indigenous identity,,5.48
2021,New Brunswick,Male,Non-Indigenous identity,,1.61
2021,New Brunswick,Female,Total,,0.75
2021,New Brunswick,Female,Indigenous identity,,0.0
2021,New Brunswick,Female,Non-Indigenous identity,,0.79
2021,Quebec,All genders,Total,24,1.02
2021,Quebec,All genders,Indigenous identity,,4.62
2021,Quebec,All genders,Non-Indigenous identity,,0.9
2021,Quebec,Male,Total,,1.32
2021,Quebec,Male,Indigenous identity,,4.97
2021,Quebec,Male,Non-Indigenous identity,,1.17
2021,Quebec,Female,Total,,0.72
2021,Quebec,Female,Indigenous identity,,4.26
2021,Quebec,Female,Non-Indigenous identity,,0.62
2021,Ontario,All genders,Total,35,1.87
2021,Ontario,All genders,Indigenous identity,,4.22
2021,Ontario,All genders,Non-Indigenous identity,,1.62
2021,Ontario,Male,Total,,2.89
2021,Ontario,Male,Indigenous identity,,6.86
2021,Ontario,Male,Non-Indigenous identity,,2.48
2021,Ontario,Female,Total,,0.87
2021,Ontario,Female,Indigenous identity,,1.66
2021,Ontario,Female,Non-Indigenous identity,,0.77
2021,Manitoba,All genders,Total,46,4.41
2021,Manitoba,All genders,Indigenous identity,,12.15
2021,Manitoba,All genders,Non-Indigenous identity,,2.16
2021,Manitoba,Male,Total,,6.37
2021,Manitoba,Male,Indigenous identity,,17.82
2021,Manitoba,Male,Non-Indigenous identity,,3.05
2021,Manitoba,Female,Total,,2.31
2021,Manitoba,Female,Indigenous identity,,6.58
2021,Manitoba,Female,Non-Indigenous identity,,1.26
2021,Saskatchewan,All genders,Total,47,5.93
2021,Saskatchewan,All genders,Indigenous identity,,25.53
2021,Saskatchewan,All genders,Non-Indigenous identity,,1.65
2021,Saskatchewan,Male,Total,,8.75
2021,Saskatchewan,Male,Indigenous identity,,40.65
2021,Saskatchewan,Male,Non-Indigenous identity,,2.04
2021,Saskatchewan,Female,Total,,2.9
2021,Saskatchewan,Female,Indigenous identity,,10.55
2021,Saskatchewan,Female,Non-Indigenous identity,,1.25
2021,Alberta,All genders,Total,48,2.66
2021,Alberta,All genders,Indigenous identity,,13.08
2021,Alberta,All genders,Non-Indigenous identity,,1.86
2021,Alberta,Male,Total,,3.94
2021,Alberta,Male,Indigenous identity,,20.63
2021,Alberta,Male,Non-Indigenous identity,,2.7
2021,Alberta,Female,Total,,1.36
2021,Alberta,Female,Indigenous identity,,5.69
2021,Alberta,Female,Non-Indigenous identity,,1.02
2021,British Columbia,All genders,Total,59,2.4
2021,British Columbia,All genders,Indigenous identity,,5.92
2021,British Columbia,All genders,Non-Indigenous identity,,2.13
2021,British Columbia,Male,Total,,3.72
2021,British Columbia,Male,Indigenous identity,,9.63
2021,British Columbia,Male,Non-Indigenous identity,,3.27
2021,British Columbia,Female,Total,,1.02
2021,British Columbia,Female,Indigenous identity,,2.33
2021,British Columbia,Female,Non-Indigenous identity,,0.93
2021,Yukon,All genders,Total,60,9.31
2021,Yukon,All genders,Indigenous identity,,20.78
2021,Yukon,All genders,Non-Indigenous identity,,5.99
2021,Yukon,Male,Total,,9.14
2021,Yukon,Male,Indigenous identity,,21.1
2021,Yukon,Male,Non-Indigenous identity,,5.83
2021,Yukon,Female,Total,,9.48
2021,Yukon,Female,Indigenous identity,,20.48
2021,Yukon,Female,Non-Indigenous identity,,6.17
2021,Northwest Territories,All genders,Total,61,2.2
2021,Northwest Territories,All genders,Indigenous identity,,4.35
2021,Northwest Territories,All genders,Non-Indigenous identity,,0.0
2021,Northwest Territories,Male,Total,,4.28
2021,Northwest Territories,Male,Indigenous identity,,8.6
2021,Northwest Territories,Male,Non-Indigenous identity,,0.0
2021,Northwest Territories,Female,Total,,0.0
2021,Northwest Territories,Female,Indigenous identity,,0.0
2021,Northwest Territories,Female,Non-Indigenous identity,,0.0
2021,Nunavut,All genders,Total,62,5.08
2021,Nunavut,All genders,Indigenous identity,,5.83
2021,Nunavut,All genders,Non-Indigenous identity,,0.0
2021,Nunavut,Male,Total,,4.98
2021,Nunavut,Male,Indigenous identity,,5.74
2021,Nunavut,Male,Non-Indigenous identity,,0.0
2021,Nunavut,Female,Total,,5.18
2021,Nunavut,Female,Indigenous identity,,5.93
2021,Nunavut,Female,Non-Indigenous identity,,0.0
