Year,Géographie,Occupation,Value
2021,Manitoba,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.0
2021,Manitoba,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",18.8
2021,Saskatchewan,Gestion,29.9
2021,Saskatchewan,Cadres supérieures,
2021,Saskatchewan,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,49.6
2021,Saskatchewan,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",38.1
2021,Saskatchewan,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.6
2021,Alberta,Gestion,34.4
2021,Alberta,Cadres supérieures,39.3
2021,Alberta,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,50.3
2021,Alberta,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.7
2021,Alberta,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",15.3
2021,Colombie-Britannique,Gestion,34.2
2021,Colombie-Britannique,Cadres supérieures,22.9
2021,Colombie-Britannique,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,43.2
2021,Colombie-Britannique,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",44.0
2021,Colombie-Britannique,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",15.3
2022,Canada,Cadres supérieures,32.5
2022,Canada,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,47.9
2022,Canada,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",39.8
2022,Canada,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.4
2022,Terre-Neuve-et-Labrador,Gestion,39.3
2022,Terre-Neuve-et-Labrador,Cadres supérieures,
2022,Terre-Neuve-et-Labrador,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,39.0
2022,Terre-Neuve-et-Labrador,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",56.9
2022,Terre-Neuve-et-Labrador,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",15.6
2022,Île-du-Prince-Édouard,Gestion,32.5
2022,Île-du-Prince-Édouard,Cadres supérieures,
2022,Île-du-Prince-Édouard,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,45.8
2022,Île-du-Prince-Édouard,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",45.5
2022,Île-du-Prince-Édouard,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",12.1
2022,Nouvelle-Écosse,Gestion,37.4
2022,Nouvelle-Écosse,Cadres supérieures,
2022,Nouvelle-Écosse,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,51.7
2022,Nouvelle-Écosse,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",44.4
2022,Nouvelle-Écosse,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",11.5
2022,Nouveau-Brunswick,Gestion,41.3
2022,Nouveau-Brunswick,Cadres supérieures,
2022,Nouveau-Brunswick,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,56.8
2022,Nouveau-Brunswick,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",45.1
2022,Nouveau-Brunswick,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",14.7
2022,Québec,Gestion,34.8
2022,Québec,Cadres supérieures,27.7
2022,Québec,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,49.7
2022,Québec,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",34.3
2022,Québec,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.4
2022,Ontario,Gestion,35.9
2022,Ontario,Cadres supérieures,39.9
2022,Ontario,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,47.1
2022,Ontario,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.3
2022,Ontario,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",13.5
2022,Manitoba,Gestion,32.9
2022,Manitoba,Cadres supérieures,43.8
2022,Manitoba,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,48.9
2022,Manitoba,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",38.3
2022,Manitoba,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.2
2022,Saskatchewan,Gestion,31.5
2022,Saskatchewan,Cadres supérieures,47.1
2022,Saskatchewan,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,48.8
2022,Saskatchewan,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.4
2022,Saskatchewan,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",14.8
2022,Alberta,Gestion,34.8
2022,Alberta,Cadres supérieures,
2022,Alberta,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,49.1
2022,Alberta,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.2
2022,Alberta,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",19.9
2022,Colombie-Britannique,Gestion,36.0
2022,Colombie-Britannique,Cadres supérieures,
2022,Colombie-Britannique,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,45.4
2022,Colombie-Britannique,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",42.2
2022,Colombie-Britannique,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",20.5
