Year,Géographie,Groupe d'activité,Groupe d'âge,Sexe,Value
2015,Prairies,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Homme,2.9
2015,Prairies,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Femme,7.1
2015,Prairies,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Homme,0.8
2015,Prairies,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Femme,1.3
2015,Prairies,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Homme,
2015,Prairies,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Femme,
2015,Prairies,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Homme,
2015,Prairies,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Femme,
2015,Prairies,Soins à un adulte du ménage,"Total, 15 ans et plus",Homme,
2015,Prairies,Soins à un adulte du ménage,"Total, 15 ans et plus",Femme,
2015,Prairies,Soins à un adulte du ménage,15 à 24 ans,Homme,
2015,Prairies,Soins à un adulte du ménage,15 à 24 ans,Femme,0.0
2015,Prairies,Soins à un adulte du ménage,25 à 54 ans,Homme,
2015,Prairies,Soins à un adulte du ménage,25 à 54 ans,Femme,
2015,Prairies,Soins à un adulte du ménage,25 à 34 ans,Homme,
2015,Prairies,Soins à un adulte du ménage,25 à 34 ans,Femme,
2015,Prairies,Soins à un adulte du ménage,35 à 44 ans,Homme,
2015,Prairies,Soins à un adulte du ménage,35 à 44 ans,Femme,
2015,Prairies,Soins à un adulte du ménage,45 à 54 ans,Homme,
2015,Prairies,Soins à un adulte du ménage,45 à 54 ans,Femme,
2015,Prairies,Soins à un adulte du ménage,55 à 64 ans,Homme,
2015,Prairies,Soins à un adulte du ménage,55 à 64 ans,Femme,
2015,Prairies,Soins à un adulte du ménage,65 ans et plus,Homme,
2015,Prairies,Soins à un adulte du ménage,65 ans et plus,Femme,
2015,Prairies,Magasinage de biens ou de services,"Total, 15 ans et plus",Homme,1.7
2015,Prairies,Magasinage de biens ou de services,"Total, 15 ans et plus",Femme,2.1
2015,Prairies,Magasinage de biens ou de services,15 à 24 ans,Homme,1.7
2015,Prairies,Magasinage de biens ou de services,15 à 24 ans,Femme,0.8
2015,Prairies,Magasinage de biens ou de services,25 à 54 ans,Homme,1.3
2015,Prairies,Magasinage de biens ou de services,25 à 54 ans,Femme,2.1
2015,Prairies,Magasinage de biens ou de services,25 à 34 ans,Homme,0.8
2015,Prairies,Magasinage de biens ou de services,25 à 34 ans,Femme,2.1
2015,Prairies,Magasinage de biens ou de services,35 à 44 ans,Homme,2.1
2015,Prairies,Magasinage de biens ou de services,35 à 44 ans,Femme,2.1
2015,Prairies,Magasinage de biens ou de services,45 à 54 ans,Homme,1.3
2015,Prairies,Magasinage de biens ou de services,45 à 54 ans,Femme,2.5
2015,Prairies,Magasinage de biens ou de services,55 à 64 ans,Homme,2.1
2015,Prairies,Magasinage de biens ou de services,55 à 64 ans,Femme,2.5
2015,Prairies,Magasinage de biens ou de services,65 ans et plus,Homme,2.9
2015,Prairies,Magasinage de biens ou de services,65 ans et plus,Femme,2.9
2015,Colombie-Britannique,Activités de travail non-rémunéré,"Total, 15 ans et plus",Homme,10.4
2015,Colombie-Britannique,Activités de travail non-rémunéré,"Total, 15 ans et plus",Femme,14.2
2015,Colombie-Britannique,Activités de travail non-rémunéré,15 à 24 ans,Homme,3.3
2015,Colombie-Britannique,Activités de travail non-rémunéré,15 à 24 ans,Femme,7.9
2015,Colombie-Britannique,Activités de travail non-rémunéré,25 à 54 ans,Homme,10.8
2015,Colombie-Britannique,Activités de travail non-rémunéré,25 à 54 ans,Femme,15.4
2015,Colombie-Britannique,Activités de travail non-rémunéré,25 à 34 ans,Homme,8.3
2015,Colombie-Britannique,Activités de travail non-rémunéré,25 à 34 ans,Femme,14.2
2015,Colombie-Britannique,Activités de travail non-rémunéré,35 à 44 ans,Homme,10.8
2015,Colombie-Britannique,Activités de travail non-rémunéré,35 à 44 ans,Femme,16.3
2015,Colombie-Britannique,Activités de travail non-rémunéré,45 à 54 ans,Homme,13.3
2015,Colombie-Britannique,Activités de travail non-rémunéré,45 à 54 ans,Femme,16.3
2015,Colombie-Britannique,Activités de travail non-rémunéré,55 à 64 ans,Homme,12.5
2015,Colombie-Britannique,Activités de travail non-rémunéré,55 à 64 ans,Femme,14.6
2015,Colombie-Britannique,Activités de travail non-rémunéré,65 ans et plus,Homme,13.3
2015,Colombie-Britannique,Activités de travail non-rémunéré,65 ans et plus,Femme,15.8
2015,Colombie-Britannique,Tâches domestiques,"Total, 15 ans et plus",Homme,7.5
2015,Colombie-Britannique,Tâches domestiques,"Total, 15 ans et plus",Femme,9.6
2015,Colombie-Britannique,Tâches domestiques,15 à 24 ans,Homme,2.1
2015,Colombie-Britannique,Tâches domestiques,15 à 24 ans,Femme,3.8
2015,Colombie-Britannique,Tâches domestiques,25 à 54 ans,Homme,7.1
2015,Colombie-Britannique,Tâches domestiques,25 à 54 ans,Femme,9.6
2015,Colombie-Britannique,Tâches domestiques,25 à 34 ans,Homme,5.0
2015,Colombie-Britannique,Tâches domestiques,25 à 34 ans,Femme,8.3
2015,Colombie-Britannique,Tâches domestiques,35 à 44 ans,Homme,5.8
2015,Colombie-Britannique,Tâches domestiques,35 à 44 ans,Femme,8.8
2015,Colombie-Britannique,Tâches domestiques,45 à 54 ans,Homme,10.4
2015,Colombie-Britannique,Tâches domestiques,45 à 54 ans,Femme,12.1
2015,Colombie-Britannique,Tâches domestiques,55 à 64 ans,Homme,9.6
2015,Colombie-Britannique,Tâches domestiques,55 à 64 ans,Femme,10.8
2015,Colombie-Britannique,Tâches domestiques,65 ans et plus,Homme,10.0
2015,Colombie-Britannique,Tâches domestiques,65 ans et plus,Femme,12.5
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Homme,1.3
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Femme,1.7
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,15 à 24 ans,Homme,0.0
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,15 à 24 ans,Femme,
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,25 à 54 ans,Homme,2.1
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,25 à 54 ans,Femme,2.9
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,25 à 34 ans,Homme,1.7
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,25 à 34 ans,Femme,3.3
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Homme,3.8
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Femme,5.0
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Homme,0.8
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Femme,1.3
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Homme,
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Femme,
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Homme,
2015,Colombie-Britannique,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Femme,
2015,Colombie-Britannique,Soins à un adulte du ménage,"Total, 15 ans et plus",Homme,
2015,Colombie-Britannique,Soins à un adulte du ménage,"Total, 15 ans et plus",Femme,
2015,Colombie-Britannique,Soins à un adulte du ménage,15 à 24 ans,Homme,
2015,Colombie-Britannique,Soins à un adulte du ménage,15 à 24 ans,Femme,0.0
2015,Colombie-Britannique,Soins à un adulte du ménage,25 à 54 ans,Homme,
2015,Colombie-Britannique,Soins à un adulte du ménage,25 à 54 ans,Femme,
2015,Colombie-Britannique,Soins à un adulte du ménage,25 à 34 ans,Homme,0.0
2015,Colombie-Britannique,Soins à un adulte du ménage,25 à 34 ans,Femme,
2015,Colombie-Britannique,Soins à un adulte du ménage,35 à 44 ans,Homme,
2015,Colombie-Britannique,Soins à un adulte du ménage,35 à 44 ans,Femme,
2015,Colombie-Britannique,Soins à un adulte du ménage,45 à 54 ans,Homme,
2015,Colombie-Britannique,Soins à un adulte du ménage,45 à 54 ans,Femme,
2015,Colombie-Britannique,Soins à un adulte du ménage,55 à 64 ans,Homme,
2015,Colombie-Britannique,Soins à un adulte du ménage,55 à 64 ans,Femme,
2015,Colombie-Britannique,Soins à un adulte du ménage,65 ans et plus,Homme,
2015,Colombie-Britannique,Soins à un adulte du ménage,65 ans et plus,Femme,
2015,Colombie-Britannique,Magasinage de biens ou de services,"Total, 15 ans et plus",Homme,1.7
2015,Colombie-Britannique,Magasinage de biens ou de services,"Total, 15 ans et plus",Femme,2.5
2015,Colombie-Britannique,Magasinage de biens ou de services,15 à 24 ans,Homme,
2015,Colombie-Britannique,Magasinage de biens ou de services,15 à 24 ans,Femme,3.8
2015,Colombie-Britannique,Magasinage de biens ou de services,25 à 54 ans,Homme,1.3
2015,Colombie-Britannique,Magasinage de biens ou de services,25 à 54 ans,Femme,2.1
2015,Colombie-Britannique,Magasinage de biens ou de services,25 à 34 ans,Homme,1.3
2015,Colombie-Britannique,Magasinage de biens ou de services,25 à 34 ans,Femme,1.7
2015,Colombie-Britannique,Magasinage de biens ou de services,35 à 44 ans,Homme,0.8
2015,Colombie-Britannique,Magasinage de biens ou de services,35 à 44 ans,Femme,2.1
2015,Colombie-Britannique,Magasinage de biens ou de services,45 à 54 ans,Homme,2.1
2015,Colombie-Britannique,Magasinage de biens ou de services,45 à 54 ans,Femme,2.5
2015,Colombie-Britannique,Magasinage de biens ou de services,55 à 64 ans,Homme,2.5
2015,Colombie-Britannique,Magasinage de biens ou de services,55 à 64 ans,Femme,2.5
2015,Colombie-Britannique,Magasinage de biens ou de services,65 ans et plus,Homme,2.5
2015,Colombie-Britannique,Magasinage de biens ou de services,65 ans et plus,Femme,2.5
