Year,Géographie,Catégorie d'utilisation des sols,Qualité de l'eau,Value
2018-2020,Océan Pacifique,Agriculture,Satisfaisante,0
2018-2020,Océan Pacifique,Foresterie,Excellente,5
2018-2020,Océan Pacifique,Foresterie,Bonne,5
2018-2020,Océan Pacifique,Foresterie,Satisfaisante,0
2018-2020,Océan Pacifique,Exploitation minière,Excellente,0
2018-2020,Océan Pacifique,Exploitation minière,Bonne,0
2018-2020,Océan Pacifique,Exploitation minière,Satisfaisante,5
2018-2020,Océan Pacifique,Peuplé,Excellente,0
2018-2020,Océan Pacifique,Peuplé,Bonne,0
2018-2020,Océan Pacifique,Peuplé,Satisfaisante,0
2018-2020,Océan Pacifique,Mixed Pressures,Excellente,0
2018-2020,Océan Pacifique,Mixed Pressures,Bonne,19
2018-2020,Océan Pacifique,Mixed Pressures,Satisfaisante,38
2018-2020,Océan Pacifique,Non aménagés,Excellente,10
2018-2020,Océan Pacifique,Non aménagés,Bonne,5
2018-2020,Océan Pacifique,Non aménagés,Satisfaisante,0
2018-2020,Océan Pacifique,Total,Excellente,14
2018-2020,Océan Pacifique,Total,Bonne,29
2018-2020,Océan Pacifique,Total,Satisfaisante,43
2018-2020,Océan Atlantique,Agriculture,Total,9
2018-2020,Océan Atlantique,Foresterie,Total,31
2018-2020,Océan Atlantique,Exploitation minière,Total,4
2018-2020,Océan Atlantique,Pressions mixtes,Total,14
2018-2020,Océan Atlantique,Peuplé,Total,0
2018-2020,Océan Atlantique,Non aménagés,Total,30
2018-2020,Great Lakes and St. Lawrence River,Agriculture,Total,11
2018-2020,Great Lakes and St. Lawrence River,Foresterie,Total,2
2018-2020,Great Lakes and St. Lawrence River,Exploitation minière,Total,6
2018-2020,Great Lakes and St. Lawrence River,Pressions mixtes,Total,40
2018-2020,Great Lakes and St. Lawrence River,Peuplé,Total,2
2018-2020,Great Lakes and St. Lawrence River,Non aménagés,Total,9
2018-2020,Baie d'Hudson,Agriculture,Total,41
2018-2020,Baie d'Hudson,Foresterie,Total,0
2018-2020,Baie d'Hudson,Exploitation minière,Total,0
2018-2020,Baie d'Hudson,Pressions mixtes,Total,47
2018-2020,Baie d'Hudson,Peuplé,Total,0
2018-2020,Baie d'Hudson,Non aménagés,Total,5
2018-2020,Fleuve Mackenzie,Agriculture,Total,0
2018-2020,Fleuve Mackenzie,Foresterie,Total,0
2018-2020,Fleuve Mackenzie,Exploitation minière,Total,18
2018-2020,Fleuve Mackenzie,Pressions mixtes,Total,47
2018-2020,Fleuve Mackenzie,Peuplé,Total,0
2018-2020,Fleuve Mackenzie,Non aménagés,Total,36
2018-2020,Océan Pacifique,Agriculture,Total,0
2018-2020,Océan Pacifique,Foresterie,Total,10
2018-2020,Océan Pacifique,Exploitation minière,Total,5
2018-2020,Océan Pacifique,Mixed Pressures,Total,57
2018-2020,Océan Pacifique,Peuplé,Total,0
2018-2020,Océan Pacifique,Non aménagés,Total,15
