Year,Geography,Type of provider,Value
2021,Canada,Nurse practitioners,19.3
2021,Canada,Occupational therapists,52.5
2021,Canada,Opticians,15.3
2021,Canada,Optometrists,18.0
2021,Canada,Paramedics,96.7
2021,Canada,Pharmacists,119.4
2021,Canada,Pharmacy technicians,34.5
2021,Canada,Pharmacy technicians,34.5
2021,Canada,Physician assistants,2.4
2021,Canada,Physicians,245.8
2021,Canada,Physiotherapists,70.8
2021,Canada,Psychologists,52.9
2021,Canada,Registered nurses,816.8
2021,Canada,Registered psychiatric nurses,51.7
2021,Canada,Regulated nurses,1235.2
2021,Canada,Respiratory therapists,32.0
2021,Canada,Respiratory therapists,32.0
2021,Canada,Social workers,177.4
2021,Canada,Specialists,122.0
2021,Canada,Speech language pathologists,29.3
2015,Manitoba,Audiologists,5.6
2015,Manitoba,Chiropractors,22.2
2015,Manitoba,Dental assistants,95.3
2015,Manitoba,Dental hygienists,53.2
2015,Manitoba,Dentists,53.9
2015,Manitoba,Dietitians,36.8
2015,Manitoba,Environmental public health professionals,5.5
2015,Manitoba,Family medicine,107.3
2015,Manitoba,Genetic counsellors,0.6
2015,Manitoba,Health information management professionals,
2015,Manitoba,Health information management professionals,0.0
2015,Manitoba,Licensed practical nurses,247.8
2015,Manitoba,Medical laboratory technologists,81.1
2015,Manitoba,Medical physicists,1.5
2015,Manitoba,Medical radiation technologists,54.9
2015,Manitoba,Midwives,4.0
2015,Manitoba,Nurse practitioners,11.8
2015,Manitoba,Occupational therapists,50.0
2015,Manitoba,Opticians,
2015,Manitoba,Opticians,0.0
2015,Manitoba,Optometrists,12.4
2015,Manitoba,Paramedics,199.3
2015,Manitoba,Pharmacists,112.2
2015,Manitoba,Pharmacy technicians,
2015,Manitoba,Pharmacy technicians,0.0
2015,Manitoba,Physician assistants,4.5
2015,Manitoba,Physicians,205.8
2015,Manitoba,Physiotherapists,54.7
2015,Manitoba,Psychologists,
2015,Manitoba,Psychologists,0.0
2015,Manitoba,Registered nurses,977.7
2015,Manitoba,Registered psychiatric nurses,77.1
2015,Manitoba,Regulated nurses,1314.3
2015,Manitoba,Respiratory therapists,
2015,Manitoba,Respiratory therapists,0.0
2015,Manitoba,Social workers,92.9
2015,Manitoba,Specialists,98.5
2015,Manitoba,Speech language pathologists,27.7
2016,Manitoba,Audiologists,5.4
2016,Manitoba,Chiropractors,22.3
2016,Manitoba,Dental assistants,98.6
2016,Manitoba,Dental hygienists,55.5
2016,Manitoba,Dentists,54.6
2016,Manitoba,Dietitians,37.2
2016,Manitoba,Environmental public health professionals,5.4
2016,Manitoba,Family medicine,108.3
2016,Manitoba,Genetic counsellors,0.6
2016,Manitoba,Health information management professionals,12.3
2016,Manitoba,Licensed practical nurses,246.2
2016,Manitoba,Medical laboratory technologists,63.2
2016,Manitoba,Medical physicists,1.4
2016,Manitoba,Medical radiation technologists,53.3
2016,Manitoba,Midwives,4.0
2016,Manitoba,Nurse practitioners,12.4
2016,Manitoba,Occupational therapists,48.1
2016,Manitoba,Opticians,20.9
2016,Manitoba,Optometrists,12.6
2016,Manitoba,Paramedics,204.8
2016,Manitoba,Pharmacists,116.0
2016,Manitoba,Pharmacy technicians,
2016,Manitoba,Pharmacy technicians,0.0
2016,Manitoba,Physician assistants,6.2
2016,Manitoba,Physicians,209.1
2016,Manitoba,Physiotherapists,55.5
2016,Manitoba,Psychologists,16.1
2016,Manitoba,Registered nurses,966.9
2016,Manitoba,Registered psychiatric nurses,77.8
2016,Manitoba,Regulated nurses,1303.3
2016,Manitoba,Respiratory therapists,25.0
2016,Manitoba,Social workers,153.5
2016,Manitoba,Specialists,100.8
2016,Manitoba,Speech language pathologists,27.5
2016,Manitoba,Speech language pathologists,27.5
2017,Manitoba,Audiologists,5.7
2017,Manitoba,Chiropractors,22.3
2017,Manitoba,Dental assistants,100.5
2017,Manitoba,Dental hygienists,55.4
2017,Manitoba,Dentists,53.3
2017,Manitoba,Dietitians,36.4
2017,Manitoba,Environmental public health professionals,5.2
2017,Manitoba,Family medicine,111.0
2017,Manitoba,Genetic counsellors,0.4
2017,Manitoba,Health information management professionals,11.7
2017,Manitoba,Licensed practical nurses,248.2
2017,Manitoba,Medical laboratory technologists,73.5
2017,Manitoba,Medical physicists,1.6
2017,Manitoba,Medical radiation technologists,64.5
2017,Manitoba,Midwives,6.1
2017,Manitoba,Nurse practitioners,13.3
2017,Manitoba,Occupational therapists,48.6
2017,Manitoba,Opticians,15.1
2017,Manitoba,Optometrists,13.3
2017,Manitoba,Paramedics,211.9
2017,Manitoba,Pharmacists,118.0
2017,Manitoba,Pharmacy technicians,
2017,Manitoba,Pharmacy technicians,0.0
2017,Manitoba,Physician assistants,
2017,Manitoba,Physician assistants,0.0
2017,Manitoba,Physicians,212.2
2017,Manitoba,Physiotherapists,56.9
2017,Manitoba,Psychologists,19.6
2017,Manitoba,Psychotherapists/counselling therapists,
2017,Manitoba,Psychotherapists/counselling therapists,0.0
2017,Manitoba,Registered nurses,983.4
2017,Manitoba,Registered psychiatric nurses,79.0
2017,Manitoba,Regulated nurses,1323.9
2017,Manitoba,Respiratory therapists,25.6
2017,Manitoba,Social workers,154.0
2017,Manitoba,Specialists,101.3
2017,Manitoba,Speech language pathologists,28.8
2017,Manitoba,Speech language pathologists,28.8
2018,Manitoba,Audiologists,5.1
2018,Manitoba,Chiropractors,22.2
2018,Manitoba,Dental assistants,
2018,Manitoba,Dental assistants,0.0
2018,Manitoba,Dental hygienists,56.0
2018,Manitoba,Dentists,54.0
2018,Manitoba,Dietitians,35.4
2018,Manitoba,Environmental public health professionals,5.3
2018,Manitoba,Family medicine,110.0
2018,Manitoba,Genetic counsellors,0.6
2018,Manitoba,Health information management professionals,
2018,Manitoba,Health information management professionals,0.0
2018,Manitoba,Licensed practical nurses,249.3
2018,Manitoba,Medical laboratory technologists,70.5
2018,Manitoba,Medical physicists,1.6
2018,Manitoba,Medical radiation technologists,62.2
2018,Manitoba,Midwives,5.7
2018,Manitoba,Nurse practitioners,14.3
2018,Manitoba,Occupational therapists,50.0
2018,Manitoba,Opticians,
2018,Manitoba,Opticians,0.0
2018,Manitoba,Optometrists,13.2
2018,Manitoba,Paramedics,223.8
2018,Manitoba,Pharmacists,119.7
2018,Manitoba,Pharmacy technicians,7.5
2018,Manitoba,Physician assistants,7.2
2018,Manitoba,Physicians,215.7
2018,Manitoba,Physiotherapists,58.3
2018,Manitoba,Psychologists,19.5
2018,Manitoba,Psychotherapists/counselling therapists,
2018,Manitoba,Psychotherapists/counselling therapists,0.0
2018,Manitoba,Registered nurses,973.7
2018,Manitoba,Registered psychiatric nurses,79.6
2018,Manitoba,Regulated nurses,1316.9
2018,Manitoba,Respiratory therapists,25.1
2018,Manitoba,Social workers,160.2
2018,Manitoba,Specialists,105.7
2018,Manitoba,Speech language pathologists,28.8
2018,Manitoba,Speech language pathologists,28.8
2019,Manitoba,Audiologists,5.0
2019,Manitoba,Chiropractors,21.5
2019,Manitoba,Dental assistants,
2019,Manitoba,Dental assistants,0.0
2019,Manitoba,Dental hygienists,56.4
2019,Manitoba,Dentists,53.7
2019,Manitoba,Dietitians,35.3
2019,Manitoba,Environmental public health professionals,5.0
2019,Manitoba,Family medicine,108.8
2019,Manitoba,Genetic counsellors,0.9
2019,Manitoba,Health information management professionals,12.1
2019,Manitoba,Licensed practical nurses,256.8
2019,Manitoba,Medical laboratory technologists,69.8
2019,Manitoba,Medical physicists,1.7
2019,Manitoba,Medical radiation technologists,62.0
2019,Manitoba,Midwives,4.3
2019,Manitoba,Nurse practitioners,15.8
2019,Manitoba,Occupational therapists,50.4
2019,Manitoba,Opticians,17.0
2019,Manitoba,Optometrists,13.7
2019,Manitoba,Paramedics,273.7
2019,Manitoba,Pharmacists,119.6
2019,Manitoba,Pharmacy technicians,12.9
2019,Manitoba,Physician assistants,9.8
2019,Manitoba,Physicians,217.5
2019,Manitoba,Physiotherapists,59.4
2019,Manitoba,Psychologists,19.4
2019,Manitoba,Psychotherapists/counselling therapists,
2019,Manitoba,Psychotherapists/counselling therapists,0.0
2019,Manitoba,Registered nurses,948.6
2019,Manitoba,Registered psychiatric nurses,77.7
2019,Manitoba,Regulated nurses,1298.9
2019,Manitoba,Respiratory therapists,24.2
2019,Manitoba,Social workers,165.8
2019,Manitoba,Specialists,108.6
2019,Manitoba,Speech language pathologists,28.9
2019,Manitoba,Speech language pathologists,28.9
2020,Manitoba,Audiologists,5.0
2020,Manitoba,Chiropractors,21.4
2020,Manitoba,Dental assistants,96.3
2020,Manitoba,Dental hygienists,58.1
2020,Manitoba,Dentists,59.4
2020,Manitoba,Dietitians,35.6
2020,Manitoba,Environmental public health professionals,5.4
2020,Manitoba,Family medicine,108.2
2020,Manitoba,Genetic counsellors,0.9
2020,Manitoba,Health information management professionals,11.9
2020,Manitoba,Licensed practical nurses,258.0
2020,Manitoba,Medical laboratory technologists,69.2
2020,Manitoba,Medical physicists,0.9
2020,Manitoba,Medical radiation technologists,64.2
2020,Manitoba,Midwives,4.0
2020,Manitoba,Nurse practitioners,16.9
2020,Manitoba,Occupational therapists,52.3
2020,Manitoba,Opticians,
2020,Manitoba,Opticians,0.0
2020,Manitoba,Optometrists,13.9
2020,Manitoba,Paramedics,
2020,Manitoba,Paramedics,0.0
2020,Manitoba,Pharmacists,120.4
2020,Manitoba,Pharmacy technicians,15.4
2020,Manitoba,Physician assistants,8.9
2020,Manitoba,Physicians,216.3
2020,Manitoba,Physiotherapists,63.4
2020,Manitoba,Psychologists,20.9
2020,Manitoba,Psychotherapists/counselling therapists,
2020,Manitoba,Psychotherapists/counselling therapists,0.0
2020,Manitoba,Registered nurses,931.2
2020,Manitoba,Registered psychiatric nurses,74.8
2020,Manitoba,Regulated nurses,1280.8
2020,Manitoba,Respiratory therapists,24.8
2020,Manitoba,Social workers,182.5
2020,Manitoba,Specialists,108.1
2020,Manitoba,Speech language pathologists,28.6
2020,Manitoba,Speech language pathologists,28.6
2021,Manitoba,Audiologists,5.6
2021,Manitoba,Chiropractors,21.2
2021,Manitoba,Chiropractors,21.2
2021,Manitoba,Dental assistants,95.7
2021,Manitoba,Dental hygienists,58.5
2021,Manitoba,Dentists,54.4
2021,Manitoba,Dietitians,36.1
2021,Manitoba,Environmental public health professionals,5.3
2021,Manitoba,Family medicine,108.8
2021,Manitoba,Genetic counsellors,0.9
2021,Manitoba,Health information management professionals,8.5
2021,Manitoba,Licensed practical nurses,266.9
2021,Manitoba,Medical laboratory technologists,67.2
2021,Manitoba,Medical physicists,0.9
2021,Manitoba,Medical radiation technologists,64.5
2021,Manitoba,Midwives,4.6
2021,Manitoba,Nurse practitioners,19.9
2021,Manitoba,Occupational therapists,54.4
2021,Manitoba,Opticians,17.6
2021,Manitoba,Optometrists,13.7
2021,Manitoba,Paramedics,154.5
2021,Manitoba,Pharmacists,117.7
2021,Manitoba,Pharmacy technicians,16.2
2021,Manitoba,Physician assistants,10.0
2021,Manitoba,Physicians,216.5
2021,Manitoba,Physiotherapists,66.6
2021,Manitoba,Psychologists,20.2
2021,Manitoba,Psychotherapists/counselling therapists,
2021,Manitoba,Psychotherapists/counselling therapists,0.0
2021,Manitoba,Registered nurses,950.2
2021,Manitoba,Registered psychiatric nurses,80.4
2021,Manitoba,Regulated nurses,1317.3
2021,Manitoba,Respiratory therapists,27.0
2021,Manitoba,Social workers,189.0
2021,Manitoba,Specialists,107.7
2021,Manitoba,Speech language pathologists,30.2
2015,New Brunswick,Audiologists,9.9
2015,New Brunswick,Chiropractors,10.3
2015,New Brunswick,Dental assistants,71.0
2015,New Brunswick,Dental hygienists,63.3
2015,New Brunswick,Dentists,43.1
2015,New Brunswick,Dietitians,46.4
2015,New Brunswick,Environmental public health professionals,7.0
2015,New Brunswick,Family medicine,120.4
2015,New Brunswick,Genetic counsellors,
2015,New Brunswick,Genetic counsellors,0.0
2015,New Brunswick,Health information management professionals,
2015,New Brunswick,Health information management professionals,0.0
2015,New Brunswick,Licensed practical nurses,432.1
2015,New Brunswick,Medical laboratory technologists,84.6
2015,New Brunswick,Medical physicists,1.8
2015,New Brunswick,Medical radiation technologists,74.7
2015,New Brunswick,Midwives,0.0
2015,New Brunswick,Nurse practitioners,14.4
2015,New Brunswick,Occupational therapists,45.3
2015,New Brunswick,Opticians,
2015,New Brunswick,Opticians,0.0
2015,New Brunswick,Optometrists,15.6
2015,New Brunswick,Paramedics,160.1
2015,New Brunswick,Pharmacists,113.5
2015,New Brunswick,Pharmacy technicians,2.9
2015,New Brunswick,Physician assistants,0.7
2015,New Brunswick,Physicians,220.6
2015,New Brunswick,Physiotherapists,67.1
2015,New Brunswick,Psychologists,
2015,New Brunswick,Psychologists,0.0
2015,New Brunswick,Registered nurses,1085.9
2015,New Brunswick,Registered psychiatric nurses,
2015,New Brunswick,Registered psychiatric nurses,0.0
2015,New Brunswick,Regulated nurses,1532.3
2015,New Brunswick,Respiratory therapists,48.6
2015,New Brunswick,Social workers,221.9
2015,New Brunswick,Specialists,100.2
2015,New Brunswick,Speech language pathologists,31.4
2015,New Brunswick,Speech language pathologists,31.4
2016,New Brunswick,Audiologists,10.1
2016,New Brunswick,Chiropractors,11.4
2016,New Brunswick,Dental assistants,69.2
2016,New Brunswick,Dental hygienists,64.1
2016,New Brunswick,Dentists,44.1
2016,New Brunswick,Dietitians,49.0
2016,New Brunswick,Environmental public health professionals,5.9
2016,New Brunswick,Family medicine,125.8
2016,New Brunswick,Genetic counsellors,
2016,New Brunswick,Genetic counsellors,0.0
2016,New Brunswick,Health information management professionals,16.2
2016,New Brunswick,Licensed practical nurses,438.2
2016,New Brunswick,Medical laboratory technologists,87.1
2016,New Brunswick,Medical physicists,1.8
2016,New Brunswick,Medical radiation technologists,76.2
2016,New Brunswick,Midwives,0.0
2016,New Brunswick,Nurse practitioners,15.3
2016,New Brunswick,Occupational therapists,46.8
2016,New Brunswick,Opticians,27.4
2016,New Brunswick,Opticians,27.4
2016,New Brunswick,Optometrists,16.2
2016,New Brunswick,Paramedics,
2016,New Brunswick,Paramedics,0.0
2016,New Brunswick,Pharmacists,113.3
2016,New Brunswick,Pharmacy technicians,5.0
2016,New Brunswick,Physician assistants,1.0
2016,New Brunswick,Physicians,227.3
2016,New Brunswick,Physiotherapists,67.6
2016,New Brunswick,Psychologists,47.7
2016,New Brunswick,Registered nurses,1052.3
2016,New Brunswick,Registered psychiatric nurses,
2016,New Brunswick,Registered psychiatric nurses,0.0
2016,New Brunswick,Regulated nurses,1505.9
2016,New Brunswick,Respiratory therapists,46.9
2016,New Brunswick,Social workers,228.3
2016,New Brunswick,Specialists,101.5
2016,New Brunswick,Speech language pathologists,32.1
2016,New Brunswick,Speech language pathologists,32.1
2017,New Brunswick,Audiologists,9.8
2017,New Brunswick,Chiropractors,11.0
2017,New Brunswick,Dental assistants,70.2
2017,New Brunswick,Dental hygienists,66.3
2017,New Brunswick,Dentists,41.9
2017,New Brunswick,Dietitians,48.7
2017,New Brunswick,Environmental public health professionals,6.5
2017,New Brunswick,Family medicine,128.9
2017,New Brunswick,Genetic counsellors,
2017,New Brunswick,Genetic counsellors,0.0
2017,New Brunswick,Health information management professionals,16.7
2017,New Brunswick,Licensed practical nurses,424.2
2017,New Brunswick,Medical laboratory technologists,84.4
2017,New Brunswick,Medical physicists,1.7
2017,New Brunswick,Medical radiation technologists,79.6
2017,New Brunswick,Midwives,0.4
2017,New Brunswick,Nurse practitioners,16.3
2017,New Brunswick,Occupational therapists,48.0
2017,New Brunswick,Opticians,29.2
2017,New Brunswick,Optometrists,15.9
2017,New Brunswick,Paramedics,
2017,New Brunswick,Paramedics,0.0
2017,New Brunswick,Pharmacists,119.1
2017,New Brunswick,Pharmacy technicians,10.6
2017,New Brunswick,Physician assistants,1.3
2017,New Brunswick,Physicians,234.4
2017,New Brunswick,Physiotherapists,66.4
2017,New Brunswick,Psychologists,47.2
2017,New Brunswick,Psychotherapists/counselling therapists,
2017,New Brunswick,Psychotherapists/counselling therapists,0.0
2017,New Brunswick,Registered nurses,1049.4
2017,New Brunswick,Registered psychiatric nurses,
2017,New Brunswick,Registered psychiatric nurses,0.0
2017,New Brunswick,Regulated nurses,1489.9
2017,New Brunswick,Respiratory therapists,50.7
2017,New Brunswick,Social workers,254.1
2017,New Brunswick,Specialists,105.5
2017,New Brunswick,Speech language pathologists,31.4
2017,New Brunswick,Speech language pathologists,31.4
2018,New Brunswick,Audiologists,9.9
2018,New Brunswick,Chiropractors,12.2
2018,New Brunswick,Dental assistants,
2018,New Brunswick,Dental assistants,0.0
2018,New Brunswick,Dental hygienists,65.9
2018,New Brunswick,Dentists,42.3
2018,New Brunswick,Dietitians,51.1
2018,New Brunswick,Environmental public health professionals,6.5
2018,New Brunswick,Family medicine,133.2
2018,New Brunswick,Genetic counsellors,
2018,New Brunswick,Genetic counsellors,0.0
2018,New Brunswick,Health information management professionals,
2018,New Brunswick,Health information management professionals,0.0
2018,New Brunswick,Licensed practical nurses,440.6
2018,New Brunswick,Medical laboratory technologists,82.7
2018,New Brunswick,Medical physicists,1.7
2018,New Brunswick,Medical radiation technologists,77.2
2018,New Brunswick,Midwives,0.5
2018,New Brunswick,Nurse practitioners,16.9
2018,New Brunswick,Occupational therapists,48.4
2018,New Brunswick,Opticians,
2018,New Brunswick,Opticians,0.0
2018,New Brunswick,Optometrists,15.4
2018,New Brunswick,Paramedics,
2018,New Brunswick,Paramedics,0.0
2018,New Brunswick,Pharmacists,118.7
2018,New Brunswick,Pharmacy technicians,17.7
2018,New Brunswick,Physician assistants,1.2
2018,New Brunswick,Physicians,244.7
2018,New Brunswick,Physiotherapists,70.2
2018,New Brunswick,Psychologists,46.2
2018,New Brunswick,Psychotherapists/counselling therapists,
2018,New Brunswick,Psychotherapists/counselling therapists,0.0
2018,New Brunswick,Registered nurses,1043.4
2018,New Brunswick,Registered psychiatric nurses,
2018,New Brunswick,Registered psychiatric nurses,0.0
2018,New Brunswick,Regulated nurses,1500.8
2018,New Brunswick,Respiratory therapists,53.2
2018,New Brunswick,Social workers,262.4
2018,New Brunswick,Specialists,111.5
2018,New Brunswick,Speech language pathologists,31.5
2018,New Brunswick,Speech language pathologists,31.5
2019,New Brunswick,Audiologists,10.3
2019,New Brunswick,Chiropractors,12.7
2019,New Brunswick,Dental assistants,69.0
2019,New Brunswick,Dental hygienists,66.5
2019,New Brunswick,Dentists,42.6
2019,New Brunswick,Dietitians,49.8
2019,New Brunswick,Environmental public health professionals,6.3
2019,New Brunswick,Family medicine,136.1
2019,New Brunswick,Genetic counsellors,
2019,New Brunswick,Genetic counsellors,0.0
2019,New Brunswick,Health information management professionals,16.1
2019,New Brunswick,Licensed practical nurses,422.8
2019,New Brunswick,Medical laboratory technologists,84.8
2019,New Brunswick,Medical physicists,1.7
2019,New Brunswick,Medical radiation technologists,74.6
2019,New Brunswick,Midwives,0.9
2019,New Brunswick,Nurse practitioners,17.9
2019,New Brunswick,Occupational therapists,51.9
2019,New Brunswick,Opticians,32.6
2019,New Brunswick,Opticians,32.6
2019,New Brunswick,Optometrists,16.5
2019,New Brunswick,Paramedics,
2019,New Brunswick,Paramedics,0.0
2019,New Brunswick,Pharmacists,118.0
2019,New Brunswick,Pharmacy technicians,31.4
2019,New Brunswick,Pharmacy technicians,31.4
2019,New Brunswick,Physician assistants,1.2
2019,New Brunswick,Physicians,247.4
2019,New Brunswick,Physiotherapists,73.0
2019,New Brunswick,Psychologists,46.8
2019,New Brunswick,Psychotherapists/counselling therapists,
2019,New Brunswick,Psychotherapists/counselling therapists,0.0
2019,New Brunswick,Registered nurses,1031.9
2019,New Brunswick,Registered psychiatric nurses,
2019,New Brunswick,Registered psychiatric nurses,0.0
2019,New Brunswick,Regulated nurses,1472.6
2019,New Brunswick,Respiratory therapists,55.2
2019,New Brunswick,Social workers,266.2
2019,New Brunswick,Specialists,111.3
2019,New Brunswick,Speech language pathologists,32.2
2020,New Brunswick,Audiologists,10.5
2020,New Brunswick,Chiropractors,14.0
2020,New Brunswick,Dental assistants,72.8
2020,New Brunswick,Dental hygienists,68.4
2020,New Brunswick,Dentists,45.3
2020,New Brunswick,Dietitians,49.3
2020,New Brunswick,Environmental public health professionals,5.7
2020,New Brunswick,Family medicine,136.9
2020,New Brunswick,Genetic counsellors,
2020,New Brunswick,Genetic counsellors,0.0
2020,New Brunswick,Health information management professionals,15.3
2020,New Brunswick,Licensed practical nurses,392.7
2020,New Brunswick,Medical laboratory technologists,83.6
2020,New Brunswick,Medical physicists,0.8
2020,New Brunswick,Medical radiation technologists,76.4
2020,New Brunswick,Midwives,0.9
2020,New Brunswick,Nurse practitioners,18.9
2020,New Brunswick,Occupational therapists,51.3
2020,New Brunswick,Opticians,
2020,New Brunswick,Opticians,0.0
2020,New Brunswick,Optometrists,16.5
2020,New Brunswick,Paramedics,
2020,New Brunswick,Paramedics,0.0
2020,New Brunswick,Pharmacists,115.2
2020,New Brunswick,Pharmacy technicians,30.9
2020,New Brunswick,Physician assistants,1.3
2020,New Brunswick,Physicians,248.8
2020,New Brunswick,Physiotherapists,75.2
2020,New Brunswick,Psychologists,46.5
2020,New Brunswick,Psychotherapists/counselling therapists,
2020,New Brunswick,Psychotherapists/counselling therapists,0.0
2020,New Brunswick,Registered nurses,1018.1
2020,New Brunswick,Registered psychiatric nurses,
2020,New Brunswick,Registered psychiatric nurses,0.0
2020,New Brunswick,Regulated nurses,1429.8
2020,New Brunswick,Respiratory therapists,55.2
2020,New Brunswick,Social workers,270.6
2020,New Brunswick,Specialists,112.0
2020,New Brunswick,Speech language pathologists,32.8
2020,New Brunswick,Speech language pathologists,32.8
2021,New Brunswick,Audiologists,10.4
2021,New Brunswick,Chiropractors,13.8
2021,New Brunswick,Dental assistants,77.8
2021,New Brunswick,Dental hygienists,69.1
2021,New Brunswick,Dentists,45.7
2021,New Brunswick,Dietitians,48.5
2021,New Brunswick,Environmental public health professionals,5.2
2021,New Brunswick,Family medicine,139.8
2021,New Brunswick,Genetic counsellors,
2021,New Brunswick,Genetic counsellors,0.0
2021,New Brunswick,Health information management professionals,13.8
2021,New Brunswick,Licensed practical nurses,433.6
2021,New Brunswick,Medical laboratory technologists,84.6
2021,New Brunswick,Medical physicists,0.6
2021,New Brunswick,Medical radiation technologists,76.5
2021,New Brunswick,Midwives,0.8
2021,New Brunswick,Nurse practitioners,20.1
2021,New Brunswick,Occupational therapists,52.1
2021,New Brunswick,Opticians,34.5
2021,New Brunswick,Opticians,34.5
2021,New Brunswick,Optometrists,16.5
2021,New Brunswick,Paramedics,
2021,New Brunswick,Paramedics,0.0
2021,New Brunswick,Pharmacists,114.3
2021,New Brunswick,Pharmacy technicians,31.8
2021,New Brunswick,Physician assistants,0.9
2021,New Brunswick,Physicians,256.2
2021,New Brunswick,Physiotherapists,73.4
2021,New Brunswick,Psychologists,50.6
2021,New Brunswick,Psychotherapists/counselling therapists,46.9
2021,New Brunswick,Registered nurses,1019.4
2021,New Brunswick,Registered psychiatric nurses,
2021,New Brunswick,Registered psychiatric nurses,0.0
2021,New Brunswick,Regulated nurses,1473.1
2021,New Brunswick,Respiratory therapists,55.0
2021,New Brunswick,Social workers,278.1
2021,New Brunswick,Specialists,116.4
2021,New Brunswick,Speech language pathologists,31.5
2021,New Brunswick,Speech language pathologists,31.5
2015,Newfoundland,Audiologists,6.2
2015,Newfoundland,Chiropractors,
2015,Newfoundland,Chiropractors,0.0
2015,Newfoundland,Dental assistants,
2015,Newfoundland,Dental assistants,0.0
2015,Newfoundland,Dental hygienists,39.2
2015,Newfoundland,Dentists,38.8
2015,Newfoundland,Dietitians,33.7
2015,Newfoundland,Environmental public health professionals,5.3
2015,Newfoundland,Family medicine,126.1
2015,Newfoundland,Genetic counsellors,1.7
2015,Newfoundland,Health information management professionals,
2015,Newfoundland,Health information management professionals,0.0
2015,Newfoundland,Licensed practical nurses,436.3
2015,Newfoundland,Medical laboratory technologists,102.6
2015,Newfoundland,Medical physicists,1.1
2015,Newfoundland,Medical radiation technologists,68.4
2015,Newfoundland,Midwives,
2015,Newfoundland,Midwives,0.0
2015,Newfoundland,Nurse practitioners,25.8
2015,Newfoundland,Occupational therapists,38.8
2015,Newfoundland,Opticians,
2015,Newfoundland,Opticians,0.0
2015,Newfoundland,Optometrists,11.6
2015,Newfoundland,Paramedics,
2015,Newfoundland,Paramedics,0.0
2015,Newfoundland,Pharmacists,136.0
2015,Newfoundland,Pharmacy technicians,1.1
2015,Newfoundland,Physician assistants,0.2
2015,Newfoundland,Physicians,242.7
2015,Newfoundland,Physiotherapists,50.9
2015,Newfoundland,Psychologists,44.7
2015,Newfoundland,Registered nurses,1137.6
2015,Newfoundland,Regulated nurses,1599.6
2015,Newfoundland,Respiratory therapists,26.7
2015,Newfoundland,Social workers,283.6
2015,Newfoundland,Specialists,116.6
2015,Newfoundland,Speech language pathologists,25.2
2015,Newfoundland,Speech language pathologists,25.2
2016,Newfoundland,Audiologists,7.4
2016,Newfoundland,Chiropractors,12.8
2016,Newfoundland,Dental assistants,48.7
2016,Newfoundland,Dental hygienists,40.6
2016,Newfoundland,Dentists,38.9
2016,Newfoundland,Dietitians,34.0
2016,Newfoundland,Environmental public health professionals,4.2
2016,Newfoundland,Family medicine,128.8
2016,Newfoundland,Genetic counsellors,1.5
2016,Newfoundland,Health information management professionals,17.6
2016,Newfoundland,Licensed practical nurses,443.3
2016,Newfoundland,Medical laboratory technologists,96.9
2016,Newfoundland,Medical physicists,1.1
2016,Newfoundland,Medical radiation technologists,70.1
2016,Newfoundland,Midwives,0.0
2016,Newfoundland,Nurse practitioners,28.1
2016,Newfoundland,Occupational therapists,39.3
2016,Newfoundland,Opticians,21.9
2016,Newfoundland,Optometrists,11.5
2016,Newfoundland,Paramedics,
2016,Newfoundland,Paramedics,0.0
2016,Newfoundland,Pharmacists,142.0
2016,Newfoundland,Pharmacy technicians,2.6
2016,Newfoundland,Physician assistants,
2016,Newfoundland,Physician assistants,0.0
2016,Newfoundland,Physicians,248.4
2016,Newfoundland,Physiotherapists,52.7
2016,Newfoundland,Psychologists,47.8
2016,Newfoundland,Registered nurses,1137.6
2016,Newfoundland,Regulated nurses,1609.1
2016,Newfoundland,Respiratory therapists,28.1
2016,Newfoundland,Social workers,284.8
2016,Newfoundland,Specialists,119.6
2016,Newfoundland,Speech language pathologists,26.6
2016,Newfoundland,Speech language pathologists,26.6
2017,Newfoundland,Audiologists,7.2
2017,Newfoundland,Chiropractors,13.1
2017,Newfoundland,Dental assistants,53.2
2017,Newfoundland,Dental hygienists,41.8
2017,Newfoundland,Dentists,42.2
2017,Newfoundland,Dietitians,33.5
2017,Newfoundland,Environmental public health professionals,3.8
2017,Newfoundland,Family medicine,137.8
2017,Newfoundland,Genetic counsellors,1.7
2017,Newfoundland,Health information management professionals,17.2
2017,Newfoundland,Licensed practical nurses,454.9
2017,Newfoundland,Medical laboratory technologists,97.7
2017,Newfoundland,Medical physicists,1.5
2017,Newfoundland,Medical radiation technologists,74.2
2017,Newfoundland,Midwives,0.2
2017,Newfoundland,Nurse practitioners,31.2
2017,Newfoundland,Occupational therapists,38.8
2017,Newfoundland,Opticians,23.7
2017,Newfoundland,Optometrists,11.7
2017,Newfoundland,Paramedics,189.7
2017,Newfoundland,Pharmacists,138.9
2017,Newfoundland,Pharmacy technicians,26.3
2017,Newfoundland,Physician assistants,0.2
2017,Newfoundland,Physicians,255.0
2017,Newfoundland,Physiotherapists,53.8
2017,Newfoundland,Psychologists,47.3
2017,Newfoundland,Registered nurses,1130.0
2017,Newfoundland,Regulated nurses,1616.1
2017,Newfoundland,Respiratory therapists,28.0
2017,Newfoundland,Respiratory therapists,28.0
2017,Newfoundland,Social workers,288.9
2017,Newfoundland,Specialists,117.2
2017,Newfoundland,Speech language pathologists,26.9
