Year,Geography,Age group,Type of institution attended,GeoCode,Value
2016/2017,Alberta,20 to 24 years,College,48,7.0
2016/2017,Alberta,20 to 24 years,University,48,23.0
2016/2017,Alberta,25 to 29 years,Total participation rate,48,11.0
2016/2017,Alberta,25 to 29 years,Elementary/High School,48,
2016/2017,Alberta,25 to 29 years,College,48,4.0
2016/2017,Alberta,25 to 29 years,University,48,8.0
2016/2017,British Columbia,15 to 19 years,Total participation rate,59,81.0
2016/2017,British Columbia,15 to 19 years,Elementary/High School,59,59.0
2016/2017,British Columbia,15 to 19 years,College,59,7.0
2016/2017,British Columbia,15 to 19 years,University,59,15.0
2016/2017,British Columbia,20 to 24 years,Total participation rate,59,39.0
2016/2017,British Columbia,20 to 24 years,Elementary/High School,59,1.0
2016/2017,British Columbia,20 to 24 years,College,59,10.0
2016/2017,British Columbia,20 to 24 years,University,59,28.0
2016/2017,British Columbia,25 to 29 years,Total participation rate,59,12.0
2016/2017,British Columbia,25 to 29 years,Elementary/High School,59,
2016/2017,British Columbia,25 to 29 years,College,59,4.0
2016/2017,British Columbia,25 to 29 years,University,59,7.0
2016/2017,Yukon,15 to 19 years,Total participation rate,60,78.0
2016/2017,Yukon,15 to 19 years,Elementary/High School,60,57.0
2016/2017,Yukon,15 to 19 years,College,60,
2016/2017,Yukon,15 to 19 years,University,60,14.0
2016/2017,Yukon,20 to 24 years,Total participation rate,60,19.0
2016/2017,Yukon,20 to 24 years,College,60,
2016/2017,Yukon,20 to 24 years,University,60,11.0
2016/2017,Yukon,25 to 29 years,Total participation rate,60,9.0
2016/2017,Yukon,25 to 29 years,College,60,
2016/2017,Yukon,25 to 29 years,University,60,
2016/2017,Northwest Territories,15 to 19 years,Total participation rate,61,85.0
2016/2017,Northwest Territories,15 to 19 years,Elementary/High School,61,74.0
2016/2017,Northwest Territories,15 to 19 years,College,61,
2016/2017,Northwest Territories,15 to 19 years,University,61,
2016/2017,Northwest Territories,20 to 24 years,Total participation rate,61,24.0
2016/2017,Northwest Territories,20 to 24 years,Elementary/High School,61,
2016/2017,Northwest Territories,20 to 24 years,College,61,9.0
2016/2017,Northwest Territories,20 to 24 years,University,61,10.0
2016/2017,Northwest Territories,25 to 29 years,Total participation rate,61,11.0
2016/2017,Northwest Territories,25 to 29 years,Elementary/High School,61,
2016/2017,Northwest Territories,25 to 29 years,College,61,
2016/2017,Northwest Territories,25 to 29 years,University,61,6.0
2016/2017,Nunavut,15 to 19 years,Total participation rate,62,62.0
2016/2017,Nunavut,15 to 19 years,Elementary/High School,62,60.0
2016/2017,Nunavut,15 to 19 years,College,62,
2016/2017,Nunavut,15 to 19 years,University,62,
2016/2017,Nunavut,20 to 24 years,Total participation rate,62,8.0
2016/2017,Nunavut,20 to 24 years,Elementary/High School,62,
2016/2017,Nunavut,20 to 24 years,College,62,
2016/2017,Nunavut,20 to 24 years,University,62,
2016/2017,Nunavut,25 to 29 years,Total participation rate,62,
2016/2017,Nunavut,25 to 29 years,Elementary/High School,62,
2016/2017,Nunavut,25 to 29 years,College,62,
2016/2017,Nunavut,25 to 29 years,University,62,
2017/2018,Canada,15 to 19 years,Total participation rate,,83.0
2017/2018,Canada,15 to 19 years,Elementary/High School,,59.0
2017/2018,Canada,15 to 19 years,College,,11.0
2017/2018,Canada,15 to 19 years,University,,13.0
2017/2018,Canada,20 to 24 years,Total participation rate,,41.0
2017/2018,Canada,20 to 24 years,Elementary/High School,,1.0
2017/2018,Canada,20 to 24 years,College,,11.0
2017/2018,Canada,20 to 24 years,University,,28.0
2017/2018,Canada,25 to 29 years,Total participation rate,,12.0
2017/2018,Canada,25 to 29 years,Elementary/High School,,0.0
2017/2018,Canada,25 to 29 years,College,,4.0
2017/2018,Canada,25 to 29 years,University,,8.0
2017/2018,Newfoundland and Labrador,15 to 19 years,Total participation rate,10,84.0
2017/2018,Newfoundland and Labrador,15 to 19 years,Elementary/High School,10,60.0
2017/2018,Newfoundland and Labrador,15 to 19 years,College,10,8.0
2017/2018,Newfoundland and Labrador,15 to 19 years,University,10,15.0
2017/2018,Newfoundland and Labrador,20 to 24 years,Total participation rate,10,39.0
2017/2018,Newfoundland and Labrador,20 to 24 years,Elementary/High School,10,
2017/2018,Newfoundland and Labrador,20 to 24 years,College,10,12.0
2017/2018,Newfoundland and Labrador,20 to 24 years,University,10,25.0
2017/2018,Newfoundland and Labrador,25 to 29 years,Total participation rate,10,14.0
2017/2018,Newfoundland and Labrador,25 to 29 years,Elementary/High School,10,
2017/2018,Newfoundland and Labrador,25 to 29 years,College,10,5.0
2017/2018,Newfoundland and Labrador,25 to 29 years,University,10,9.0
2017/2018,Prince Edward Island,15 to 19 years,Total participation rate,11,85.0
2017/2018,Prince Edward Island,15 to 19 years,Elementary/High School,11,59.0
2017/2018,Prince Edward Island,15 to 19 years,College,11,7.0
2017/2018,Prince Edward Island,15 to 19 years,University,11,19.0
2017/2018,Prince Edward Island,20 to 24 years,Total participation rate,11,36.0
2017/2018,Prince Edward Island,20 to 24 years,Elementary/High School,11,
2017/2018,Prince Edward Island,20 to 24 years,College,11,9.0
2017/2018,Prince Edward Island,20 to 24 years,University,11,27.0
2017/2018,Prince Edward Island,25 to 29 years,Total participation rate,11,9.0
2017/2018,Prince Edward Island,25 to 29 years,College,11,2.0
2017/2018,Prince Edward Island,25 to 29 years,University,11,7.0
2017/2018,Nova Scotia,15 to 19 years,Total participation rate,12,85.0
2017/2018,Nova Scotia,15 to 19 years,Elementary/High School,12,65.0
2017/2018,Nova Scotia,15 to 19 years,College,12,5.0
2017/2018,Nova Scotia,15 to 19 years,University,12,14.0
2017/2018,Nova Scotia,20 to 24 years,Total participation rate,12,39.0
2017/2018,Nova Scotia,20 to 24 years,Elementary/High School,12,
2017/2018,Nova Scotia,20 to 24 years,College,12,12.0
2017/2018,Nova Scotia,20 to 24 years,University,12,26.0
2017/2018,Nova Scotia,25 to 29 years,Total participation rate,12,12.0
2017/2018,Nova Scotia,25 to 29 years,Elementary/High School,12,
2017/2018,Nova Scotia,25 to 29 years,College,12,3.0
2017/2018,Nova Scotia,25 to 29 years,University,12,9.0
2017/2018,New Brunswick,15 to 19 years,Total participation rate,13,81.0
2017/2018,New Brunswick,15 to 19 years,Elementary/High School,13,61.0
2017/2018,New Brunswick,15 to 19 years,College,13,5.0
2017/2018,New Brunswick,15 to 19 years,University,13,15.0
2017/2018,New Brunswick,20 to 24 years,Total participation rate,13,29.0
2017/2018,New Brunswick,20 to 24 years,Elementary/High School,13,
2017/2018,New Brunswick,20 to 24 years,College,13,9.0
2017/2018,New Brunswick,20 to 24 years,University,13,20.0
2017/2018,New Brunswick,25 to 29 years,Total participation rate,13,8.0
2017/2018,New Brunswick,25 to 29 years,College,13,3.0
2017/2018,New Brunswick,25 to 29 years,University,13,5.0
2017/2018,Quebec,15 to 19 years,Total participation rate,24,85.0
2017/2018,Quebec,15 to 19 years,Elementary/High School,24,49.0
2017/2018,Quebec,15 to 19 years,College,24,30.0
2017/2018,Quebec,15 to 19 years,University,24,5.0
2017/2018,Quebec,20 to 24 years,Total participation rate,24,48.0
2017/2018,Quebec,20 to 24 years,Elementary/High School,24,3.0
2017/2018,Quebec,20 to 24 years,College,24,13.0
2017/2018,Quebec,20 to 24 years,University,24,32.0
2017/2018,Quebec,25 to 29 years,Total participation rate,24,14.0
2017/2018,Quebec,25 to 29 years,Elementary/High School,24,1.0
2017/2018,Quebec,25 to 29 years,College,24,2.0
2017/2018,Quebec,25 to 29 years,University,24,11.0
2017/2018,Ontario,15 to 19 years,Total participation rate,35,86.0
2017/2018,Ontario,15 to 19 years,Elementary/High School,35,61.0
2017/2018,Ontario,15 to 19 years,College,35,8.0
2017/2018,Ontario,15 to 19 years,University,35,16.0
2017/2018,Ontario,20 to 24 years,Total participation rate,35,42.0
2017/2018,Ontario,20 to 24 years,Elementary/High School,35,1.0
2017/2018,Ontario,20 to 24 years,College,35,12.0
2017/2018,Ontario,20 to 24 years,University,35,29.0
2017/2018,Ontario,25 to 29 years,Total participation rate,35,11.0
2017/2018,Ontario,25 to 29 years,Elementary/High School,35,
2017/2018,Ontario,25 to 29 years,College,35,5.0
2017/2018,Ontario,25 to 29 years,University,35,7.0
2017/2018,Manitoba,15 to 19 years,Total participation rate,46,78.0
2017/2018,Manitoba,15 to 19 years,Elementary/High School,46,61.0
2017/2018,Manitoba,15 to 19 years,College,46,3.0
2017/2018,Manitoba,15 to 19 years,University,46,13.0
2017/2018,Manitoba,20 to 24 years,Total participation rate,46,36.0
2017/2018,Manitoba,20 to 24 years,Elementary/High School,46,1.0
2017/2018,Manitoba,20 to 24 years,College,46,6.0
2017/2018,Manitoba,20 to 24 years,University,46,29.0
2017/2018,Manitoba,25 to 29 years,Total participation rate,46,11.0
2017/2018,Manitoba,25 to 29 years,Elementary/High School,46,
2017/2018,Manitoba,25 to 29 years,College,46,3.0
2017/2018,Manitoba,25 to 29 years,University,46,7.0
2017/2018,Saskatchewan,15 to 19 years,Total participation rate,47,80.0
2017/2018,Saskatchewan,15 to 19 years,Elementary/High School,47,64.0
2017/2018,Saskatchewan,15 to 19 years,College,47,4.0
2017/2018,Saskatchewan,15 to 19 years,University,47,12.0
2017/2018,Saskatchewan,20 to 24 years,Total participation rate,47,32.0
2017/2018,Saskatchewan,20 to 24 years,Elementary/High School,47,1.0
2017/2018,Saskatchewan,20 to 24 years,College,47,5.0
2017/2018,Saskatchewan,20 to 24 years,University,47,26.0
2017/2018,Saskatchewan,25 to 29 years,Total participation rate,47,9.0
2017/2018,Saskatchewan,25 to 29 years,Elementary/High School,47,
2017/2018,Saskatchewan,25 to 29 years,College,47,2.0
2017/2018,Saskatchewan,25 to 29 years,University,47,7.0
2017/2018,Alberta,15 to 19 years,Total participation rate,48,78.0
2017/2018,Alberta,15 to 19 years,Elementary/High School,48,63.0
2017/2018,Alberta,15 to 19 years,College,48,4.0
2017/2018,Alberta,15 to 19 years,University,48,12.0
2017/2018,Alberta,20 to 24 years,Total participation rate,48,34.0
2017/2018,Alberta,20 to 24 years,Elementary/High School,48,1.0
2017/2018,Alberta,20 to 24 years,College,48,7.0
2017/2018,Alberta,20 to 24 years,University,48,26.0
2017/2018,Alberta,25 to 29 years,Total participation rate,48,9.0
2017/2018,Alberta,25 to 29 years,Elementary/High School,48,
2017/2018,Alberta,25 to 29 years,College,48,3.0
2017/2018,Alberta,25 to 29 years,University,48,6.0
2017/2018,British Columbia,15 to 19 years,Total participation rate,59,80.0
2017/2018,British Columbia,15 to 19 years,Elementary/High School,59,59.0
2017/2018,British Columbia,15 to 19 years,College,59,6.0
2017/2018,British Columbia,15 to 19 years,University,59,15.0
2017/2018,British Columbia,20 to 24 years,Total participation rate,59,38.0
2017/2018,British Columbia,20 to 24 years,Elementary/High School,59,1.0
2017/2018,British Columbia,20 to 24 years,College,59,11.0
2017/2018,British Columbia,20 to 24 years,University,59,26.0
2017/2018,British Columbia,25 to 29 years,Total participation rate,59,12.0
2017/2018,British Columbia,25 to 29 years,Elementary/High School,59,
2017/2018,British Columbia,25 to 29 years,College,59,4.0
2017/2018,British Columbia,25 to 29 years,University,59,8.0
2017/2018,Yukon,15 to 19 years,Total participation rate,60,75.0
2017/2018,Yukon,15 to 19 years,Elementary/High School,60,58.0
2017/2018,Yukon,15 to 19 years,College,60,10.0
2017/2018,Yukon,15 to 19 years,University,60,
2017/2018,Yukon,20 to 24 years,Total participation rate,60,22.0
2017/2018,Yukon,20 to 24 years,Elementary/High School,60,
2017/2018,Yukon,20 to 24 years,College,60,
2017/2018,Yukon,20 to 24 years,University,60,12.0
2017/2018,Yukon,25 to 29 years,Total participation rate,60,
2017/2018,Yukon,25 to 29 years,College,60,
2017/2018,Yukon,25 to 29 years,University,60,
2017/2018,Northwest Territories,15 to 19 years,Total participation rate,61,80.0
2017/2018,Northwest Territories,15 to 19 years,Elementary/High School,61,67.0
2017/2018,Northwest Territories,15 to 19 years,College,61,
2017/2018,Northwest Territories,15 to 19 years,University,61,8.0
2017/2018,Northwest Territories,20 to 24 years,Total participation rate,61,21.0
2017/2018,Northwest Territories,20 to 24 years,Elementary/High School,61,
2017/2018,Northwest Territories,20 to 24 years,College,61,
2017/2018,Northwest Territories,20 to 24 years,University,61,10.0
2017/2018,Northwest Territories,25 to 29 years,Total participation rate,61,
2017/2018,Northwest Territories,25 to 29 years,Elementary/High School,61,
2017/2018,Northwest Territories,25 to 29 years,College,61,
2017/2018,Northwest Territories,25 to 29 years,University,61,
2017/2018,Nunavut,15 to 19 years,Total participation rate,62,66.0
2017/2018,Nunavut,15 to 19 years,Elementary/High School,62,62.0
2017/2018,Nunavut,15 to 19 years,College,62,
2017/2018,Nunavut,15 to 19 years,University,62,
2017/2018,Nunavut,20 to 24 years,Total participation rate,62,8.0
2017/2018,Nunavut,20 to 24 years,Elementary/High School,62,
2017/2018,Nunavut,20 to 24 years,College,62,
2017/2018,Nunavut,20 to 24 years,University,62,
2017/2018,Nunavut,25 to 29 years,Total participation rate,62,
2017/2018,Nunavut,25 to 29 years,Elementary/High School,62,
2017/2018,Nunavut,25 to 29 years,College,62,
2017/2018,Nunavut,25 to 29 years,University,62,
2018/2019,Canada,15 to 19 years,Total participation rate,,84.0
2018/2019,Canada,15 to 19 years,Elementary/High School,,58.0
2018/2019,Canada,15 to 19 years,College,,12.0
2018/2019,Canada,15 to 19 years,University,,13.0
2018/2019,Canada,20 to 24 years,Total participation rate,,42.0
2018/2019,Canada,20 to 24 years,Elementary/High School,,1.0
2018/2019,Canada,20 to 24 years,College,,12.0
2018/2019,Canada,20 to 24 years,University,,29.0
2018/2019,Canada,25 to 29 years,Total participation rate,,12.0
2018/2019,Canada,25 to 29 years,Elementary/High School,,0.0
2018/2019,Canada,25 to 29 years,College,,4.0
2018/2019,Canada,25 to 29 years,University,,7.0
2018/2019,Newfoundland and Labrador,15 to 19 years,Total participation rate,10,83.0
2018/2019,Newfoundland and Labrador,15 to 19 years,Elementary/High School,10,57.0
2018/2019,Newfoundland and Labrador,15 to 19 years,College,10,9.0
2018/2019,Newfoundland and Labrador,15 to 19 years,University,10,16.0
2018/2019,Newfoundland and Labrador,20 to 24 years,Total participation rate,10,45.0
2018/2019,Newfoundland and Labrador,20 to 24 years,Elementary/High School,10,
2018/2019,Newfoundland and Labrador,20 to 24 years,College,10,10.0
2018/2019,Newfoundland and Labrador,20 to 24 years,University,10,34.0
2018/2019,Newfoundland and Labrador,25 to 29 years,Total participation rate,10,15.0
2018/2019,Newfoundland and Labrador,25 to 29 years,College,10,5.0
2018/2019,Newfoundland and Labrador,25 to 29 years,University,10,10.0
2018/2019,Prince Edward Island,15 to 19 years,Total participation rate,11,85.0
2018/2019,Prince Edward Island,15 to 19 years,Elementary/High School,11,65.0
2018/2019,Prince Edward Island,15 to 19 years,College,11,6.0
2018/2019,Prince Edward Island,15 to 19 years,University,11,14.0
2018/2019,Prince Edward Island,20 to 24 years,Total participation rate,11,33.0
2018/2019,Prince Edward Island,20 to 24 years,Elementary/High School,11,
2018/2019,Prince Edward Island,20 to 24 years,College,11,7.0
2018/2019,Prince Edward Island,20 to 24 years,University,11,26.0
2018/2019,Prince Edward Island,25 to 29 years,Total participation rate,11,11.0
2018/2019,Prince Edward Island,25 to 29 years,Elementary/High School,11,
2018/2019,Prince Edward Island,25 to 29 years,College,11,4.0
2018/2019,Prince Edward Island,25 to 29 years,University,11,7.0
2018/2019,Nova Scotia,15 to 19 years,Total participation rate,12,86.0
2018/2019,Nova Scotia,15 to 19 years,Elementary/High School,12,66.0
2018/2019,Nova Scotia,15 to 19 years,College,12,6.0
2018/2019,Nova Scotia,15 to 19 years,University,12,14.0
2018/2019,Nova Scotia,20 to 24 years,Total participation rate,12,36.0
2018/2019,Nova Scotia,20 to 24 years,Elementary/High School,12,1.0
2018/2019,Nova Scotia,20 to 24 years,College,12,10.0
2018/2019,Nova Scotia,20 to 24 years,University,12,26.0
2018/2019,Nova Scotia,25 to 29 years,Total participation rate,12,12.0
2018/2019,Nova Scotia,25 to 29 years,Elementary/High School,12,
2018/2019,Nova Scotia,25 to 29 years,College,12,4.0
2018/2019,Nova Scotia,25 to 29 years,University,12,8.0
2018/2019,New Brunswick,15 to 19 years,Total participation rate,13,80.0
2018/2019,New Brunswick,15 to 19 years,Elementary/High School,13,60.0
2018/2019,New Brunswick,15 to 19 years,College,13,4.0
2018/2019,New Brunswick,15 to 19 years,University,13,16.0
2018/2019,New Brunswick,20 to 24 years,Total participation rate,13,30.0
2018/2019,New Brunswick,20 to 24 years,Elementary/High School,13,
2018/2019,New Brunswick,20 to 24 years,College,13,8.0
2018/2019,New Brunswick,20 to 24 years,University,13,22.0
2018/2019,New Brunswick,25 to 29 years,Total participation rate,13,10.0
2018/2019,New Brunswick,25 to 29 years,Elementary/High School,13,
2018/2019,New Brunswick,25 to 29 years,College,13,4.0
2018/2019,New Brunswick,25 to 29 years,University,13,6.0
2018/2019,Quebec,15 to 19 years,Total participation rate,24,83.0
2018/2019,Quebec,15 to 19 years,Elementary/High School,24,48.0
2018/2019,Quebec,15 to 19 years,College,24,31.0
2018/2019,Quebec,15 to 19 years,University,24,3.0
2018/2019,Quebec,20 to 24 years,Total participation rate,24,48.0
2018/2019,Quebec,20 to 24 years,Elementary/High School,24,2.0
2018/2019,Quebec,20 to 24 years,College,24,13.0
2018/2019,Quebec,20 to 24 years,University,24,33.0
2018/2019,Quebec,25 to 29 years,Total participation rate,24,15.0
2018/2019,Quebec,25 to 29 years,Elementary/High School,24,1.0
2018/2019,Quebec,25 to 29 years,College,24,4.0
2018/2019,Quebec,25 to 29 years,University,24,10.0
2018/2019,Ontario,15 to 19 years,Total participation rate,35,86.0
2018/2019,Ontario,15 to 19 years,Elementary/High School,35,61.0
2018/2019,Ontario,15 to 19 years,College,35,8.0
2018/2019,Ontario,15 to 19 years,University,35,17.0
2018/2019,Ontario,20 to 24 years,Total participation rate,35,44.0
2018/2019,Ontario,20 to 24 years,Elementary/High School,35,1.0
2018/2019,Ontario,20 to 24 years,College,35,13.0
2018/2019,Ontario,20 to 24 years,University,35,30.0
2018/2019,Ontario,25 to 29 years,Total participation rate,35,11.0
2018/2019,Ontario,25 to 29 years,Elementary/High School,35,0.0
2018/2019,Ontario,25 to 29 years,College,35,5.0
2018/2019,Ontario,25 to 29 years,University,35,6.0
2018/2019,Manitoba,15 to 19 years,Total participation rate,46,78.0
2018/2019,Manitoba,15 to 19 years,Elementary/High School,46,60.0
2018/2019,Manitoba,15 to 19 years,College,46,4.0
2018/2019,Manitoba,15 to 19 years,University,46,14.0
2018/2019,Manitoba,20 to 24 years,Total participation rate,46,35.0
2018/2019,Manitoba,20 to 24 years,Elementary/High School,46,1.0
2018/2019,Manitoba,20 to 24 years,College,46,8.0
2018/2019,Manitoba,20 to 24 years,University,46,26.0
2018/2019,Manitoba,25 to 29 years,Total participation rate,46,10.0
2018/2019,Manitoba,25 to 29 years,Elementary/High School,46,
2018/2019,Manitoba,25 to 29 years,College,46,3.0
2018/2019,Manitoba,25 to 29 years,University,46,7.0
2018/2019,Saskatchewan,15 to 19 years,Total participation rate,47,82.0
2018/2019,Saskatchewan,15 to 19 years,Elementary/High School,47,64.0
2018/2019,Saskatchewan,15 to 19 years,College,47,3.0
2018/2019,Saskatchewan,15 to 19 years,University,47,16.0
2018/2019,Saskatchewan,20 to 24 years,Total participation rate,47,35.0
2018/2019,Saskatchewan,20 to 24 years,Elementary/High School,47,2.0
2018/2019,Saskatchewan,20 to 24 years,College,47,6.0
2018/2019,Saskatchewan,20 to 24 years,University,47,28.0
2018/2019,Saskatchewan,25 to 29 years,Total participation rate,47,9.0
2018/2019,Saskatchewan,25 to 29 years,Elementary/High School,47,
2018/2019,Saskatchewan,25 to 29 years,College,47,2.0
2018/2019,Saskatchewan,25 to 29 years,University,47,7.0
2018/2019,Alberta,15 to 19 years,Total participation rate,48,79.0
2018/2019,Alberta,15 to 19 years,Elementary/High School,48,62.0
2018/2019,Alberta,15 to 19 years,College,48,4.0
2018/2019,Alberta,15 to 19 years,University,48,12.0
2018/2019,Alberta,20 to 24 years,Total participation rate,48,32.0
2018/2019,Alberta,20 to 24 years,Elementary/High School,48,1.0
2018/2019,Alberta,20 to 24 years,College,48,9.0
2018/2019,Alberta,20 to 24 years,University,48,22.0
2018/2019,Alberta,25 to 29 years,Total participation rate,48,9.0
2018/2019,Alberta,25 to 29 years,Elementary/High School,48,
2018/2019,Alberta,25 to 29 years,College,48,3.0
2018/2019,Alberta,25 to 29 years,University,48,6.0
2018/2019,British Columbia,15 to 19 years,Total participation rate,59,83.0
2018/2019,British Columbia,15 to 19 years,Elementary/High School,59,60.0
2018/2019,British Columbia,15 to 19 years,College,59,8.0
2018/2019,British Columbia,15 to 19 years,University,59,15.0
2018/2019,British Columbia,20 to 24 years,Total participation rate,59,40.0
2018/2019,British Columbia,20 to 24 years,Elementary/High School,59,0.0
2018/2019,British Columbia,20 to 24 years,College,59,11.0
2018/2019,British Columbia,20 to 24 years,University,59,28.0
2018/2019,British Columbia,25 to 29 years,Total participation rate,59,12.0
2018/2019,British Columbia,25 to 29 years,Elementary/High School,59,
2018/2019,British Columbia,25 to 29 years,College,59,4.0
2018/2019,British Columbia,25 to 29 years,University,59,7.0
2018/2019,Yukon,15 to 19 years,Total participation rate,60,84.0
2018/2019,Yukon,15 to 19 years,Elementary/High School,60,69.0
2018/2019,Yukon,15 to 19 years,College,60,
2018/2019,Yukon,15 to 19 years,University,60,8.0
2018/2019,Yukon,20 to 24 years,Total participation rate,60,27.0
2018/2019,Yukon,20 to 24 years,Elementary/High School,60,
2018/2019,Yukon,20 to 24 years,College,60,
2018/2019,Yukon,20 to 24 years,University,60,21.0
2018/2019,Yukon,25 to 29 years,Total participation rate,60,
2018/2019,Yukon,25 to 29 years,College,60,
2018/2019,Yukon,25 to 29 years,University,60,
2018/2019,Northwest Territories,15 to 19 years,Total participation rate,61,87.0
2018/2019,Northwest Territories,15 to 19 years,Elementary/High School,61,74.0
2018/2019,Northwest Territories,15 to 19 years,College,61,
2018/2019,Northwest Territories,15 to 19 years,University,61,7.0
2018/2019,Northwest Territories,20 to 24 years,Total participation rate,61,21.0
2018/2019,Northwest Territories,20 to 24 years,Elementary/High School,61,
2018/2019,Northwest Territories,20 to 24 years,College,61,
2018/2019,Northwest Territories,20 to 24 years,University,61,9.0
2018/2019,Northwest Territories,25 to 29 years,Total participation rate,61,
2018/2019,Northwest Territories,25 to 29 years,Elementary/High School,61,
2018/2019,Northwest Territories,25 to 29 years,College,61,
2018/2019,Northwest Territories,25 to 29 years,University,61,
2018/2019,Nunavut,15 to 19 years,Total participation rate,62,70.0
2018/2019,Nunavut,15 to 19 years,Elementary/High School,62,67.0
2018/2019,Nunavut,15 to 19 years,College,62,
2018/2019,Nunavut,15 to 19 years,University,62,
2018/2019,Nunavut,20 to 24 years,Total participation rate,62,14.0
2018/2019,Nunavut,20 to 24 years,Elementary/High School,62,
2018/2019,Nunavut,20 to 24 years,College,62,9.0
2018/2019,Nunavut,20 to 24 years,University,62,
2018/2019,Nunavut,25 to 29 years,Total participation rate,62,8.0
2018/2019,Nunavut,25 to 29 years,Elementary/High School,62,
2018/2019,Nunavut,25 to 29 years,College,62,
2018/2019,Nunavut,25 to 29 years,University,62,
2019/2020,Canada,15 to 19 years,Total participation rate,,81.0
2019/2020,Canada,15 to 19 years,Elementary/High School,,56.0
2019/2020,Canada,15 to 19 years,College,,11.0
2019/2020,Canada,15 to 19 years,University,,14.0
2019/2020,Canada,20 to 24 years,Total participation rate,,41.0
2019/2020,Canada,20 to 24 years,Elementary/High School,,1.0
2019/2020,Canada,20 to 24 years,College,,11.0
2019/2020,Canada,20 to 24 years,University,,29.0
2019/2020,Canada,25 to 29 years,Total participation rate,,12.0
2019/2020,Canada,25 to 29 years,Elementary/High School,,0.0
2019/2020,Canada,25 to 29 years,College,,4.0
2019/2020,Canada,25 to 29 years,University,,8.0
2019/2020,Newfoundland and Labrador,15 to 19 years,Total participation rate,10,78.0
2019/2020,Newfoundland and Labrador,15 to 19 years,Elementary/High School,10,55.0
2019/2020,Newfoundland and Labrador,15 to 19 years,College,10,6.0
2019/2020,Newfoundland and Labrador,15 to 19 years,University,10,18.0
2019/2020,Newfoundland and Labrador,20 to 24 years,Total participation rate,10,34.0
2019/2020,Newfoundland and Labrador,20 to 24 years,Elementary/High School,10,
2019/2020,Newfoundland and Labrador,20 to 24 years,College,10,10.0
2019/2020,Newfoundland and Labrador,20 to 24 years,University,10,24.0
2019/2020,Newfoundland and Labrador,25 to 29 years,Total participation rate,10,10.0
2019/2020,Newfoundland and Labrador,25 to 29 years,College,10,3.0
2019/2020,Newfoundland and Labrador,25 to 29 years,University,10,8.0
2019/2020,Prince Edward Island,15 to 19 years,Total participation rate,11,83.0
2019/2020,Prince Edward Island,15 to 19 years,Elementary/High School,11,61.0
2019/2020,Prince Edward Island,15 to 19 years,College,11,7.0
2019/2020,Prince Edward Island,15 to 19 years,University,11,15.0
2019/2020,Prince Edward Island,20 to 24 years,Total participation rate,11,31.0
2019/2020,Prince Edward Island,20 to 24 years,Elementary/High School,11,
2019/2020,Prince Edward Island,20 to 24 years,College,11,8.0
2019/2020,Prince Edward Island,20 to 24 years,University,11,23.0
2019/2020,Prince Edward Island,25 to 29 years,Total participation rate,11,9.0
2019/2020,Prince Edward Island,25 to 29 years,Elementary/High School,11,
2019/2020,Prince Edward Island,25 to 29 years,College,11,3.0
2019/2020,Prince Edward Island,25 to 29 years,University,11,6.0
2019/2020,Nova Scotia,15 to 19 years,Total participation rate,12,83.0
2019/2020,Nova Scotia,15 to 19 years,Elementary/High School,12,63.0
2019/2020,Nova Scotia,15 to 19 years,College,12,5.0
2019/2020,Nova Scotia,15 to 19 years,University,12,15.0
2019/2020,Nova Scotia,20 to 24 years,Total participation rate,12,34.0
2019/2020,Nova Scotia,20 to 24 years,Elementary/High School,12,1.0
2019/2020,Nova Scotia,20 to 24 years,College,12,8.0
2019/2020,Nova Scotia,20 to 24 years,University,12,25.0
2019/2020,Nova Scotia,25 to 29 years,Total participation rate,12,12.0
2019/2020,Nova Scotia,25 to 29 years,Elementary/High School,12,
2019/2020,Nova Scotia,25 to 29 years,College,12,3.0
2019/2020,Nova Scotia,25 to 29 years,University,12,9.0
2019/2020,New Brunswick,15 to 19 years,Total participation rate,13,76.0
2019/2020,New Brunswick,15 to 19 years,Elementary/High School,13,57.0
2019/2020,New Brunswick,15 to 19 years,College,13,6.0
2019/2020,New Brunswick,15 to 19 years,University,13,13.0
2019/2020,New Brunswick,20 to 24 years,Total participation rate,13,30.0
2019/2020,New Brunswick,20 to 24 years,Elementary/High School,13,
2019/2020,New Brunswick,20 to 24 years,College,13,10.0
2019/2020,New Brunswick,20 to 24 years,University,13,20.0
2019/2020,New Brunswick,25 to 29 years,Total participation rate,13,6.0
2019/2020,New Brunswick,25 to 29 years,College,13,2.0
2019/2020,New Brunswick,25 to 29 years,University,13,4.0
2019/2020,Quebec,15 to 19 years,Total participation rate,24,80.0
2019/2020,Quebec,15 to 19 years,Elementary/High School,24,46.0
2019/2020,Quebec,15 to 19 years,College,24,30.0
2019/2020,Quebec,15 to 19 years,University,24,4.0
2019/2020,Quebec,20 to 24 years,Total participation rate,24,46.0
2019/2020,Quebec,20 to 24 years,Elementary/High School,24,2.0
2019/2020,Quebec,20 to 24 years,College,24,12.0
2019/2020,Quebec,20 to 24 years,University,24,32.0
2019/2020,Quebec,25 to 29 years,Total participation rate,24,14.0
2019/2020,Quebec,25 to 29 years,Elementary/High School,24,1.0
2019/2020,Quebec,25 to 29 years,College,24,3.0
2019/2020,Quebec,25 to 29 years,University,24,10.0
2019/2020,Ontario,15 to 19 years,Total participation rate,35,85.0
