Year,Géographie,GeoCode,Type de famille économique,Niveau de sécurité alimentaire du ménage,Value
2020,Île-du-Prince-Édouard,,data.Persons in female lone-parent families,"data.Food insecure, moderate or severe",38.5
2018,Île-du-Prince-Édouard,,data.Persons in female lone-parent families,"data.Food insecure, moderate",
2019,Île-du-Prince-Édouard,,data.Persons in female lone-parent families,"data.Food insecure, moderate",
2020,Île-du-Prince-Édouard,,data.Persons in female lone-parent families,"data.Food insecure, moderate",
2018,Île-du-Prince-Édouard,,data.Persons in female lone-parent families,"data.Food insecure, severe",
2019,Île-du-Prince-Édouard,,data.Persons in female lone-parent families,"data.Food insecure, severe",
2020,Île-du-Prince-Édouard,,data.Persons in female lone-parent families,"data.Food insecure, severe",
2018,Île-du-Prince-Édouard,,data.Persons in other non-elderly families,"data.Food insecure, marginal",
2019,Île-du-Prince-Édouard,,data.Persons in other non-elderly families,"data.Food insecure, marginal",
2020,Île-du-Prince-Édouard,,data.Persons in other non-elderly families,"data.Food insecure, marginal",
2018,Île-du-Prince-Édouard,,data.Persons in other non-elderly families,"data.Food insecure, moderate or severe",19.5
2019,Île-du-Prince-Édouard,,data.Persons in other non-elderly families,"data.Food insecure, moderate or severe",21.0
2020,Île-du-Prince-Édouard,,data.Persons in other non-elderly families,"data.Food insecure, moderate or severe",16.6
2018,Île-du-Prince-Édouard,,data.Persons in other non-elderly families,"data.Food insecure, moderate",13.8
2019,Île-du-Prince-Édouard,,data.Persons in other non-elderly families,"data.Food insecure, moderate",
2020,Île-du-Prince-Édouard,,data.Persons in other non-elderly families,"data.Food insecure, moderate",
2018,Île-du-Prince-Édouard,,data.Persons in other non-elderly families,"data.Food insecure, severe",
2019,Île-du-Prince-Édouard,,data.Persons in other non-elderly families,"data.Food insecure, severe",
2020,Île-du-Prince-Édouard,,data.Persons in other non-elderly families,"data.Food insecure, severe",
2018,Île-du-Prince-Édouard,,Personnes hors famille économique,"data.Food insecure, marginal",6.1
2019,Île-du-Prince-Édouard,,Personnes hors famille économique,"data.Food insecure, marginal",
2020,Île-du-Prince-Édouard,,Personnes hors famille économique,"data.Food insecure, marginal",5.4
2018,Île-du-Prince-Édouard,,Personnes hors famille économique,"data.Food insecure, moderate or severe",15.5
2019,Île-du-Prince-Édouard,,Personnes hors famille économique,"data.Food insecure, moderate or severe",12.2
2020,Île-du-Prince-Édouard,,Personnes hors famille économique,"data.Food insecure, moderate or severe",12.6
2018,Île-du-Prince-Édouard,,Personnes hors famille économique,"data.Food insecure, moderate",6.4
2019,Île-du-Prince-Édouard,,Personnes hors famille économique,"data.Food insecure, moderate",8.3
2020,Île-du-Prince-Édouard,,Personnes hors famille économique,"data.Food insecure, moderate",6.5
2018,Île-du-Prince-Édouard,,Personnes hors famille économique,"data.Food insecure, severe",9.2
2019,Île-du-Prince-Édouard,,Personnes hors famille économique,"data.Food insecure, severe",
2020,Île-du-Prince-Édouard,,Personnes hors famille économique,"data.Food insecure, severe",6.1
2018,Île-du-Prince-Édouard,,Personnes âgées hors famille économique,"data.Food insecure, marginal",6.9
2019,Île-du-Prince-Édouard,,Personnes âgées hors famille économique,"data.Food insecure, marginal",
2020,Île-du-Prince-Édouard,,Personnes âgées hors famille économique,"data.Food insecure, marginal",
2018,Île-du-Prince-Édouard,,Personnes âgées hors famille économique,"data.Food insecure, moderate or severe",7.4
2019,Île-du-Prince-Édouard,,Personnes âgées hors famille économique,"data.Food insecure, moderate or severe",
2020,Île-du-Prince-Édouard,,Personnes âgées hors famille économique,"data.Food insecure, moderate or severe",10.3
2018,Île-du-Prince-Édouard,,Personnes âgées hors famille économique,"data.Food insecure, moderate",
2019,Île-du-Prince-Édouard,,Personnes âgées hors famille économique,"data.Food insecure, moderate",
2020,Île-du-Prince-Édouard,,Personnes âgées hors famille économique,"data.Food insecure, moderate",7.1
2018,Île-du-Prince-Édouard,,Personnes âgées hors famille économique,"data.Food insecure, severe",
2019,Île-du-Prince-Édouard,,Personnes âgées hors famille économique,"data.Food insecure, severe",
2020,Île-du-Prince-Édouard,,Personnes âgées hors famille économique,"data.Food insecure, severe",
2018,Île-du-Prince-Édouard,,Hommes âgés hors famille économique,"data.Food insecure, marginal",
2019,Île-du-Prince-Édouard,,Hommes âgés hors famille économique,"data.Food insecure, marginal",
2020,Île-du-Prince-Édouard,,Hommes âgés hors famille économique,"data.Food insecure, marginal",
2018,Île-du-Prince-Édouard,,Hommes âgés hors famille économique,"data.Food insecure, moderate or severe",
2019,Île-du-Prince-Édouard,,Hommes âgés hors famille économique,"data.Food insecure, moderate or severe",
2020,Île-du-Prince-Édouard,,Hommes âgés hors famille économique,"data.Food insecure, moderate or severe",
2018,Île-du-Prince-Édouard,,Hommes âgés hors famille économique,"data.Food insecure, moderate",
2019,Île-du-Prince-Édouard,,Hommes âgés hors famille économique,"data.Food insecure, moderate",
2020,Île-du-Prince-Édouard,,Hommes âgés hors famille économique,"data.Food insecure, moderate",
2018,Île-du-Prince-Édouard,,Hommes âgés hors famille économique,"data.Food insecure, severe",
2019,Île-du-Prince-Édouard,,Hommes âgés hors famille économique,"data.Food insecure, severe",
2020,Île-du-Prince-Édouard,,Hommes âgés hors famille économique,"data.Food insecure, severe",
2018,Île-du-Prince-Édouard,,Femmes âgées hors famille économique,"data.Food insecure, marginal",
2019,Île-du-Prince-Édouard,,Femmes âgées hors famille économique,"data.Food insecure, marginal",
2020,Île-du-Prince-Édouard,,Femmes âgées hors famille économique,"data.Food insecure, marginal",
2018,Île-du-Prince-Édouard,,Femmes âgées hors famille économique,"data.Food insecure, moderate or severe",
2019,Île-du-Prince-Édouard,,Femmes âgées hors famille économique,"data.Food insecure, moderate or severe",
2020,Île-du-Prince-Édouard,,Femmes âgées hors famille économique,"data.Food insecure, moderate or severe",8.2
2018,Île-du-Prince-Édouard,,Femmes âgées hors famille économique,"data.Food insecure, moderate",
2019,Île-du-Prince-Édouard,,Femmes âgées hors famille économique,"data.Food insecure, moderate",
2020,Île-du-Prince-Édouard,,Femmes âgées hors famille économique,"data.Food insecure, moderate",
2018,Île-du-Prince-Édouard,,Femmes âgées hors famille économique,"data.Food insecure, severe",
2019,Île-du-Prince-Édouard,,Femmes âgées hors famille économique,"data.Food insecure, severe",
2020,Île-du-Prince-Édouard,,Femmes âgées hors famille économique,"data.Food insecure, severe",
2018,Île-du-Prince-Édouard,,Personnes non âgées hors famille économique,"data.Food insecure, marginal",5.7
2019,Île-du-Prince-Édouard,,Personnes non âgées hors famille économique,"data.Food insecure, marginal",
2020,Île-du-Prince-Édouard,,Personnes non âgées hors famille économique,"data.Food insecure, marginal",6.3
2018,Île-du-Prince-Édouard,,Personnes non âgées hors famille économique,"data.Food insecure, moderate or severe",20.0
2019,Île-du-Prince-Édouard,,Personnes non âgées hors famille économique,"data.Food insecure, moderate or severe",14.4
2020,Île-du-Prince-Édouard,,Personnes non âgées hors famille économique,"data.Food insecure, moderate or severe",13.8
2018,Île-du-Prince-Édouard,,Personnes non âgées hors famille économique,"data.Food insecure, moderate",8.5
2019,Île-du-Prince-Édouard,,Personnes non âgées hors famille économique,"data.Food insecure, moderate",8.7
2020,Île-du-Prince-Édouard,,Personnes non âgées hors famille économique,"data.Food insecure, moderate",
2018,Île-du-Prince-Édouard,,Personnes non âgées hors famille économique,"data.Food insecure, severe",11.5
2019,Île-du-Prince-Édouard,,Personnes non âgées hors famille économique,"data.Food insecure, severe",
2020,Île-du-Prince-Édouard,,Personnes non âgées hors famille économique,"data.Food insecure, severe",7.5
2018,Île-du-Prince-Édouard,,Hommes non âgés hors famille économique,"data.Food insecure, marginal",
2019,Île-du-Prince-Édouard,,Hommes non âgés hors famille économique,"data.Food insecure, marginal",
2020,Île-du-Prince-Édouard,,Hommes non âgés hors famille économique,"data.Food insecure, marginal",
2018,Île-du-Prince-Édouard,,Hommes non âgés hors famille économique,"data.Food insecure, moderate or severe",21.6
2019,Île-du-Prince-Édouard,,Hommes non âgés hors famille économique,"data.Food insecure, moderate or severe",15.5
2020,Île-du-Prince-Édouard,,Hommes non âgés hors famille économique,"data.Food insecure, moderate or severe",10.7
2018,Île-du-Prince-Édouard,,Hommes non âgés hors famille économique,"data.Food insecure, moderate",9.6
2019,Île-du-Prince-Édouard,,Hommes non âgés hors famille économique,"data.Food insecure, moderate",
2020,Île-du-Prince-Édouard,,Hommes non âgés hors famille économique,"data.Food insecure, moderate",
2018,Île-du-Prince-Édouard,,Hommes non âgés hors famille économique,"data.Food insecure, severe",12.0
2019,Île-du-Prince-Édouard,,Hommes non âgés hors famille économique,"data.Food insecure, severe",
2020,Île-du-Prince-Édouard,,Hommes non âgés hors famille économique,"data.Food insecure, severe",
2018,Île-du-Prince-Édouard,,Femmes non âgées hors famille économique,"data.Food insecure, marginal",
2019,Île-du-Prince-Édouard,,Femmes non âgées hors famille économique,"data.Food insecure, marginal",
2020,Île-du-Prince-Édouard,,Femmes non âgées hors famille économique,"data.Food insecure, marginal",
2018,Île-du-Prince-Édouard,,Femmes non âgées hors famille économique,"data.Food insecure, moderate or severe",17.9
2019,Île-du-Prince-Édouard,,Femmes non âgées hors famille économique,"data.Food insecure, moderate or severe",13.3
2020,Île-du-Prince-Édouard,,Femmes non âgées hors famille économique,"data.Food insecure, moderate or severe",17.3
2018,Île-du-Prince-Édouard,,Femmes non âgées hors famille économique,"data.Food insecure, moderate",
2019,Île-du-Prince-Édouard,,Femmes non âgées hors famille économique,"data.Food insecure, moderate",
2020,Île-du-Prince-Édouard,,Femmes non âgées hors famille économique,"data.Food insecure, moderate",
2018,Île-du-Prince-Édouard,,Femmes non âgées hors famille économique,"data.Food insecure, severe",10.9
2019,Île-du-Prince-Édouard,,Femmes non âgées hors famille économique,"data.Food insecure, severe",
2020,Île-du-Prince-Édouard,,Femmes non âgées hors famille économique,"data.Food insecure, severe",9.6
2018,Nouvelle-Écosse,,Toutes les personnes,"data.Food insecure, marginal",5.4
2019,Nouvelle-Écosse,,Toutes les personnes,"data.Food insecure, marginal",5.7
2020,Nouvelle-Écosse,,Toutes les personnes,"data.Food insecure, marginal",4.5
2018,Nouvelle-Écosse,12,Toutes les personnes,"data.Food insecure, moderate or severe",15.5
2019,Nouvelle-Écosse,12,Toutes les personnes,"data.Food insecure, moderate or severe",12.3
2020,Nouvelle-Écosse,12,Toutes les personnes,"data.Food insecure, moderate or severe",13.1
2018,Nouvelle-Écosse,,Toutes les personnes,"data.Food insecure, moderate",9.6
2019,Nouvelle-Écosse,,Toutes les personnes,"data.Food insecure, moderate",8.0
2020,Nouvelle-Écosse,,Toutes les personnes,"data.Food insecure, moderate",8.1
2018,Nouvelle-Écosse,,Toutes les personnes,"data.Food insecure, severe",5.9
2019,Nouvelle-Écosse,,Toutes les personnes,"data.Food insecure, severe",4.3
2020,Nouvelle-Écosse,,Toutes les personnes,"data.Food insecure, severe",5.0
2018,Nouvelle-Écosse,,Personnes dans les familles économiques,"data.Food insecure, marginal",5.3
2019,Nouvelle-Écosse,,Personnes dans les familles économiques,"data.Food insecure, marginal",5.0
2020,Nouvelle-Écosse,,Personnes dans les familles économiques,"data.Food insecure, marginal",4.7
2018,Nouvelle-Écosse,,Personnes dans les familles économiques,"data.Food insecure, moderate or severe",14.9
2019,Nouvelle-Écosse,,Personnes dans les familles économiques,"data.Food insecure, moderate or severe",11.4
2020,Nouvelle-Écosse,,Personnes dans les familles économiques,"data.Food insecure, moderate or severe",12.5
2018,Nouvelle-Écosse,,Personnes dans les familles économiques,"data.Food insecure, moderate",10.0
2019,Nouvelle-Écosse,,Personnes dans les familles économiques,"data.Food insecure, moderate",8.1
2020,Nouvelle-Écosse,,Personnes dans les familles économiques,"data.Food insecure, moderate",7.9
2018,Nouvelle-Écosse,,Personnes dans les familles économiques,"data.Food insecure, severe",4.9
2019,Nouvelle-Écosse,,Personnes dans les familles économiques,"data.Food insecure, severe",3.3
2020,Nouvelle-Écosse,,Personnes dans les familles économiques,"data.Food insecure, severe",4.6
2018,Nouvelle-Écosse,,data.Persons in elderly families,"data.Food insecure, marginal",3.7
2019,Nouvelle-Écosse,,data.Persons in elderly families,"data.Food insecure, marginal",
2020,Nouvelle-Écosse,,data.Persons in elderly families,"data.Food insecure, marginal",3.4
2018,Nouvelle-Écosse,,data.Persons in elderly families,"data.Food insecure, moderate or severe",4.3
2019,Nouvelle-Écosse,,data.Persons in elderly families,"data.Food insecure, moderate or severe",4.8
2020,Nouvelle-Écosse,,data.Persons in elderly families,"data.Food insecure, moderate or severe",5.7
2018,Nouvelle-Écosse,,data.Persons in elderly families,"data.Food insecure, moderate",
2019,Nouvelle-Écosse,,data.Persons in elderly families,"data.Food insecure, moderate",3.4
2020,Nouvelle-Écosse,,data.Persons in elderly families,"data.Food insecure, moderate",4.9
2018,Nouvelle-Écosse,,data.Persons in elderly families,"data.Food insecure, severe",
2019,Nouvelle-Écosse,,data.Persons in elderly families,"data.Food insecure, severe",
2020,Nouvelle-Écosse,,data.Persons in elderly families,"data.Food insecure, severe",
2018,Nouvelle-Écosse,,data.Persons in elderly couples,"data.Food insecure, marginal",2.7
2019,Nouvelle-Écosse,,data.Persons in elderly couples,"data.Food insecure, marginal",
2020,Nouvelle-Écosse,,data.Persons in elderly couples,"data.Food insecure, marginal",2.5
2018,Nouvelle-Écosse,,data.Persons in elderly couples,"data.Food insecure, moderate or severe",3.4
2019,Nouvelle-Écosse,,data.Persons in elderly couples,"data.Food insecure, moderate or severe",4.3
2020,Nouvelle-Écosse,,data.Persons in elderly couples,"data.Food insecure, moderate or severe",3.4
2018,Nouvelle-Écosse,,data.Persons in elderly couples,"data.Food insecure, moderate",
2019,Nouvelle-Écosse,,data.Persons in elderly couples,"data.Food insecure, moderate",3.5
2020,Nouvelle-Écosse,,data.Persons in elderly couples,"data.Food insecure, moderate",2.8
2018,Nouvelle-Écosse,,data.Persons in elderly couples,"data.Food insecure, severe",
2019,Nouvelle-Écosse,,data.Persons in elderly couples,"data.Food insecure, severe",
2020,Nouvelle-Écosse,,data.Persons in elderly couples,"data.Food insecure, severe",
2018,Nouvelle-Écosse,,data.Persons in other elderly families,"data.Food insecure, marginal",
2019,Nouvelle-Écosse,,data.Persons in other elderly families,"data.Food insecure, marginal",
2020,Nouvelle-Écosse,,data.Persons in other elderly families,"data.Food insecure, marginal",
2018,Nouvelle-Écosse,,data.Persons in other elderly families,"data.Food insecure, moderate or severe",
2019,Nouvelle-Écosse,,data.Persons in other elderly families,"data.Food insecure, moderate or severe",
2020,Nouvelle-Écosse,,data.Persons in other elderly families,"data.Food insecure, moderate or severe",
2018,Nouvelle-Écosse,,data.Persons in other elderly families,"data.Food insecure, moderate",
2019,Nouvelle-Écosse,,data.Persons in other elderly families,"data.Food insecure, moderate",
2020,Nouvelle-Écosse,,data.Persons in other elderly families,"data.Food insecure, moderate",
2018,Nouvelle-Écosse,,data.Persons in other elderly families,"data.Food insecure, severe",
2019,Nouvelle-Écosse,,data.Persons in other elderly families,"data.Food insecure, severe",
2020,Nouvelle-Écosse,,data.Persons in other elderly families,"data.Food insecure, severe",
2018,Nouvelle-Écosse,,data.Persons in non-elderly families,"data.Food insecure, marginal",5.6
2019,Nouvelle-Écosse,,data.Persons in non-elderly families,"data.Food insecure, marginal",5.8
2020,Nouvelle-Écosse,,data.Persons in non-elderly families,"data.Food insecure, marginal",5.0
2018,Nouvelle-Écosse,,data.Persons in non-elderly families,"data.Food insecure, moderate or severe",17.3
2019,Nouvelle-Écosse,,data.Persons in non-elderly families,"data.Food insecure, moderate or severe",12.9
2020,Nouvelle-Écosse,,data.Persons in non-elderly families,"data.Food insecure, moderate or severe",14.1
2018,Nouvelle-Écosse,,data.Persons in non-elderly families,"data.Food insecure, moderate",11.8
2019,Nouvelle-Écosse,,data.Persons in non-elderly families,"data.Food insecure, moderate",9.2
2020,Nouvelle-Écosse,,data.Persons in non-elderly families,"data.Food insecure, moderate",8.6
2018,Nouvelle-Écosse,,data.Persons in non-elderly families,"data.Food insecure, severe",5.5
2019,Nouvelle-Écosse,,data.Persons in non-elderly families,"data.Food insecure, severe",3.7
2020,Nouvelle-Écosse,,data.Persons in non-elderly families,"data.Food insecure, severe",5.5
2018,Nouvelle-Écosse,,data.Persons in couples,"data.Food insecure, marginal",4.8
2019,Nouvelle-Écosse,,data.Persons in couples,"data.Food insecure, marginal",3.8
2020,Nouvelle-Écosse,,data.Persons in couples,"data.Food insecure, marginal",3.2
2018,Nouvelle-Écosse,,data.Persons in couples,"data.Food insecure, moderate or severe",12.0
2019,Nouvelle-Écosse,,data.Persons in couples,"data.Food insecure, moderate or severe",7.3
2020,Nouvelle-Écosse,,data.Persons in couples,"data.Food insecure, moderate or severe",8.7
2018,Nouvelle-Écosse,,data.Persons in couples,"data.Food insecure, moderate",6.5
2019,Nouvelle-Écosse,,data.Persons in couples,"data.Food insecure, moderate",4.5
2020,Nouvelle-Écosse,,data.Persons in couples,"data.Food insecure, moderate",5.7
2018,Nouvelle-Écosse,,data.Persons in couples,"data.Food insecure, severe",5.6
2019,Nouvelle-Écosse,,data.Persons in couples,"data.Food insecure, severe",2.8
2020,Nouvelle-Écosse,,data.Persons in couples,"data.Food insecure, severe",3.0
2018,Nouvelle-Écosse,,data.Persons in couple families with children,"data.Food insecure, marginal",7.0
2019,Nouvelle-Écosse,,data.Persons in couple families with children,"data.Food insecure, marginal",6.8
2020,Nouvelle-Écosse,,data.Persons in couple families with children,"data.Food insecure, marginal",4.6
2018,Nouvelle-Écosse,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",15.8
2019,Nouvelle-Écosse,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",13.1
2020,Nouvelle-Écosse,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",15.7
2018,Nouvelle-Écosse,,data.Persons in couple families with children,"data.Food insecure, moderate",12.7
2019,Nouvelle-Écosse,,data.Persons in couple families with children,"data.Food insecure, moderate",11.3
2020,Nouvelle-Écosse,,data.Persons in couple families with children,"data.Food insecure, moderate",11.0
2018,Nouvelle-Écosse,,data.Persons in couple families with children,"data.Food insecure, severe",3.2
2019,Nouvelle-Écosse,,data.Persons in couple families with children,"data.Food insecure, severe",
2020,Nouvelle-Écosse,,data.Persons in couple families with children,"data.Food insecure, severe",4.7
2018,Nouvelle-Écosse,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",
2019,Nouvelle-Écosse,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",
2020,Nouvelle-Écosse,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",
2018,Nouvelle-Écosse,,data.Persons in couple families with other relatives,"data.Food insecure, moderate or severe",12.8
2019,Nouvelle-Écosse,,data.Persons in couple families with other relatives,"data.Food insecure, moderate or severe",
2020,Nouvelle-Écosse,,data.Persons in couple families with other relatives,"data.Food insecure, moderate or severe",
2018,Nouvelle-Écosse,,data.Persons in couple families with other relatives,"data.Food insecure, moderate",10.8
2019,Nouvelle-Écosse,,data.Persons in couple families with other relatives,"data.Food insecure, moderate",
2020,Nouvelle-Écosse,,data.Persons in couple families with other relatives,"data.Food insecure, moderate",
2018,Nouvelle-Écosse,,data.Persons in couple families with other relatives,"data.Food insecure, severe",
2019,Nouvelle-Écosse,,data.Persons in couple families with other relatives,"data.Food insecure, severe",
2020,Nouvelle-Écosse,,data.Persons in couple families with other relatives,"data.Food insecure, severe",
2018,Nouvelle-Écosse,,data.Persons in lone-parent families,"data.Food insecure, marginal",
2019,Nouvelle-Écosse,,data.Persons in lone-parent families,"data.Food insecure, marginal",
2020,Nouvelle-Écosse,,data.Persons in lone-parent families,"data.Food insecure, marginal",
2018,Nouvelle-Écosse,,data.Persons in lone-parent families,"data.Food insecure, moderate or severe",39.0
2019,Nouvelle-Écosse,,data.Persons in lone-parent families,"data.Food insecure, moderate or severe",31.2
2020,Nouvelle-Écosse,,data.Persons in lone-parent families,"data.Food insecure, moderate or severe",34.3
2018,Nouvelle-Écosse,,data.Persons in lone-parent families,"data.Food insecure, moderate",22.1
2019,Nouvelle-Écosse,,data.Persons in lone-parent families,"data.Food insecure, moderate",16.4
2020,Nouvelle-Écosse,,data.Persons in lone-parent families,"data.Food insecure, moderate",15.2
2018,Nouvelle-Écosse,,data.Persons in lone-parent families,"data.Food insecure, severe",16.9
2019,Nouvelle-Écosse,,data.Persons in lone-parent families,"data.Food insecure, severe",14.8
2020,Nouvelle-Écosse,,data.Persons in lone-parent families,"data.Food insecure, severe",19.1
2018,Nouvelle-Écosse,,data.Persons in male lone-parent families,"data.Food insecure, marginal",
2019,Nouvelle-Écosse,,data.Persons in male lone-parent families,"data.Food insecure, marginal",
2020,Nouvelle-Écosse,,data.Persons in male lone-parent families,"data.Food insecure, marginal",
2018,Nouvelle-Écosse,,data.Persons in male lone-parent families,"data.Food insecure, moderate or severe",
2019,Nouvelle-Écosse,,data.Persons in male lone-parent families,"data.Food insecure, moderate or severe",
2020,Nouvelle-Écosse,,data.Persons in male lone-parent families,"data.Food insecure, moderate or severe",
2018,Nouvelle-Écosse,,data.Persons in male lone-parent families,"data.Food insecure, moderate",
2019,Nouvelle-Écosse,,data.Persons in male lone-parent families,"data.Food insecure, moderate",
2020,Nouvelle-Écosse,,data.Persons in male lone-parent families,"data.Food insecure, moderate",
2018,Nouvelle-Écosse,,data.Persons in male lone-parent families,"data.Food insecure, severe",
2019,Nouvelle-Écosse,,data.Persons in male lone-parent families,"data.Food insecure, severe",
2020,Nouvelle-Écosse,,data.Persons in male lone-parent families,"data.Food insecure, severe",
2018,Nouvelle-Écosse,,data.Persons in female lone-parent families,"data.Food insecure, marginal",
2019,Nouvelle-Écosse,,data.Persons in female lone-parent families,"data.Food insecure, marginal",
2020,Nouvelle-Écosse,,data.Persons in female lone-parent families,"data.Food insecure, marginal",
2018,Nouvelle-Écosse,,data.Persons in female lone-parent families,"data.Food insecure, moderate or severe",43.5
2019,Nouvelle-Écosse,,data.Persons in female lone-parent families,"data.Food insecure, moderate or severe",33.1
2020,Nouvelle-Écosse,,data.Persons in female lone-parent families,"data.Food insecure, moderate or severe",35.6
2018,Nouvelle-Écosse,,data.Persons in female lone-parent families,"data.Food insecure, moderate",24.6
2019,Nouvelle-Écosse,,data.Persons in female lone-parent families,"data.Food insecure, moderate",17.0
2020,Nouvelle-Écosse,,data.Persons in female lone-parent families,"data.Food insecure, moderate",16.4
2018,Nouvelle-Écosse,,data.Persons in female lone-parent families,"data.Food insecure, severe",18.9
2019,Nouvelle-Écosse,,data.Persons in female lone-parent families,"data.Food insecure, severe",16.1
2020,Nouvelle-Écosse,,data.Persons in female lone-parent families,"data.Food insecure, severe",19.2
2018,Nouvelle-Écosse,,data.Persons in other non-elderly families,"data.Food insecure, marginal",
2019,Nouvelle-Écosse,,data.Persons in other non-elderly families,"data.Food insecure, marginal",
2020,Nouvelle-Écosse,,data.Persons in other non-elderly families,"data.Food insecure, marginal",
2018,Nouvelle-Écosse,,data.Persons in other non-elderly families,"data.Food insecure, moderate or severe",24.9
2019,Nouvelle-Écosse,,data.Persons in other non-elderly families,"data.Food insecure, moderate or severe",12.8
2020,Nouvelle-Écosse,,data.Persons in other non-elderly families,"data.Food insecure, moderate or severe",17.9
2018,Nouvelle-Écosse,,data.Persons in other non-elderly families,"data.Food insecure, moderate",13.0
2019,Nouvelle-Écosse,,data.Persons in other non-elderly families,"data.Food insecure, moderate",
2020,Nouvelle-Écosse,,data.Persons in other non-elderly families,"data.Food insecure, moderate",
2018,Nouvelle-Écosse,,data.Persons in other non-elderly families,"data.Food insecure, severe",11.9
2019,Nouvelle-Écosse,,data.Persons in other non-elderly families,"data.Food insecure, severe",
2020,Nouvelle-Écosse,,data.Persons in other non-elderly families,"data.Food insecure, severe",
2018,Nouvelle-Écosse,,Personnes hors famille économique,"data.Food insecure, marginal",6.0
2019,Nouvelle-Écosse,,Personnes hors famille économique,"data.Food insecure, marginal",8.6
2020,Nouvelle-Écosse,,Personnes hors famille économique,"data.Food insecure, marginal",3.8
2018,Nouvelle-Écosse,,Personnes hors famille économique,"data.Food insecure, moderate or severe",17.7
2019,Nouvelle-Écosse,,Personnes hors famille économique,"data.Food insecure, moderate or severe",16.1
2020,Nouvelle-Écosse,,Personnes hors famille économique,"data.Food insecure, moderate or severe",15.9
2018,Nouvelle-Écosse,,Personnes hors famille économique,"data.Food insecure, moderate",7.5
2019,Nouvelle-Écosse,,Personnes hors famille économique,"data.Food insecure, moderate",7.5
2020,Nouvelle-Écosse,,Personnes hors famille économique,"data.Food insecure, moderate",9.1
2018,Nouvelle-Écosse,,Personnes hors famille économique,"data.Food insecure, severe",10.2
2019,Nouvelle-Écosse,,Personnes hors famille économique,"data.Food insecure, severe",8.6
2020,Nouvelle-Écosse,,Personnes hors famille économique,"data.Food insecure, severe",6.7
2018,Nouvelle-Écosse,,Personnes âgées hors famille économique,"data.Food insecure, marginal",5.0
2019,Nouvelle-Écosse,,Personnes âgées hors famille économique,"data.Food insecure, marginal",
2020,Nouvelle-Écosse,,Personnes âgées hors famille économique,"data.Food insecure, marginal",4.9
2018,Nouvelle-Écosse,,Personnes âgées hors famille économique,"data.Food insecure, moderate or severe",13.0
2019,Nouvelle-Écosse,,Personnes âgées hors famille économique,"data.Food insecure, moderate or severe",9.2
2020,Nouvelle-Écosse,,Personnes âgées hors famille économique,"data.Food insecure, moderate or severe",10.4
2018,Nouvelle-Écosse,,Personnes âgées hors famille économique,"data.Food insecure, moderate",6.7
2019,Nouvelle-Écosse,,Personnes âgées hors famille économique,"data.Food insecure, moderate",7.0
2020,Nouvelle-Écosse,,Personnes âgées hors famille économique,"data.Food insecure, moderate",7.4
2018,Nouvelle-Écosse,,Personnes âgées hors famille économique,"data.Food insecure, severe",6.3
2019,Nouvelle-Écosse,,Personnes âgées hors famille économique,"data.Food insecure, severe",
2020,Nouvelle-Écosse,,Personnes âgées hors famille économique,"data.Food insecure, severe",3.0
2018,Nouvelle-Écosse,,Hommes âgés hors famille économique,"data.Food insecure, marginal",
2019,Nouvelle-Écosse,,Hommes âgés hors famille économique,"data.Food insecure, marginal",
2020,Nouvelle-Écosse,,Hommes âgés hors famille économique,"data.Food insecure, marginal",
2018,Nouvelle-Écosse,,Hommes âgés hors famille économique,"data.Food insecure, moderate or severe",17.4
2019,Nouvelle-Écosse,,Hommes âgés hors famille économique,"data.Food insecure, moderate or severe",11.5
2020,Nouvelle-Écosse,,Hommes âgés hors famille économique,"data.Food insecure, moderate or severe",13.3
2018,Nouvelle-Écosse,,Hommes âgés hors famille économique,"data.Food insecure, moderate",
2019,Nouvelle-Écosse,,Hommes âgés hors famille économique,"data.Food insecure, moderate",
2020,Nouvelle-Écosse,,Hommes âgés hors famille économique,"data.Food insecure, moderate",10.6
2018,Nouvelle-Écosse,,Hommes âgés hors famille économique,"data.Food insecure, severe",11.0
2019,Nouvelle-Écosse,,Hommes âgés hors famille économique,"data.Food insecure, severe",
2020,Nouvelle-Écosse,,Hommes âgés hors famille économique,"data.Food insecure, severe",
2018,Nouvelle-Écosse,,Femmes âgées hors famille économique,"data.Food insecure, marginal",4.1
2019,Nouvelle-Écosse,,Femmes âgées hors famille économique,"data.Food insecure, marginal",
2020,Nouvelle-Écosse,,Femmes âgées hors famille économique,"data.Food insecure, marginal",5.2
2018,Nouvelle-Écosse,,Femmes âgées hors famille économique,"data.Food insecure, moderate or severe",10.6
2019,Nouvelle-Écosse,,Femmes âgées hors famille économique,"data.Food insecure, moderate or severe",7.9
2020,Nouvelle-Écosse,,Femmes âgées hors famille économique,"data.Food insecure, moderate or severe",8.8
2018,Nouvelle-Écosse,,Femmes âgées hors famille économique,"data.Food insecure, moderate",6.8
2019,Nouvelle-Écosse,,Femmes âgées hors famille économique,"data.Food insecure, moderate",
