Year,Géographie,Marital status,Groupe d'âge,Value
2021,Alberta,Vivant en union libre,15 à 19 ans,1.26
2021,Alberta,Vivant en union libre,20 à 24 ans,13.51
2021,Colombie-Britannique,Marié ou vivant en union libre,15 à 19 ans,1.2
2021,Colombie-Britannique,Marié ou vivant en union libre,20 à 24 ans,16.24
2021,Colombie-Britannique,Marié,15 à 19 ans,0.22
2021,Colombie-Britannique,Marié,20 à 24 ans,5.24
2021,Colombie-Britannique,Vivant en union libre,15 à 19 ans,0.99
2021,Colombie-Britannique,Vivant en union libre,20 à 24 ans,11.0
2021,Canada,Marié ou vivant en union libre,15 à 19 ans,1.34
2021,Canada,Marié ou vivant en union libre,20 à 24 ans,16.93
2021,Canada,Marié,15 à 19 ans,0.17
2021,Canada,Marié,20 à 24 ans,4.49
2021,Canada,Vivant en union libre,15 à 19 ans,1.17
2021,Canada,Vivant en union libre,20 à 24 ans,12.43
2021,Manitoba,Marié ou vivant en union libre,15 à 19 ans,1.87
2021,Manitoba,Marié ou vivant en union libre,20 à 24 ans,18.98
2021,Manitoba,Marié,15 à 19 ans,0.36
2021,Manitoba,Marié,20 à 24 ans,7.07
2021,Manitoba,Vivant en union libre,15 à 19 ans,1.51
2021,Manitoba,Vivant en union libre,20 à 24 ans,11.92
2021,Nouveau-Brunswick,Marié ou vivant en union libre,15 à 19 ans,2.21
2021,Nouveau-Brunswick,Marié ou vivant en union libre,20 à 24 ans,22.16
2021,Nouveau-Brunswick,Marié,15 à 19 ans,0.18
2021,Nouveau-Brunswick,Marié,20 à 24 ans,3.78
2021,Nouveau-Brunswick,Vivant en union libre,15 à 19 ans,2.03
2021,Nouveau-Brunswick,Vivant en union libre,20 à 24 ans,18.41
2021,Terre-Neuve-et-Labrador,Marié ou vivant en union libre,15 à 19 ans,1.45
2021,Terre-Neuve-et-Labrador,Marié ou vivant en union libre,20 à 24 ans,18.05
2021,Terre-Neuve-et-Labrador,Marié,15 à 19 ans,0.04
2021,Terre-Neuve-et-Labrador,Marié,20 à 24 ans,2.08
2021,Terre-Neuve-et-Labrador,Vivant en union libre,15 à 19 ans,1.41
2021,Terre-Neuve-et-Labrador,Vivant en union libre,20 à 24 ans,15.97
2021,Territoires du Nord-Ouest,Marié ou vivant en union libre,15 à 19 ans,2.0
2021,Territoires du Nord-Ouest,Marié ou vivant en union libre,20 à 24 ans,22.63
2021,Territoires du Nord-Ouest,Marié,20 à 24 ans,2.88
2021,Territoires du Nord-Ouest,Vivant en union libre,15 à 19 ans,2.0
2021,Territoires du Nord-Ouest,Vivant en union libre,20 à 24 ans,19.34
2021,Nouvelle-Écosse,Marié ou vivant en union libre,15 à 19 ans,1.41
2021,Nouvelle-Écosse,Marié ou vivant en union libre,20 à 24 ans,18.21
2021,Nouvelle-Écosse,Marié,15 à 19 ans,0.15
2021,Nouvelle-Écosse,Marié,20 à 24 ans,2.92
2021,Nouvelle-Écosse,Vivant en union libre,15 à 19 ans,1.24
2021,Nouvelle-Écosse,Vivant en union libre,20 à 24 ans,15.29
2021,Nunavut,Marié ou vivant en union libre,15 à 19 ans,9.35
2021,Nunavut,Marié ou vivant en union libre,20 à 24 ans,32.85
2021,Nunavut,Marié,20 à 24 ans,1.81
2021,Nunavut,Vivant en union libre,15 à 19 ans,9.35
2021,Nunavut,Vivant en union libre,20 à 24 ans,30.69
2021,Ontario,Marié ou vivant en union libre,15 à 19 ans,0.74
2021,Ontario,Marié ou vivant en union libre,20 à 24 ans,12.48
2021,Ontario,Marié,15 à 19 ans,0.16
2021,Ontario,Marié,20 à 24 ans,4.33
2021,Ontario,Vivant en union libre,15 à 19 ans,0.58
2021,Ontario,Vivant en union libre,20 à 24 ans,8.15
2021,Île-du-Prince-Édouard,Marié ou vivant en union libre,15 à 19 ans,1.07
2021,Île-du-Prince-Édouard,Marié ou vivant en union libre,20 à 24 ans,17.17
2021,Île-du-Prince-Édouard,Marié,20 à 24 ans,3.99
2021,Île-du-Prince-Édouard,Vivant en union libre,15 à 19 ans,1.07
2021,Île-du-Prince-Édouard,Vivant en union libre,20 à 24 ans,13.17
2021,Québec,Marié ou vivant en union libre,15 à 19 ans,2.09
2021,Québec,Marié ou vivant en union libre,20 à 24 ans,22.1
2021,Québec,Marié,15 à 19 ans,0.12
2021,Québec,Marié,20 à 24 ans,2.85
2021,Québec,Vivant en union libre,15 à 19 ans,1.97
2021,Québec,Vivant en union libre,20 à 24 ans,19.25
2021,Saskatchewan,Marié ou vivant en union libre,15 à 19 ans,1.96
2021,Saskatchewan,Marié ou vivant en union libre,20 à 24 ans,21.85
2021,Saskatchewan,Marié,15 à 19 ans,0.15
2021,Saskatchewan,Marié,20 à 24 ans,5.84
2021,Saskatchewan,Vivant en union libre,15 à 19 ans,1.8
2021,Saskatchewan,Vivant en union libre,20 à 24 ans,15.99
2021,Yukon,Marié ou vivant en union libre,15 à 19 ans,2.01
2021,Yukon,Marié ou vivant en union libre,20 à 24 ans,20.38
2021,Yukon,Marié,20 à 24 ans,4.27
2021,Yukon,Vivant en union libre,15 à 19 ans,2.01
2021,Yukon,Vivant en union libre,20 à 24 ans,16.11
