Year,Geography,Level of government,Type of heritage,GeoCode,Value
2021,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,59,12.43623
2021,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,59,72.89543
2021,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,60,931.07702
2021,Yukon,Consolidated provincial-territorial and local governments,Cultural services,60,349.15388
2021,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,61,426.20965
2021,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,61,224.32087
2021,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,62,149.67819
2021,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,62,573.7664
2022,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,,58.34759
2022,Canada,Consolidated Canadian general government,Cultural services,,192.63436
2022,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,,35.54272
2022,Canada,Consolidated provincial-territorial and local governments,Cultural services,,119.75123
2022,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,10,18.81174
2022,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,10,77.12812
2022,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,11,11.96258
2022,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,11,59.81291
2022,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,12,49.73451
2022,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,12,60.46156
2022,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,13,19.76363
2022,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,13,69.17269
2022,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,24,15.4517
2022,Quebec,Consolidated provincial-territorial and local governments,Cultural services,24,205.83048
2022,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,35,60.01978
2022,Ontario,Consolidated provincial-territorial and local governments,Cultural services,35,94.68468
2022,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,46,33.25294
2022,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,46,138.67182
2022,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,47,20.36622
2022,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,47,162.08116
2022,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,48,8.64574
2022,Alberta,Consolidated provincial-territorial and local governments,Cultural services,48,96.65496
2022,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,59,16.4293
2022,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,59,75.23873
2022,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,60,911.05797
2022,Yukon,Consolidated provincial-territorial and local governments,Cultural services,60,364.42319
2022,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,61,425.19861
2022,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,61,223.78874
2022,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,62,148.20304
2022,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,62,592.81215
