Year,Géographie,Sexe,Groupe d'âge,GeoCode,Value
2016,Ontario,Femmes,25 à 29 ans,35,6.4
2016,Ontario,Femmes,30 à 34 ans,35,5.7
2016,Ontario,Femmes,35 à 39 ans,35,5.6
2016,Ontario,Femmes,40 à 44 ans,35,5.5
2016,Ontario,Femmes,45 à 49 ans,35,4.5
2016,Ontario,Femmes,50 à 54 ans,35,4.5
2016,Ontario,Femmes,55 à 59 ans,35,5.1
2016,Ontario,Femmes,60 à 64 ans,35,5.1
2016,Ontario,Femmes,65 ans et plus,35,3.5
2016,Ontario,Femmes,65 à 69 ans,35,3.8
2016,Ontario,Femmes,70 ans et plus,35,
2016,Manitoba,Les deux sexes,15 ans et plus,46,6.1
2016,Manitoba,Les deux sexes,15 à 24 ans,46,12.6
2016,Manitoba,Les deux sexes,25 ans et plus,46,4.8
2016,Manitoba,Les deux sexes,25 à 44 ans,46,5.2
2016,Manitoba,Les deux sexes,45 à 64 ans,46,4.6
2016,Manitoba,Les deux sexes,45 ans et plus,46,4.4
2016,Manitoba,Les deux sexes,25 à 54 ans,46,5.0
2016,Manitoba,Les deux sexes,55 ans et plus,46,4.1
2016,Manitoba,Les deux sexes,15 à 64 ans,46,6.2
2016,Manitoba,Les deux sexes,15 à 19 ans,46,17.5
2016,Manitoba,Les deux sexes,20 à 24 ans,46,9.6
2016,Manitoba,Les deux sexes,25 à 29 ans,46,7.1
2016,Manitoba,Les deux sexes,30 à 34 ans,46,5.2
2016,Manitoba,Les deux sexes,35 à 39 ans,46,4.0
2016,Manitoba,Les deux sexes,40 à 44 ans,46,4.4
2016,Manitoba,Les deux sexes,45 à 49 ans,46,4.5
2016,Manitoba,Les deux sexes,50 à 54 ans,46,4.7
2016,Manitoba,Les deux sexes,55 à 59 ans,46,4.6
2016,Manitoba,Les deux sexes,60 à 64 ans,46,4.5
2016,Manitoba,Les deux sexes,65 ans et plus,46,2.7
2016,Manitoba,Les deux sexes,65 à 69 ans,46,3.4
2016,Manitoba,Les deux sexes,70 ans et plus,46,
2016,Manitoba,Hommes,15 ans et plus,46,6.6
2016,Manitoba,Hommes,15 à 24 ans,46,14.2
2016,Manitoba,Hommes,25 ans et plus,46,5.1
2016,Manitoba,Hommes,25 à 44 ans,46,5.6
2016,Manitoba,Hommes,45 à 64 ans,46,4.8
2016,Manitoba,Hommes,45 ans et plus,46,4.6
2016,Manitoba,Hommes,25 à 54 ans,46,5.3
2016,Manitoba,Hommes,55 ans et plus,46,4.5
2016,Manitoba,Hommes,15 à 64 ans,46,6.8
2016,Manitoba,Hommes,15 à 19 ans,46,20.0
2016,Manitoba,Hommes,20 à 24 ans,46,11.1
2016,Manitoba,Hommes,25 à 29 ans,46,8.4
2016,Manitoba,Hommes,30 à 34 ans,46,5.3
2016,Manitoba,Hommes,35 à 39 ans,46,4.2
2016,Manitoba,Hommes,40 à 44 ans,46,4.5
2016,Manitoba,Hommes,45 à 49 ans,46,4.6
2016,Manitoba,Hommes,50 à 54 ans,46,4.7
2016,Manitoba,Hommes,55 à 59 ans,46,4.8
2016,Manitoba,Hommes,60 à 64 ans,46,5.4
2016,Manitoba,Hommes,65 ans et plus,46,
2016,Manitoba,Hommes,65 à 69 ans,46,
2016,Manitoba,Hommes,70 ans et plus,46,
2016,Manitoba,Femmes,15 ans et plus,46,5.5
2016,Manitoba,Femmes,15 à 24 ans,46,10.9
2016,Manitoba,Femmes,25 ans et plus,46,4.4
2016,Manitoba,Femmes,25 à 44 ans,46,4.6
2016,Manitoba,Femmes,45 à 64 ans,46,4.3
2016,Manitoba,Femmes,45 ans et plus,46,4.1
2016,Manitoba,Femmes,25 à 54 ans,46,4.6
2016,Manitoba,Femmes,55 ans et plus,46,3.6
2016,Manitoba,Femmes,15 à 64 ans,46,5.6
2016,Manitoba,Femmes,15 à 19 ans,46,15.3
2016,Manitoba,Femmes,20 à 24 ans,46,7.8
2016,Manitoba,Femmes,25 à 29 ans,46,5.6
2016,Manitoba,Femmes,30 à 34 ans,46,5.0
2016,Manitoba,Femmes,35 à 39 ans,46,3.7
2016,Manitoba,Femmes,40 à 44 ans,46,4.5
2016,Manitoba,Femmes,45 à 49 ans,46,4.4
2016,Manitoba,Femmes,50 à 54 ans,46,4.8
2016,Manitoba,Femmes,55 à 59 ans,46,4.2
2016,Manitoba,Femmes,60 à 64 ans,46,4.0
2016,Manitoba,Femmes,65 ans et plus,46,
2016,Manitoba,Femmes,65 à 69 ans,46,
2016,Manitoba,Femmes,70 ans et plus,46,
2016,Saskatchewan,Les deux sexes,15 ans et plus,47,6.4
2016,Saskatchewan,Les deux sexes,15 à 24 ans,47,11.4
2016,Saskatchewan,Les deux sexes,25 ans et plus,47,5.5
2016,Saskatchewan,Les deux sexes,25 à 44 ans,47,5.9
2016,Saskatchewan,Les deux sexes,45 à 64 ans,47,5.3
2016,Saskatchewan,Les deux sexes,45 ans et plus,47,5.1
2016,Saskatchewan,Les deux sexes,25 à 54 ans,47,5.7
2016,Saskatchewan,Les deux sexes,55 ans et plus,47,5.1
2016,Saskatchewan,Les deux sexes,15 à 64 ans,47,6.5
2016,Saskatchewan,Les deux sexes,15 à 19 ans,47,15.7
2016,Saskatchewan,Les deux sexes,20 à 24 ans,47,8.6
2016,Saskatchewan,Les deux sexes,25 à 29 ans,47,7.1
2016,Saskatchewan,Les deux sexes,30 à 34 ans,47,6.1
2016,Saskatchewan,Les deux sexes,35 à 39 ans,47,5.8
2016,Saskatchewan,Les deux sexes,40 à 44 ans,47,4.3
2016,Saskatchewan,Les deux sexes,45 à 49 ans,47,5.3
2016,Saskatchewan,Les deux sexes,50 à 54 ans,47,4.9
2016,Saskatchewan,Les deux sexes,55 à 59 ans,47,5.5
2016,Saskatchewan,Les deux sexes,60 à 64 ans,47,5.2
2016,Saskatchewan,Les deux sexes,65 ans et plus,47,4.3
2016,Saskatchewan,Les deux sexes,65 à 69 ans,47,4.3
2016,Saskatchewan,Les deux sexes,70 ans et plus,47,4.2
2016,Saskatchewan,Hommes,15 ans et plus,47,7.1
2016,Saskatchewan,Hommes,15 à 24 ans,47,13.7
2016,Saskatchewan,Hommes,25 ans et plus,47,5.9
2016,Saskatchewan,Hommes,25 à 44 ans,47,6.0
2016,Saskatchewan,Hommes,45 à 64 ans,47,6.0
2016,Saskatchewan,Hommes,45 ans et plus,47,5.9
2016,Saskatchewan,Hommes,25 à 54 ans,47,6.0
2016,Saskatchewan,Hommes,55 ans et plus,47,5.8
2016,Saskatchewan,Hommes,15 à 64 ans,47,7.2
2016,Saskatchewan,Hommes,15 à 19 ans,47,19.2
2016,Saskatchewan,Hommes,20 à 24 ans,47,10.6
2016,Saskatchewan,Hommes,25 à 29 ans,47,7.7
2016,Saskatchewan,Hommes,30 à 34 ans,47,6.3
2016,Saskatchewan,Hommes,35 à 39 ans,47,6.0
2016,Saskatchewan,Hommes,40 à 44 ans,47,4.3
2016,Saskatchewan,Hommes,45 à 49 ans,47,5.6
2016,Saskatchewan,Hommes,50 à 54 ans,47,6.0
2016,Saskatchewan,Hommes,55 à 59 ans,47,6.6
2016,Saskatchewan,Hommes,60 à 64 ans,47,5.6
2016,Saskatchewan,Hommes,65 ans et plus,47,
2016,Saskatchewan,Hommes,65 à 69 ans,47,
2016,Saskatchewan,Hommes,70 ans et plus,47,
2016,Saskatchewan,Femmes,15 ans et plus,47,5.6
2016,Saskatchewan,Femmes,15 à 24 ans,47,8.8
2016,Saskatchewan,Femmes,25 ans et plus,47,5.0
2016,Saskatchewan,Femmes,25 à 44 ans,47,5.7
2016,Saskatchewan,Femmes,45 à 64 ans,47,4.4
2016,Saskatchewan,Femmes,45 ans et plus,47,4.2
2016,Saskatchewan,Femmes,25 à 54 ans,47,5.3
2016,Saskatchewan,Femmes,55 ans et plus,47,4.2
2016,Saskatchewan,Femmes,15 à 64 ans,47,5.7
2016,Saskatchewan,Femmes,15 à 19 ans,47,12.9
2016,Saskatchewan,Femmes,20 à 24 ans,47,6.3
2016,Saskatchewan,Femmes,25 à 29 ans,47,6.4
2016,Saskatchewan,Femmes,30 à 34 ans,47,6.1
2016,Saskatchewan,Femmes,35 à 39 ans,47,5.9
2016,Saskatchewan,Femmes,40 à 44 ans,47,4.4
2016,Saskatchewan,Femmes,45 à 49 ans,47,5.0
2016,Saskatchewan,Femmes,50 à 54 ans,47,3.5
2016,Saskatchewan,Femmes,55 à 59 ans,47,4.2
2016,Saskatchewan,Femmes,60 à 64 ans,47,5.1
2016,Saskatchewan,Femmes,65 ans et plus,47,
2016,Saskatchewan,Femmes,65 à 69 ans,47,
2016,Saskatchewan,Femmes,70 ans et plus,47,
2016,Alberta,Les deux sexes,15 ans et plus,48,8.2
2016,Alberta,Les deux sexes,15 à 24 ans,48,12.8
2016,Alberta,Les deux sexes,25 ans et plus,48,7.4
2016,Alberta,Les deux sexes,25 à 44 ans,48,7.1
2016,Alberta,Les deux sexes,45 à 64 ans,48,8.0
2016,Alberta,Les deux sexes,45 ans et plus,48,7.8
2016,Alberta,Les deux sexes,25 à 54 ans,48,7.2
2016,Alberta,Les deux sexes,55 ans et plus,48,8.1
2016,Alberta,Les deux sexes,15 à 64 ans,48,8.3
2016,Alberta,Les deux sexes,15 à 19 ans,48,17.5
2016,Alberta,Les deux sexes,20 à 24 ans,48,10.0
2016,Alberta,Les deux sexes,25 à 29 ans,48,8.1
2016,Alberta,Les deux sexes,30 à 34 ans,48,6.6
2016,Alberta,Les deux sexes,35 à 39 ans,48,6.6
2016,Alberta,Les deux sexes,40 à 44 ans,48,7.1
2016,Alberta,Les deux sexes,45 à 49 ans,48,7.9
2016,Alberta,Les deux sexes,50 à 54 ans,48,7.2
2016,Alberta,Les deux sexes,55 à 59 ans,48,7.4
2016,Alberta,Les deux sexes,60 à 64 ans,48,10.6
2016,Alberta,Les deux sexes,65 ans et plus,48,5.6
2016,Alberta,Les deux sexes,65 à 69 ans,48,6.6
2016,Alberta,Les deux sexes,70 ans et plus,48,
2016,Alberta,Hommes,15 ans et plus,48,8.8
2016,Alberta,Hommes,15 à 24 ans,48,14.1
2016,Alberta,Hommes,25 ans et plus,48,7.9
2016,Alberta,Hommes,25 à 44 ans,48,7.8
2016,Alberta,Hommes,45 à 64 ans,48,8.2
2016,Alberta,Hommes,45 ans et plus,48,8.1
2016,Alberta,Hommes,25 à 54 ans,48,7.8
2016,Alberta,Hommes,55 ans et plus,48,8.3
2016,Alberta,Hommes,15 à 64 ans,48,8.9
2016,Alberta,Hommes,15 à 19 ans,48,17.9
2016,Alberta,Hommes,20 à 24 ans,48,11.9
2016,Alberta,Hommes,25 à 29 ans,48,9.1
2016,Alberta,Hommes,30 à 34 ans,48,7.2
2016,Alberta,Hommes,35 à 39 ans,48,6.9
2016,Alberta,Hommes,40 à 44 ans,48,8.0
2016,Alberta,Hommes,45 à 49 ans,48,7.5
2016,Alberta,Hommes,50 à 54 ans,48,8.2
2016,Alberta,Hommes,55 à 59 ans,48,7.2
2016,Alberta,Hommes,60 à 64 ans,48,10.9
2016,Alberta,Hommes,65 ans et plus,48,
2016,Alberta,Hommes,65 à 69 ans,48,
2016,Alberta,Hommes,70 ans et plus,48,
2016,Alberta,Femmes,15 ans et plus,48,7.5
2016,Alberta,Femmes,15 à 24 ans,48,11.4
2016,Alberta,Femmes,25 ans et plus,48,6.8
2016,Alberta,Femmes,25 à 44 ans,48,6.2
2016,Alberta,Femmes,45 à 64 ans,48,7.8
2016,Alberta,Femmes,45 ans et plus,48,7.4
2016,Alberta,Femmes,25 à 54 ans,48,6.5
2016,Alberta,Femmes,55 ans et plus,48,7.7
2016,Alberta,Femmes,15 à 64 ans,48,7.6
2016,Alberta,Femmes,15 à 19 ans,48,17.2
2016,Alberta,Femmes,20 à 24 ans,48,7.9
2016,Alberta,Femmes,25 à 29 ans,48,6.8
2016,Alberta,Femmes,30 à 34 ans,48,5.8
2016,Alberta,Femmes,35 à 39 ans,48,6.2
2016,Alberta,Femmes,40 à 44 ans,48,6.1
2016,Alberta,Femmes,45 à 49 ans,48,8.3
2016,Alberta,Femmes,50 à 54 ans,48,6.1
2016,Alberta,Femmes,55 à 59 ans,48,7.6
2016,Alberta,Femmes,60 à 64 ans,48,10.4
2016,Alberta,Femmes,65 ans et plus,48,
2016,Alberta,Femmes,65 à 69 ans,48,
2016,Alberta,Femmes,70 ans et plus,48,
2016,Colombie-Britannique,Les deux sexes,15 ans et plus,59,6.1
2016,Colombie-Britannique,Les deux sexes,15 à 24 ans,59,10.1
2016,Colombie-Britannique,Les deux sexes,25 ans et plus,59,5.4
2016,Colombie-Britannique,Les deux sexes,25 à 44 ans,59,5.6
2016,Colombie-Britannique,Les deux sexes,45 à 64 ans,59,5.2
2016,Colombie-Britannique,Les deux sexes,45 ans et plus,59,5.3
2016,Colombie-Britannique,Les deux sexes,25 à 54 ans,59,5.3
2016,Colombie-Britannique,Les deux sexes,55 ans et plus,59,5.6
2016,Colombie-Britannique,Les deux sexes,15 à 64 ans,59,6.1
2016,Colombie-Britannique,Les deux sexes,15 à 19 ans,59,13.5
2016,Colombie-Britannique,Les deux sexes,20 à 24 ans,59,8.3
2016,Colombie-Britannique,Les deux sexes,25 à 29 ans,59,7.0
2016,Colombie-Britannique,Les deux sexes,30 à 34 ans,59,5.3
2016,Colombie-Britannique,Les deux sexes,35 à 39 ans,59,5.1
2016,Colombie-Britannique,Les deux sexes,40 à 44 ans,59,4.9
2016,Colombie-Britannique,Les deux sexes,45 à 49 ans,59,4.7
2016,Colombie-Britannique,Les deux sexes,50 à 54 ans,59,5.1
2016,Colombie-Britannique,Les deux sexes,55 à 59 ans,59,5.3
2016,Colombie-Britannique,Les deux sexes,60 à 64 ans,59,6.1
2016,Colombie-Britannique,Les deux sexes,65 ans et plus,59,5.5
2016,Colombie-Britannique,Les deux sexes,65 à 69 ans,59,5.3
2016,Colombie-Britannique,Les deux sexes,70 ans et plus,59,6.0
2016,Colombie-Britannique,Hommes,15 ans et plus,59,6.6
2016,Colombie-Britannique,Hommes,15 à 24 ans,59,11.4
2016,Colombie-Britannique,Hommes,25 ans et plus,59,5.8
2016,Colombie-Britannique,Hommes,25 à 44 ans,59,6.2
2016,Colombie-Britannique,Hommes,45 à 64 ans,59,5.3
2016,Colombie-Britannique,Hommes,45 ans et plus,59,5.5
2016,Colombie-Britannique,Hommes,25 à 54 ans,59,5.7
2016,Colombie-Britannique,Hommes,55 ans et plus,59,6.3
2016,Colombie-Britannique,Hommes,15 à 64 ans,59,6.6
2016,Colombie-Britannique,Hommes,15 à 19 ans,59,14.5
2016,Colombie-Britannique,Hommes,20 à 24 ans,59,9.9
2016,Colombie-Britannique,Hommes,25 à 29 ans,59,8.4
2016,Colombie-Britannique,Hommes,30 à 34 ans,59,5.9
2016,Colombie-Britannique,Hommes,35 à 39 ans,59,4.6
2016,Colombie-Britannique,Hommes,40 à 44 ans,59,5.8
2016,Colombie-Britannique,Hommes,45 à 49 ans,59,4.6
2016,Colombie-Britannique,Hommes,50 à 54 ans,59,4.7
2016,Colombie-Britannique,Hommes,55 à 59 ans,59,5.5
2016,Colombie-Britannique,Hommes,60 à 64 ans,59,7.1
2016,Colombie-Britannique,Hommes,65 ans et plus,59,7.0
2016,Colombie-Britannique,Hommes,65 à 69 ans,59,
2016,Colombie-Britannique,Hommes,70 ans et plus,59,
2016,Colombie-Britannique,Femmes,15 ans et plus,59,5.5
2016,Colombie-Britannique,Femmes,15 à 24 ans,59,8.8
2016,Colombie-Britannique,Femmes,25 ans et plus,59,4.9
2016,Colombie-Britannique,Femmes,25 à 44 ans,59,4.9
2016,Colombie-Britannique,Femmes,45 à 64 ans,59,5.1
2016,Colombie-Britannique,Femmes,45 ans et plus,59,5.0
2016,Colombie-Britannique,Femmes,25 à 54 ans,59,5.0
2016,Colombie-Britannique,Femmes,55 ans et plus,59,4.8
2016,Colombie-Britannique,Femmes,15 à 64 ans,59,5.6
2016,Colombie-Britannique,Femmes,15 à 19 ans,59,12.5
2016,Colombie-Britannique,Femmes,20 à 24 ans,59,6.6
2016,Colombie-Britannique,Femmes,25 à 29 ans,59,5.5
2016,Colombie-Britannique,Femmes,30 à 34 ans,59,4.6
2016,Colombie-Britannique,Femmes,35 à 39 ans,59,5.5
2016,Colombie-Britannique,Femmes,40 à 44 ans,59,3.9
2016,Colombie-Britannique,Femmes,45 à 49 ans,59,4.8
2016,Colombie-Britannique,Femmes,50 à 54 ans,59,5.6
2016,Colombie-Britannique,Femmes,55 à 59 ans,59,5.1
2016,Colombie-Britannique,Femmes,60 à 64 ans,59,5.1
2016,Colombie-Britannique,Femmes,65 ans et plus,59,3.4
2016,Colombie-Britannique,Femmes,65 à 69 ans,59,
2016,Colombie-Britannique,Femmes,70 ans et plus,59,
2017,Canada,Les deux sexes,15 à 24 ans,,11.2
2017,Canada,Les deux sexes,25 ans et plus,,5.6
2017,Canada,Les deux sexes,25 à 44 ans,,5.7
2017,Canada,Les deux sexes,45 à 64 ans,,5.5
2017,Canada,Les deux sexes,45 ans et plus,,5.5
2017,Canada,Les deux sexes,25 à 54 ans,,5.5
2017,Canada,Les deux sexes,55 ans et plus,,5.8
2017,Canada,Les deux sexes,15 à 64 ans,,6.5
2017,Canada,Les deux sexes,15 à 19 ans,,15.2
2017,Canada,Les deux sexes,20 à 24 ans,,9.0
2017,Canada,Les deux sexes,25 à 29 ans,,7.3
2017,Canada,Les deux sexes,30 à 34 ans,,5.4
2017,Canada,Les deux sexes,35 à 39 ans,,5.0
2017,Canada,Les deux sexes,40 à 44 ans,,5.1
2017,Canada,Les deux sexes,45 à 49 ans,,5.4
2017,Canada,Les deux sexes,50 à 54 ans,,5.0
2017,Canada,Les deux sexes,55 à 59 ans,,5.5
2017,Canada,Les deux sexes,60 à 64 ans,,6.8
2017,Canada,Les deux sexes,65 ans et plus,,5.1
2017,Canada,Les deux sexes,65 à 69 ans,,5.6
2017,Canada,Les deux sexes,70 ans et plus,,4.0
2017,Canada,Hommes,15 ans et plus,,6.9
2017,Canada,Hommes,15 à 24 ans,,12.8
2017,Canada,Hommes,25 ans et plus,,5.9
2017,Canada,Hommes,25 à 44 ans,,6.0
2017,Canada,Hommes,45 à 64 ans,,5.8
2017,Canada,Hommes,45 ans et plus,,5.8
2017,Canada,Hommes,25 à 54 ans,,5.8
2017,Canada,Hommes,55 ans et plus,,6.2
2017,Canada,Hommes,15 à 64 ans,,7.0
2017,Canada,Hommes,15 à 19 ans,,16.9
2017,Canada,Hommes,20 à 24 ans,,10.5
2017,Canada,Hommes,25 à 29 ans,,8.1
2017,Canada,Hommes,30 à 34 ans,,5.6
2017,Canada,Hommes,35 à 39 ans,,5.1
2017,Canada,Hommes,40 à 44 ans,,5.0
2017,Canada,Hommes,45 à 49 ans,,5.3
2017,Canada,Hommes,50 à 54 ans,,5.3
2017,Canada,Hommes,55 à 59 ans,,5.9
2017,Canada,Hommes,60 à 64 ans,,7.3
2017,Canada,Hommes,65 ans et plus,,5.3
2017,Canada,Hommes,65 à 69 ans,,6.1
2017,Canada,Hommes,70 ans et plus,,3.9
2017,Canada,Femmes,15 ans et plus,,5.9
2017,Canada,Femmes,15 à 24 ans,,9.6
2017,Canada,Femmes,25 ans et plus,,5.3
2017,Canada,Femmes,25 à 44 ans,,5.4
2017,Canada,Femmes,45 à 64 ans,,5.2
2017,Canada,Femmes,45 ans et plus,,5.2
2017,Canada,Femmes,25 à 54 ans,,5.3
2017,Canada,Femmes,55 ans et plus,,5.3
2017,Canada,Femmes,15 à 64 ans,,6.0
2017,Canada,Femmes,15 à 19 ans,,13.4
2017,Canada,Femmes,20 à 24 ans,,7.3
2017,Canada,Femmes,25 à 29 ans,,6.4
2017,Canada,Femmes,30 à 34 ans,,5.3
2017,Canada,Femmes,35 à 39 ans,,4.8
2017,Canada,Femmes,40 à 44 ans,,5.2
2017,Canada,Femmes,45 à 49 ans,,5.4
2017,Canada,Femmes,50 à 54 ans,,4.7
2017,Canada,Femmes,55 à 59 ans,,5.0
2017,Canada,Femmes,60 à 64 ans,,6.1
2017,Canada,Femmes,65 ans et plus,,4.7
2017,Canada,Femmes,65 à 69 ans,,4.9
2017,Canada,Femmes,70 ans et plus,,4.2
2017,Terre-Neuve-et-Labrador,Les deux sexes,15 ans et plus,10,15.2
2017,Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,10,17.4
2017,Terre-Neuve-et-Labrador,Les deux sexes,25 ans et plus,10,14.9
2017,Terre-Neuve-et-Labrador,Les deux sexes,25 à 44 ans,10,12.8
2017,Terre-Neuve-et-Labrador,Les deux sexes,45 à 64 ans,10,16.6
2017,Terre-Neuve-et-Labrador,Les deux sexes,45 ans et plus,10,16.6
2017,Terre-Neuve-et-Labrador,Les deux sexes,25 à 54 ans,10,13.4
2017,Terre-Neuve-et-Labrador,Les deux sexes,55 ans et plus,10,19.3
2017,Terre-Neuve-et-Labrador,Les deux sexes,15 à 64 ans,10,15.2
2017,Terre-Neuve-et-Labrador,Les deux sexes,15 à 19 ans,10,22.9
2017,Terre-Neuve-et-Labrador,Les deux sexes,20 à 24 ans,10,13.8
2017,Terre-Neuve-et-Labrador,Les deux sexes,25 à 29 ans,10,16.1
2017,Terre-Neuve-et-Labrador,Les deux sexes,30 à 34 ans,10,13.2
2017,Terre-Neuve-et-Labrador,Les deux sexes,35 à 39 ans,10,11.1
2017,Terre-Neuve-et-Labrador,Les deux sexes,40 à 44 ans,10,11.6
2017,Terre-Neuve-et-Labrador,Les deux sexes,45 à 49 ans,10,12.3
2017,Terre-Neuve-et-Labrador,Les deux sexes,50 à 54 ans,10,15.7
2017,Terre-Neuve-et-Labrador,Les deux sexes,55 à 59 ans,10,18.0
2017,Terre-Neuve-et-Labrador,Les deux sexes,60 à 64 ans,10,22.4
2017,Terre-Neuve-et-Labrador,Les deux sexes,65 ans et plus,10,16.9
2017,Terre-Neuve-et-Labrador,Les deux sexes,65 à 69 ans,10,17.5
2017,Terre-Neuve-et-Labrador,Les deux sexes,70 ans et plus,10,
2017,Terre-Neuve-et-Labrador,Hommes,15 ans et plus,10,18.8
2017,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,10,21.1
2017,Terre-Neuve-et-Labrador,Hommes,25 ans et plus,10,18.5
2017,Terre-Neuve-et-Labrador,Hommes,25 à 44 ans,10,16.6
2017,Terre-Neuve-et-Labrador,Hommes,45 à 64 ans,10,20.0
2017,Terre-Neuve-et-Labrador,Hommes,45 ans et plus,10,20.0
2017,Terre-Neuve-et-Labrador,Hommes,25 à 54 ans,10,17.1
2017,Terre-Neuve-et-Labrador,Hommes,55 ans et plus,10,22.1
2017,Terre-Neuve-et-Labrador,Hommes,15 à 64 ans,10,18.8
2017,Terre-Neuve-et-Labrador,Hommes,15 à 19 ans,10,29.2
2017,Terre-Neuve-et-Labrador,Hommes,20 à 24 ans,10,16.7
2017,Terre-Neuve-et-Labrador,Hommes,25 à 29 ans,10,19.5
2017,Terre-Neuve-et-Labrador,Hommes,30 à 34 ans,10,15.9
2017,Terre-Neuve-et-Labrador,Hommes,35 à 39 ans,10,13.7
2017,Terre-Neuve-et-Labrador,Hommes,40 à 44 ans,10,16.3
2017,Terre-Neuve-et-Labrador,Hommes,45 à 49 ans,10,16.1
2017,Terre-Neuve-et-Labrador,Hommes,50 à 54 ans,10,20.0
2017,Terre-Neuve-et-Labrador,Hommes,55 à 59 ans,10,21.7
2017,Terre-Neuve-et-Labrador,Hommes,60 à 64 ans,10,23.7
2017,Terre-Neuve-et-Labrador,Hommes,65 ans et plus,10,
2017,Terre-Neuve-et-Labrador,Hommes,65 à 69 ans,10,
2017,Terre-Neuve-et-Labrador,Hommes,70 ans et plus,10,
2017,Terre-Neuve-et-Labrador,Femmes,15 ans et plus,10,11.3
2017,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,10,13.5
2017,Terre-Neuve-et-Labrador,Femmes,25 ans et plus,10,11.0
2017,Terre-Neuve-et-Labrador,Femmes,25 à 44 ans,10,9.2
2017,Terre-Neuve-et-Labrador,Femmes,45 à 64 ans,10,12.8
2017,Terre-Neuve-et-Labrador,Femmes,45 ans et plus,10,12.6
2017,Terre-Neuve-et-Labrador,Femmes,25 à 54 ans,10,9.6
2017,Terre-Neuve-et-Labrador,Femmes,55 ans et plus,10,15.7
2017,Terre-Neuve-et-Labrador,Femmes,15 à 64 ans,10,11.3
2017,Terre-Neuve-et-Labrador,Femmes,15 à 19 ans,10,18.2
2017,Terre-Neuve-et-Labrador,Femmes,20 à 24 ans,10,10.5
2017,Terre-Neuve-et-Labrador,Femmes,25 à 29 ans,10,11.4
2017,Terre-Neuve-et-Labrador,Femmes,30 à 34 ans,10,9.5
2017,Terre-Neuve-et-Labrador,Femmes,35 à 39 ans,10,8.4
2017,Terre-Neuve-et-Labrador,Femmes,40 à 44 ans,10,7.3
2017,Terre-Neuve-et-Labrador,Femmes,45 à 49 ans,10,9.4
2017,Terre-Neuve-et-Labrador,Femmes,50 à 54 ans,10,11.7
2017,Terre-Neuve-et-Labrador,Femmes,55 à 59 ans,10,13.7
2017,Terre-Neuve-et-Labrador,Femmes,60 à 64 ans,10,20.7
2017,Terre-Neuve-et-Labrador,Femmes,65 ans et plus,10,
2017,Terre-Neuve-et-Labrador,Femmes,65 à 69 ans,10,
2017,Terre-Neuve-et-Labrador,Femmes,70 ans et plus,10,
2017,Île-du-Prince-Édouard,Les deux sexes,15 ans et plus,11,9.9
2017,Île-du-Prince-Édouard,Les deux sexes,15 à 24 ans,11,13.3
2017,Île-du-Prince-Édouard,Les deux sexes,25 ans et plus,11,9.2
2017,Île-du-Prince-Édouard,Les deux sexes,25 à 44 ans,11,9.3
2017,Île-du-Prince-Édouard,Les deux sexes,45 à 64 ans,11,8.9
2017,Île-du-Prince-Édouard,Les deux sexes,45 ans et plus,11,9.2
2017,Île-du-Prince-Édouard,Les deux sexes,25 à 54 ans,11,8.7
2017,Île-du-Prince-Édouard,Les deux sexes,55 ans et plus,11,10.6
2017,Île-du-Prince-Édouard,Les deux sexes,15 à 64 ans,11,9.8
2017,Île-du-Prince-Édouard,Les deux sexes,15 à 19 ans,11,18.0
2017,Île-du-Prince-Édouard,Les deux sexes,20 à 24 ans,11,10.3
2017,Île-du-Prince-Édouard,Les deux sexes,25 à 29 ans,11,10.4
2017,Île-du-Prince-Édouard,Les deux sexes,30 à 34 ans,11,7.9
2017,Île-du-Prince-Édouard,Les deux sexes,35 à 39 ans,11,7.7
2017,Île-du-Prince-Édouard,Les deux sexes,40 à 44 ans,11,9.9
2017,Île-du-Prince-Édouard,Les deux sexes,45 à 49 ans,11,9.4
2017,Île-du-Prince-Édouard,Les deux sexes,50 à 54 ans,11,7.1
2017,Île-du-Prince-Édouard,Les deux sexes,55 à 59 ans,11,9.1
2017,Île-du-Prince-Édouard,Les deux sexes,60 à 64 ans,11,12.3
2017,Île-du-Prince-Édouard,Les deux sexes,65 ans et plus,11,11.1
2017,Île-du-Prince-Édouard,Les deux sexes,65 à 69 ans,11,12.1
2017,Île-du-Prince-Édouard,Les deux sexes,70 ans et plus,11,
2017,Île-du-Prince-Édouard,Hommes,15 ans et plus,11,11.3
2017,Île-du-Prince-Édouard,Hommes,15 à 24 ans,11,15.4
2017,Île-du-Prince-Édouard,Hommes,25 ans et plus,11,10.6
2017,Île-du-Prince-Édouard,Hommes,25 à 44 ans,11,10.7
2017,Île-du-Prince-Édouard,Hommes,45 à 64 ans,11,10.2
2017,Île-du-Prince-Édouard,Hommes,45 ans et plus,11,10.5
2017,Île-du-Prince-Édouard,Hommes,25 à 54 ans,11,10.3
2017,Île-du-Prince-Édouard,Hommes,55 ans et plus,11,11.3
2017,Île-du-Prince-Édouard,Hommes,15 à 64 ans,11,11.3
