Year,Geography,Status,Sex,Age group,GeoCode,Value
2016,Nunavut,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,62,10
2016,Nunavut,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,62,13
2016,Nunavut,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,62,13
2016,Nunavut,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,62,16
2016,Nunavut,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,62,15
2016,Nunavut,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,62,19
2016,Nunavut,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,62,15
2016,Nunavut,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,62,19
2016,Nunavut,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,62,24
2016,Nunavut,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,62,22
2016,Nunavut,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,62,30
2016,Nunavut,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,62,26
2016,Nunavut,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,62,31
2016,Nunavut,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,62,28
2017,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,10,9
2017,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,10,10
2017,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,10,7
2017,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,10,17
2017,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,10,21
2017,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,10,13
2017,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,10,22
2017,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,10,27
2017,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,10,17
2017,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,10,25
2017,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,10,31
2017,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,10,19
2017,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,10,4
2017,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,10,8
2017,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,10,11
2017,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,10,5
2017,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,10,11
2017,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,10,16
2017,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,10,7
2017,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,10,13
2017,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,10,18
2017,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,10,7
2017,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,10,5
2017,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,10,6
2017,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,10,9
2017,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,10,10
2017,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,10,8
2017,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,10,11
2017,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,10,12
2017,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,10,10
2017,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,10,12
2017,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,10,13
2017,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,10,11
2017,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,11,11
2017,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,11,13
2017,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,11,8
2017,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,11,16
2017,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,11,19
2017,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,11,14
2017,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,11,22
2017,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,11,25
2017,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,11,18
2017,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,11,22
2017,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,11,24
2017,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,11,19
2017,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,11,7
2017,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,11,10
2017,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,11,12
2017,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,11,7
2017,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,11,13
2017,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,11,16
2017,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,11,9
2017,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,11,12
2017,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,11,15
2017,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,11,9
2017,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,11,4
2017,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,11,7
2017,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,11,7
2017,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,11,7
2017,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,11,9
2017,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,11,9
2017,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,11,9
2017,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,11,9
2017,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,11,9
2017,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,11,10
2017,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,12,7
2017,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,12,8
2017,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,12,5
2017,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,12,11
2017,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,12,13
2017,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,12,9
2017,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,12,14
2017,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,12,17
2017,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,12,11
2017,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,12,15
2017,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,12,18
2017,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,12,13
2017,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,12,2
2017,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,12,3
2017,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,12,5
2017,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,12,8
2017,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,12,2
2017,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,12,7
2017,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,12,11
2017,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,12,7
2017,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,12,13
2017,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,12,4
2017,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,12,5
2017,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,12,6
2017,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,12,5
2017,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,12,7
2017,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,12,7
2017,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,12,6
2017,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,12,9
2017,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,12,8
2017,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,12,5
2017,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,12,10
2017,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,13,8
2017,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,13,10
2017,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,13,7
2017,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,13,15
2017,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,13,17
2017,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,13,12
2017,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,13,19
2017,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,13,21
2017,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,13,16
2017,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,13,20
2017,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,13,23
2017,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,13,17
2017,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,13,3
2017,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,13,5
2017,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,13,6
2017,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,13,8
2017,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,13,4
2017,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,13,8
2017,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,13,11
2017,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,13,5
2017,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,13,8
2017,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,13,10
2017,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,13,6
2017,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,13,5
2017,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,13,5
2017,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,13,9
2017,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,13,9
2017,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,13,8
2017,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,13,11
2017,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,13,11
2017,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,13,11
2017,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,13,12
2017,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,13,13
2017,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,13,11
2017,Quebec,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,24,6
2017,Quebec,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,24,6
2017,Quebec,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,24,6
2017,Quebec,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,24,8
2017,Quebec,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,24,9
2017,Quebec,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,24,7
2017,Quebec,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,24,10
2017,Quebec,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,24,12
2017,Quebec,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,24,8
2017,Quebec,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,24,10
2017,Quebec,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,24,12
2017,Quebec,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,24,7
2017,Quebec,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,24,2
2017,Quebec,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,24,3
2017,Quebec,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 19 years,24,1
2017,Quebec,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,24,4
2017,Quebec,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,24,5
2017,Quebec,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,24,2
2017,Quebec,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,24,4
2017,Quebec,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,24,6
2017,Quebec,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,24,3
2017,Quebec,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,24,5
2017,Quebec,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,24,7
2017,Quebec,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,24,3
2017,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,24,4
2017,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,24,3
2017,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,24,4
2017,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,24,5
2017,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,24,5
2017,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,24,5
2017,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,24,6
2017,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,24,6
2017,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,24,6
2017,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,24,5
2017,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,24,6
2017,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,24,5
2017,Ontario,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,35,5
2017,Ontario,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,35,6
2017,Ontario,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,35,4
2017,Ontario,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,35,9
2017,Ontario,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,35,10
2017,Ontario,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,35,9
2017,Ontario,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,35,12
2017,Ontario,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,35,12
2017,Ontario,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,35,11
2017,Ontario,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,35,13
2017,Ontario,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,35,13
2017,Ontario,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,35,13
2017,Ontario,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,35,2
2017,Ontario,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,35,3
2017,Ontario,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 19 years,35,2
2017,Ontario,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,35,4
2017,Ontario,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,35,5
2017,Ontario,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,35,4
2017,Ontario,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,35,5
2017,Ontario,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,35,6
2017,Ontario,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,35,5
2017,Ontario,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,35,6
2017,Ontario,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,35,6
2017,Ontario,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,35,5
2017,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,35,3
2017,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,35,3
2017,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,35,3
2017,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,35,5
2017,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,35,5
2017,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,35,5
2017,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,35,6
2017,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,35,6
2017,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,35,6
2017,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,35,7
2017,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,35,7
2017,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,35,8
2017,Manitoba,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,46,6
2017,Manitoba,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,46,7
2017,Manitoba,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,46,5
2017,Manitoba,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,46,11
2017,Manitoba,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,46,12
2017,Manitoba,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,46,11
2017,Manitoba,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,46,15
2017,Manitoba,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,46,15
2017,Manitoba,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,46,14
2017,Manitoba,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,46,16
2017,Manitoba,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,46,15
2017,Manitoba,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,46,17
2017,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,46,2
2017,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,46,3
2017,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,46,5
2017,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,46,6
2017,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,46,3
2017,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,46,6
2017,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,46,8
2017,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,46,4
2017,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,46,7
2017,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,46,8
2017,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,46,5
2017,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,46,4
2017,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,46,5
2017,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,46,3
2017,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,46,7
2017,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,46,6
2017,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,46,8
2017,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,46,8
2017,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,46,7
2017,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,46,10
2017,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,46,9
2017,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,46,7
2017,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,46,12
2017,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,47,8
2017,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,47,9
2017,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,47,6
2017,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,47,12
2017,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,47,12
2017,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,47,11
2017,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,47,15
2017,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,47,16
2017,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,47,14
2017,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,47,15
2017,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,47,15
2017,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,47,15
2017,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,47,3
2017,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,47,5
2017,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,47,5
2017,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,47,7
2017,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,47,3
2017,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,47,7
2017,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,47,9
2017,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,47,4
2017,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,47,7
2017,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,47,9
2017,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,47,4
2017,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,47,4
2017,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,47,4
2017,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,47,5
2017,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,47,7
2017,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,47,5
2017,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,47,8
2017,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,47,8
2017,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,47,7
2017,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,47,10
2017,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,47,9
2017,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,47,6
