Year,Géographie,Type de famille économique,Niveau de sécurité alimentaire du ménage,GeoCode,Value
2018,Alberta,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire marginale,48,6.9
2018,Alberta,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire modérée ou grave,48,12.9
2018,Alberta,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire modérée,48,9.9
2018,Alberta,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire grave,48,3.0
2018,Alberta,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Sécurité alimentaire,48,85.3
2018,Alberta,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire,48,14.7
2018,Alberta,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire marginale,48,
2018,Alberta,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire modérée ou grave,48,10.9
2018,Alberta,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire modérée,48,10.1
2018,Alberta,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire grave,48,
2018,Alberta,Personnes dans les familles monoparentales,Sécurité alimentaire,48,55.8
2018,Alberta,Personnes dans les familles monoparentales,Insécurité alimentaire,48,44.2
2018,Alberta,Personnes dans les familles monoparentales,Insécurité alimentaire marginale,48,9.1
2018,Alberta,Personnes dans les familles monoparentales,Insécurité alimentaire modérée ou grave,48,35.0
2018,Alberta,Personnes dans les familles monoparentales,Insécurité alimentaire modérée,48,14.0
2018,Alberta,Personnes dans les familles monoparentales,Insécurité alimentaire grave,48,21.1
2018,Alberta,Personnes dans les familles monoparentales ayant un homme à leur tête,Sécurité alimentaire,48,62.1
2018,Alberta,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire,48,37.9
2018,Alberta,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire marginale,48,
2018,Alberta,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire modérée ou grave,48,
2018,Alberta,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire modérée,48,
2018,Alberta,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire grave,48,
2018,Alberta,Personnes dans les familles monoparentales ayant une femme à leur tête,Sécurité alimentaire,48,54.6
2018,Alberta,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire,48,45.4
2018,Alberta,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire marginale,48,
2018,Alberta,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire modérée ou grave,48,36.5
2018,Alberta,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire modérée,48,14.5
2018,Alberta,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire grave,48,22.0
2018,Alberta,Personnes dans les autres familles de personnes non âgées,Sécurité alimentaire,48,70.9
2018,Alberta,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire,48,29.1
2018,Alberta,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire marginale,48,
2018,Alberta,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire modérée ou grave,48,21.6
2018,Alberta,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire modérée,48,11.6
2018,Alberta,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire grave,48,10.0
2018,Alberta,Personnes hors famille économique,Sécurité alimentaire,48,77.2
2018,Alberta,Personnes hors famille économique,Insécurité alimentaire,48,22.8
2018,Alberta,Personnes hors famille économique,Insécurité alimentaire marginale,48,4.5
2018,Alberta,Personnes hors famille économique,Insécurité alimentaire modérée ou grave,48,18.4
2018,Alberta,Personnes hors famille économique,Insécurité alimentaire modérée,48,7.5
2018,Alberta,Personnes hors famille économique,Insécurité alimentaire grave,48,10.8
2018,Alberta,Personnes âgées hors famille économique,Sécurité alimentaire,48,88.6
2018,Alberta,Personnes âgées hors famille économique,Insécurité alimentaire,48,11.4
2018,Alberta,Personnes âgées hors famille économique,Insécurité alimentaire marginale,48,4.4
2018,Alberta,Personnes âgées hors famille économique,Insécurité alimentaire modérée ou grave,48,7.0
2018,Alberta,Personnes âgées hors famille économique,Insécurité alimentaire modérée,48,4.1
2018,Alberta,Personnes âgées hors famille économique,Insécurité alimentaire grave,48,2.9
2018,Alberta,Hommes âgés hors famille économique,Sécurité alimentaire,48,88.4
2018,Alberta,Hommes âgés hors famille économique,Insécurité alimentaire,48,11.6
2018,Alberta,Hommes âgés hors famille économique,Insécurité alimentaire marginale,48,
2018,Alberta,Hommes âgés hors famille économique,Insécurité alimentaire modérée ou grave,48,
2018,Alberta,Hommes âgés hors famille économique,Insécurité alimentaire modérée,48,
2018,Alberta,Hommes âgés hors famille économique,Insécurité alimentaire grave,48,
2018,Alberta,Femmes âgées hors famille économique,Sécurité alimentaire,48,88.6
2018,Alberta,Femmes âgées hors famille économique,Insécurité alimentaire,48,11.4
2018,Alberta,Femmes âgées hors famille économique,Insécurité alimentaire marginale,48,
2018,Alberta,Femmes âgées hors famille économique,Insécurité alimentaire modérée ou grave,48,7.3
2018,Alberta,Femmes âgées hors famille économique,Insécurité alimentaire modérée,48,
2018,Alberta,Femmes âgées hors famille économique,Insécurité alimentaire grave,48,
2018,Alberta,Personnes non âgées hors famille économique,Sécurité alimentaire,48,74.0
2018,Alberta,Personnes non âgées hors famille économique,Insécurité alimentaire,48,26.0
2018,Alberta,Personnes non âgées hors famille économique,Insécurité alimentaire marginale,48,4.5
2018,Alberta,Personnes non âgées hors famille économique,Insécurité alimentaire modérée ou grave,48,21.6
2018,Alberta,Personnes non âgées hors famille économique,Insécurité alimentaire modérée,48,8.5
2018,Alberta,Personnes non âgées hors famille économique,Insécurité alimentaire grave,48,13.1
2018,Alberta,Hommes non âgés hors famille économique,Sécurité alimentaire,48,73.2
2018,Alberta,Hommes non âgés hors famille économique,Insécurité alimentaire,48,26.8
2018,Alberta,Hommes non âgés hors famille économique,Insécurité alimentaire marginale,48,
2018,Alberta,Hommes non âgés hors famille économique,Insécurité alimentaire modérée ou grave,48,21.4
2018,Alberta,Hommes non âgés hors famille économique,Insécurité alimentaire modérée,48,7.8
2018,Alberta,Hommes non âgés hors famille économique,Insécurité alimentaire grave,48,13.6
2018,Alberta,Femmes non âgées hors famille économique,Sécurité alimentaire,48,75.1
2018,Alberta,Femmes non âgées hors famille économique,Insécurité alimentaire,48,24.9
2018,Alberta,Femmes non âgées hors famille économique,Insécurité alimentaire marginale,48,3.2
2018,Alberta,Femmes non âgées hors famille économique,Insécurité alimentaire modérée ou grave,48,21.7
2018,Alberta,Femmes non âgées hors famille économique,Insécurité alimentaire modérée,48,9.4
2018,Alberta,Femmes non âgées hors famille économique,Insécurité alimentaire grave,48,12.3
2018,Colombie-Britannique,Toutes les personnes,Sécurité alimentaire,59,83.8
2018,Colombie-Britannique,Toutes les personnes,Insécurité alimentaire,59,16.2
2018,Colombie-Britannique,Toutes les personnes,Insécurité alimentaire marginale,59,4.5
2018,Colombie-Britannique,Toutes les personnes,Insécurité alimentaire modérée ou grave,59,11.7
2018,Colombie-Britannique,Toutes les personnes,Insécurité alimentaire modérée,59,8.0
2018,Colombie-Britannique,Toutes les personnes,Insécurité alimentaire grave,59,3.7
2018,Colombie-Britannique,Personnes dans les familles économiques,Sécurité alimentaire,59,85.5
2018,Colombie-Britannique,Personnes dans les familles économiques,Insécurité alimentaire,59,14.5
2018,Colombie-Britannique,Personnes dans les familles économiques,Insécurité alimentaire marginale,59,4.5
2018,Colombie-Britannique,Personnes dans les familles économiques,Insécurité alimentaire modérée ou grave,59,10.0
2018,Colombie-Britannique,Personnes dans les familles économiques,Insécurité alimentaire modérée,59,7.6
2018,Colombie-Britannique,Personnes dans les familles économiques,Insécurité alimentaire grave,59,2.4
2018,Colombie-Britannique,Personnes dans les familles de personnes âgées,Sécurité alimentaire,59,94.0
2018,Colombie-Britannique,Personnes dans les familles de personnes âgées,Insécurité alimentaire,59,6.0
2018,Colombie-Britannique,Personnes dans les familles de personnes âgées,Insécurité alimentaire marginale,59,
2018,Colombie-Britannique,Personnes dans les familles de personnes âgées,Insécurité alimentaire modérée ou grave,59,4.1
2018,Colombie-Britannique,Personnes dans les familles de personnes âgées,Insécurité alimentaire modérée,59,3.6
2018,Colombie-Britannique,Personnes dans les familles de personnes âgées,Insécurité alimentaire grave,59,
2018,Colombie-Britannique,Personnes dans les couples de personnes âgées,Sécurité alimentaire,59,96.0
2018,Colombie-Britannique,Personnes dans les couples de personnes âgées,Insécurité alimentaire,59,4.0
2018,Colombie-Britannique,Personnes dans les couples de personnes âgées,Insécurité alimentaire marginale,59,
2018,Colombie-Britannique,Personnes dans les couples de personnes âgées,Insécurité alimentaire modérée ou grave,59,2.2
2018,Colombie-Britannique,Personnes dans les couples de personnes âgées,Insécurité alimentaire modérée,59,
2018,Colombie-Britannique,Personnes dans les couples de personnes âgées,Insécurité alimentaire grave,59,
2018,Colombie-Britannique,Personnes dans les autres familles de personnes âgées,Sécurité alimentaire,59,90.3
2018,Colombie-Britannique,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire,59,
2018,Colombie-Britannique,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire marginale,59,
2018,Colombie-Britannique,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire modérée ou grave,59,
2018,Colombie-Britannique,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire modérée,59,
2018,Colombie-Britannique,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire grave,59,
2018,Colombie-Britannique,Personnes dans les familles non âgées,Sécurité alimentaire,59,83.9
2018,Colombie-Britannique,Personnes dans les familles non âgées,Insécurité alimentaire,59,16.1
2018,Colombie-Britannique,Personnes dans les familles non âgées,Insécurité alimentaire marginale,59,5.0
2018,Colombie-Britannique,Personnes dans les familles non âgées,Insécurité alimentaire modérée ou grave,59,11.1
2018,Colombie-Britannique,Personnes dans les familles non âgées,Insécurité alimentaire modérée,59,8.4
2018,Colombie-Britannique,Personnes dans les familles non âgées,Insécurité alimentaire grave,59,2.7
2018,Colombie-Britannique,Personnes dans les couples,Sécurité alimentaire,59,89.0
2018,Colombie-Britannique,Personnes dans les couples,Insécurité alimentaire,59,11.0
2018,Colombie-Britannique,Personnes dans les couples,Insécurité alimentaire marginale,59,3.3
2018,Colombie-Britannique,Personnes dans les couples,Insécurité alimentaire modérée ou grave,59,7.7
2018,Colombie-Britannique,Personnes dans les couples,Insécurité alimentaire modérée,59,4.9
2018,Colombie-Britannique,Personnes dans les couples,Insécurité alimentaire grave,59,2.8
2018,Colombie-Britannique,Personnes dans les familles comptant un couple avec des enfants,Sécurité alimentaire,59,84.4
2018,Colombie-Britannique,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire,59,15.6
2018,Colombie-Britannique,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire marginale,59,4.7
2018,Colombie-Britannique,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire modérée ou grave,59,10.9
2018,Colombie-Britannique,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire modérée,59,9.0
2018,Colombie-Britannique,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire grave,59,1.9
2018,Colombie-Britannique,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Sécurité alimentaire,59,87.8
2018,Colombie-Britannique,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire,59,12.2
2018,Colombie-Britannique,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire marginale,59,
2018,Colombie-Britannique,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire modérée ou grave,59,
2018,Colombie-Britannique,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire modérée,59,
2018,Colombie-Britannique,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire grave,59,
2018,Colombie-Britannique,Personnes dans les familles monoparentales,Sécurité alimentaire,59,55.6
2018,Colombie-Britannique,Personnes dans les familles monoparentales,Insécurité alimentaire,59,44.4
2018,Colombie-Britannique,Personnes dans les familles monoparentales,Insécurité alimentaire marginale,59,
2018,Colombie-Britannique,Personnes dans les familles monoparentales,Insécurité alimentaire modérée ou grave,59,34.4
2018,Colombie-Britannique,Personnes dans les familles monoparentales,Insécurité alimentaire modérée,59,22.0
2018,Colombie-Britannique,Personnes dans les familles monoparentales,Insécurité alimentaire grave,59,12.4
2018,Colombie-Britannique,Personnes dans les familles monoparentales ayant un homme à leur tête,Sécurité alimentaire,59,75.9
2018,Colombie-Britannique,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire,59,
2018,Colombie-Britannique,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire marginale,59,
2018,Colombie-Britannique,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire modérée ou grave,59,
2018,Colombie-Britannique,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire modérée,59,
2018,Colombie-Britannique,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire grave,59,
2018,Colombie-Britannique,Personnes dans les familles monoparentales ayant une femme à leur tête,Sécurité alimentaire,59,51.8
2018,Colombie-Britannique,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire,59,48.2
2018,Colombie-Britannique,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire marginale,59,
2018,Colombie-Britannique,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire modérée ou grave,59,37.3
2018,Colombie-Britannique,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire modérée,59,23.6
2018,Colombie-Britannique,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire grave,59,13.7
2018,Colombie-Britannique,Personnes dans les autres familles de personnes non âgées,Sécurité alimentaire,59,79.8
2018,Colombie-Britannique,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire,59,20.2
2018,Colombie-Britannique,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire marginale,59,
2018,Colombie-Britannique,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire modérée ou grave,59,10.9
2018,Colombie-Britannique,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire modérée,59,7.3
2018,Colombie-Britannique,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire grave,59,
2018,Colombie-Britannique,Personnes hors famille économique,Sécurité alimentaire,59,76.2
2018,Colombie-Britannique,Personnes hors famille économique,Insécurité alimentaire,59,23.8
2018,Colombie-Britannique,Personnes hors famille économique,Insécurité alimentaire marginale,59,4.6
2018,Colombie-Britannique,Personnes hors famille économique,Insécurité alimentaire modérée ou grave,59,19.2
2018,Colombie-Britannique,Personnes hors famille économique,Insécurité alimentaire modérée,59,9.6
2018,Colombie-Britannique,Personnes hors famille économique,Insécurité alimentaire grave,59,9.6
2018,Colombie-Britannique,Personnes âgées hors famille économique,Sécurité alimentaire,59,84.6
2018,Colombie-Britannique,Personnes âgées hors famille économique,Insécurité alimentaire,59,15.4
2018,Colombie-Britannique,Personnes âgées hors famille économique,Insécurité alimentaire marginale,59,4.4
2018,Colombie-Britannique,Personnes âgées hors famille économique,Insécurité alimentaire modérée ou grave,59,11.0
2018,Colombie-Britannique,Personnes âgées hors famille économique,Insécurité alimentaire modérée,59,7.4
2018,Colombie-Britannique,Personnes âgées hors famille économique,Insécurité alimentaire grave,59,3.6
2018,Colombie-Britannique,Hommes âgés hors famille économique,Sécurité alimentaire,59,81.3
2018,Colombie-Britannique,Hommes âgés hors famille économique,Insécurité alimentaire,59,18.7
2018,Colombie-Britannique,Hommes âgés hors famille économique,Insécurité alimentaire marginale,59,
2018,Colombie-Britannique,Hommes âgés hors famille économique,Insécurité alimentaire modérée ou grave,59,13.7
2018,Colombie-Britannique,Hommes âgés hors famille économique,Insécurité alimentaire modérée,59,9.3
2018,Colombie-Britannique,Hommes âgés hors famille économique,Insécurité alimentaire grave,59,
2018,Colombie-Britannique,Femmes âgées hors famille économique,Sécurité alimentaire,59,86.6
2018,Colombie-Britannique,Femmes âgées hors famille économique,Insécurité alimentaire,59,13.4
2018,Colombie-Britannique,Femmes âgées hors famille économique,Insécurité alimentaire marginale,59,
2018,Colombie-Britannique,Femmes âgées hors famille économique,Insécurité alimentaire modérée ou grave,59,9.3
2018,Colombie-Britannique,Femmes âgées hors famille économique,Insécurité alimentaire modérée,59,6.2
2018,Colombie-Britannique,Femmes âgées hors famille économique,Insécurité alimentaire grave,59,3.1
2018,Colombie-Britannique,Personnes non âgées hors famille économique,Sécurité alimentaire,59,73.2
2018,Colombie-Britannique,Personnes non âgées hors famille économique,Insécurité alimentaire,59,26.8
2018,Colombie-Britannique,Personnes non âgées hors famille économique,Insécurité alimentaire marginale,59,4.7
2018,Colombie-Britannique,Personnes non âgées hors famille économique,Insécurité alimentaire modérée ou grave,59,22.0
2018,Colombie-Britannique,Personnes non âgées hors famille économique,Insécurité alimentaire modérée,59,10.4
2018,Colombie-Britannique,Personnes non âgées hors famille économique,Insécurité alimentaire grave,59,11.7
2018,Colombie-Britannique,Hommes non âgés hors famille économique,Sécurité alimentaire,59,71.5
2018,Colombie-Britannique,Hommes non âgés hors famille économique,Insécurité alimentaire,59,28.5
2018,Colombie-Britannique,Hommes non âgés hors famille économique,Insécurité alimentaire marginale,59,3.5
2018,Colombie-Britannique,Hommes non âgés hors famille économique,Insécurité alimentaire modérée ou grave,59,25.0
2018,Colombie-Britannique,Hommes non âgés hors famille économique,Insécurité alimentaire modérée,59,10.8
2018,Colombie-Britannique,Hommes non âgés hors famille économique,Insécurité alimentaire grave,59,14.1
2018,Colombie-Britannique,Femmes non âgées hors famille économique,Sécurité alimentaire,59,75.1
2018,Colombie-Britannique,Femmes non âgées hors famille économique,Insécurité alimentaire,59,24.9
2018,Colombie-Britannique,Femmes non âgées hors famille économique,Insécurité alimentaire marginale,59,
2018,Colombie-Britannique,Femmes non âgées hors famille économique,Insécurité alimentaire modérée ou grave,59,18.8
2018,Colombie-Britannique,Femmes non âgées hors famille économique,Insécurité alimentaire modérée,59,9.9
2018,Colombie-Britannique,Femmes non âgées hors famille économique,Insécurité alimentaire grave,59,8.9
2019,Canada,Toutes les personnes,Sécurité alimentaire,,84.1
2019,Canada,Toutes les personnes,Insécurité alimentaire,,15.9
2019,Canada,Toutes les personnes,Insécurité alimentaire marginale,,5.1
2019,Canada,Toutes les personnes,Insécurité alimentaire modérée ou grave,,10.8
2019,Canada,Toutes les personnes,Insécurité alimentaire modérée,,7.6
2019,Canada,Toutes les personnes,Insécurité alimentaire grave,,3.2
2019,Canada,Personnes dans les familles économiques,Sécurité alimentaire,,84.9
2019,Canada,Personnes dans les familles économiques,Insécurité alimentaire,,15.1
2019,Canada,Personnes dans les familles économiques,Insécurité alimentaire marginale,,5.0
2019,Canada,Personnes dans les familles économiques,Insécurité alimentaire modérée ou grave,,10.1
2019,Canada,Personnes dans les familles économiques,Insécurité alimentaire modérée,,7.4
2019,Canada,Personnes dans les familles économiques,Insécurité alimentaire grave,,2.7
2019,Canada,Personnes dans les familles de personnes âgées,Sécurité alimentaire,,92.4
2019,Canada,Personnes dans les familles de personnes âgées,Insécurité alimentaire,,7.6
2019,Canada,Personnes dans les familles de personnes âgées,Insécurité alimentaire marginale,,2.7
2019,Canada,Personnes dans les familles de personnes âgées,Insécurité alimentaire modérée ou grave,,4.9
2019,Canada,Personnes dans les familles de personnes âgées,Insécurité alimentaire modérée,,3.7
2019,Canada,Personnes dans les familles de personnes âgées,Insécurité alimentaire grave,,1.3
2019,Canada,Personnes dans les couples de personnes âgées,Sécurité alimentaire,,94.9
2019,Canada,Personnes dans les couples de personnes âgées,Insécurité alimentaire,,5.1
2019,Canada,Personnes dans les couples de personnes âgées,Insécurité alimentaire marginale,,2.1
2019,Canada,Personnes dans les couples de personnes âgées,Insécurité alimentaire modérée ou grave,,3.0
2019,Canada,Personnes dans les couples de personnes âgées,Insécurité alimentaire modérée,,2.6
2019,Canada,Personnes dans les couples de personnes âgées,Insécurité alimentaire grave,,0.5
2019,Canada,Personnes dans les autres familles de personnes âgées,Sécurité alimentaire,,86.8
2019,Canada,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire,,13.2
2019,Canada,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire marginale,,
2019,Canada,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire modérée ou grave,,9.2
2019,Canada,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire modérée,,6.2
2019,Canada,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire grave,,
2019,Canada,Personnes dans les familles non âgées,Sécurité alimentaire,,83.7
2019,Canada,Personnes dans les familles non âgées,Insécurité alimentaire,,16.3
2019,Canada,Personnes dans les familles non âgées,Insécurité alimentaire marginale,,5.4
2019,Canada,Personnes dans les familles non âgées,Insécurité alimentaire modérée ou grave,,10.9
2019,Canada,Personnes dans les familles non âgées,Insécurité alimentaire modérée,,8.0
2019,Canada,Personnes dans les familles non âgées,Insécurité alimentaire grave,,2.9
2019,Canada,Personnes dans les couples,Sécurité alimentaire,,89.1
2019,Canada,Personnes dans les couples,Insécurité alimentaire,,10.9
2019,Canada,Personnes dans les couples,Insécurité alimentaire marginale,,3.8
2019,Canada,Personnes dans les couples,Insécurité alimentaire modérée ou grave,,7.1
2019,Canada,Personnes dans les couples,Insécurité alimentaire modérée,,5.0
2019,Canada,Personnes dans les couples,Insécurité alimentaire grave,,2.1
2019,Canada,Personnes dans les familles comptant un couple avec des enfants,Sécurité alimentaire,,83.6
2019,Canada,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire,,16.4
2019,Canada,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire marginale,,6.4
2019,Canada,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire modérée ou grave,,10.0
2019,Canada,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire modérée,,8.0
2019,Canada,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire grave,,2.0
2019,Canada,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Sécurité alimentaire,,88.4
2019,Canada,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire,,11.6
2019,Canada,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire marginale,,3.7
2019,Canada,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire modérée ou grave,,7.9
2019,Canada,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire modérée,,5.4
2019,Canada,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire grave,,2.5
2019,Canada,Personnes dans les familles monoparentales,Sécurité alimentaire,,61.3
2019,Canada,Personnes dans les familles monoparentales,Insécurité alimentaire,,38.7
2019,Canada,Personnes dans les familles monoparentales,Insécurité alimentaire marginale,,8.0
2019,Canada,Personnes dans les familles monoparentales,Insécurité alimentaire modérée ou grave,,30.7
2019,Canada,Personnes dans les familles monoparentales,Insécurité alimentaire modérée,,20.6
2019,Canada,Personnes dans les familles monoparentales,Insécurité alimentaire grave,,10.1
2019,Canada,Personnes dans les familles monoparentales ayant un homme à leur tête,Sécurité alimentaire,,67.9
2019,Canada,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire,,32.1
2019,Canada,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire marginale,,
2019,Canada,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire modérée ou grave,,22.7
2019,Canada,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire modérée,,11.0
2019,Canada,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire grave,,
2019,Canada,Personnes dans les familles monoparentales ayant une femme à leur tête,Sécurité alimentaire,,59.5
2019,Canada,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire,,40.5
2019,Canada,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire marginale,,7.6
2019,Canada,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire modérée ou grave,,32.9
2019,Canada,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire modérée,,23.2
2019,Canada,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire grave,,9.6
2019,Canada,Personnes dans les autres familles de personnes non âgées,Sécurité alimentaire,,81.7
2019,Canada,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire,,18.3
2019,Canada,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire marginale,,4.5
2019,Canada,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire modérée ou grave,,13.7
2019,Canada,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire modérée,,9.4
2019,Canada,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire grave,,4.3
2019,Canada,Personnes hors famille économique,Sécurité alimentaire,,80.2
2019,Canada,Personnes hors famille économique,Insécurité alimentaire,,19.8
2019,Canada,Personnes hors famille économique,Insécurité alimentaire marginale,,5.3
2019,Canada,Personnes hors famille économique,Insécurité alimentaire modérée ou grave,,14.5
2019,Canada,Personnes hors famille économique,Insécurité alimentaire modérée,,8.5
2019,Canada,Personnes hors famille économique,Insécurité alimentaire grave,,6.0
2019,Canada,Personnes âgées hors famille économique,Sécurité alimentaire,,90.0
2019,Canada,Personnes âgées hors famille économique,Insécurité alimentaire,,10.0
2019,Canada,Personnes âgées hors famille économique,Insécurité alimentaire marginale,,3.2
2019,Canada,Personnes âgées hors famille économique,Insécurité alimentaire modérée ou grave,,6.8
2019,Canada,Personnes âgées hors famille économique,Insécurité alimentaire modérée,,5.1
2019,Canada,Personnes âgées hors famille économique,Insécurité alimentaire grave,,1.7
2019,Canada,Hommes âgés hors famille économique,Sécurité alimentaire,,90.1
2019,Canada,Hommes âgés hors famille économique,Insécurité alimentaire,,9.9
2019,Canada,Hommes âgés hors famille économique,Insécurité alimentaire marginale,,2.8
2019,Canada,Hommes âgés hors famille économique,Insécurité alimentaire modérée ou grave,,7.1
2019,Canada,Hommes âgés hors famille économique,Insécurité alimentaire modérée,,5.2
2019,Canada,Hommes âgés hors famille économique,Insécurité alimentaire grave,,1.8
2019,Canada,Femmes âgées hors famille économique,Sécurité alimentaire,,89.9
2019,Canada,Femmes âgées hors famille économique,Insécurité alimentaire,,10.1
2019,Canada,Femmes âgées hors famille économique,Insécurité alimentaire marginale,,3.4
2019,Canada,Femmes âgées hors famille économique,Insécurité alimentaire modérée ou grave,,6.7
2019,Canada,Femmes âgées hors famille économique,Insécurité alimentaire modérée,,5.1
2019,Canada,Femmes âgées hors famille économique,Insécurité alimentaire grave,,1.6
2019,Canada,Personnes non âgées hors famille économique,Sécurité alimentaire,,75.7
2019,Canada,Personnes non âgées hors famille économique,Insécurité alimentaire,,24.3
2019,Canada,Personnes non âgées hors famille économique,Insécurité alimentaire marginale,,6.2
2019,Canada,Personnes non âgées hors famille économique,Insécurité alimentaire modérée ou grave,,18.1
2019,Canada,Personnes non âgées hors famille économique,Insécurité alimentaire modérée,,10.1
2019,Canada,Personnes non âgées hors famille économique,Insécurité alimentaire grave,,8.0
2019,Canada,Hommes non âgés hors famille économique,Sécurité alimentaire,,77.0
2019,Canada,Hommes non âgés hors famille économique,Insécurité alimentaire,,23.0
2019,Canada,Hommes non âgés hors famille économique,Insécurité alimentaire marginale,,5.9
