Year,Géographie,Groupe d'âge,"Type d'institution fréquentée
",GeoCode,Value
2016/2017,Nouveau-Brunswick,15 à 19 ans,Université,13,13.0
2016/2017,Nouveau-Brunswick,20 à 24 ans,Total taux de participation,13,30.0
2016/2017,Nouveau-Brunswick,20 à 24 ans,Primaire/Secondaire,13,
2016/2017,Nouveau-Brunswick,20 à 24 ans,Collège,13,8.0
2016/2017,Nouveau-Brunswick,20 à 24 ans,Université,13,22.0
2016/2017,Nouveau-Brunswick,25 à 29 ans,Total taux de participation,13,8.0
2016/2017,Nouveau-Brunswick,25 à 29 ans,Primaire/Secondaire,13,
2016/2017,Nouveau-Brunswick,25 à 29 ans,Collège,13,3.0
2016/2017,Nouveau-Brunswick,25 à 29 ans,Université,13,5.0
2016/2017,Québec,15 à 19 ans,Total taux de participation,24,85.0
2016/2017,Québec,15 à 19 ans,Primaire/Secondaire,24,48.0
2016/2017,Québec,15 à 19 ans,Collège,24,33.0
2016/2017,Québec,15 à 19 ans,Université,24,4.0
2016/2017,Québec,20 à 24 ans,Total taux de participation,24,48.0
2016/2017,Québec,20 à 24 ans,Primaire/Secondaire,24,3.0
2016/2017,Québec,20 à 24 ans,Collège,24,14.0
2016/2017,Québec,20 à 24 ans,Université,24,31.0
2016/2017,Québec,25 à 29 ans,Total taux de participation,24,15.0
2016/2017,Québec,25 à 29 ans,Primaire/Secondaire,24,1.0
2016/2017,Québec,25 à 29 ans,Collège,24,3.0
2016/2017,Québec,25 à 29 ans,Université,24,11.0
2016/2017,Ontario,15 à 19 ans,Total taux de participation,35,88.0
2016/2017,Ontario,15 à 19 ans,Primaire/Secondaire,35,62.0
2016/2017,Ontario,15 à 19 ans,Collège,35,9.0
2016/2017,Ontario,15 à 19 ans,Université,35,17.0
2016/2017,Ontario,20 à 24 ans,Total taux de participation,35,43.0
2016/2017,Ontario,20 à 24 ans,Primaire/Secondaire,35,1.0
2016/2017,Ontario,20 à 24 ans,Collège,35,13.0
2016/2017,Ontario,20 à 24 ans,Université,35,28.0
2016/2017,Ontario,25 à 29 ans,Total taux de participation,35,12.0
2016/2017,Ontario,25 à 29 ans,Primaire/Secondaire,35,0.0
2016/2017,Ontario,25 à 29 ans,Collège,35,4.0
2016/2017,Ontario,25 à 29 ans,Université,35,7.0
2016/2017,Manitoba,15 à 19 ans,Total taux de participation,46,79.0
2016/2017,Manitoba,15 à 19 ans,Primaire/Secondaire,46,61.0
2016/2017,Manitoba,15 à 19 ans,Collège,46,4.0
2016/2017,Manitoba,15 à 19 ans,Université,46,14.0
2016/2017,Manitoba,20 à 24 ans,Total taux de participation,46,33.0
2016/2017,Manitoba,20 à 24 ans,Primaire/Secondaire,46,1.0
2016/2017,Manitoba,20 à 24 ans,Collège,46,5.0
2016/2017,Manitoba,20 à 24 ans,Université,46,26.0
2016/2017,Manitoba,25 à 29 ans,Total taux de participation,46,12.0
2016/2017,Manitoba,25 à 29 ans,Primaire/Secondaire,46,
2016/2017,Manitoba,25 à 29 ans,Collège,46,4.0
2016/2017,Manitoba,25 à 29 ans,Université,46,8.0
2016/2017,Saskatchewan,15 à 19 ans,Total taux de participation,47,78.0
2016/2017,Saskatchewan,15 à 19 ans,Primaire/Secondaire,47,64.0
2016/2017,Saskatchewan,15 à 19 ans,Collège,47,4.0
2016/2017,Saskatchewan,15 à 19 ans,Université,47,10.0
2016/2017,Saskatchewan,20 à 24 ans,Total taux de participation,47,30.0
2016/2017,Saskatchewan,20 à 24 ans,Primaire/Secondaire,47,2.0
2016/2017,Saskatchewan,20 à 24 ans,Collège,47,6.0
2016/2017,Saskatchewan,20 à 24 ans,Université,47,23.0
2016/2017,Saskatchewan,25 à 29 ans,Total taux de participation,47,9.0
2016/2017,Saskatchewan,25 à 29 ans,Primaire/Secondaire,47,
2016/2017,Saskatchewan,25 à 29 ans,Collège,47,2.0
2016/2017,Saskatchewan,25 à 29 ans,Université,47,6.0
2016/2017,Alberta,15 à 19 ans,Total taux de participation,48,80.0
2016/2017,Alberta,15 à 19 ans,Primaire/Secondaire,48,63.0
2016/2017,Alberta,15 à 19 ans,Collège,48,5.0
2016/2017,Alberta,15 à 19 ans,Université,48,13.0
2016/2017,Alberta,20 à 24 ans,Total taux de participation,48,31.0
2016/2017,Alberta,20 à 24 ans,Primaire/Secondaire,48,1.0
2016/2017,Alberta,20 à 24 ans,Collège,48,7.0
2016/2017,Alberta,20 à 24 ans,Université,48,23.0
2016/2017,Alberta,25 à 29 ans,Total taux de participation,48,11.0
2016/2017,Alberta,25 à 29 ans,Primaire/Secondaire,48,
2016/2017,Alberta,25 à 29 ans,Collège,48,4.0
2016/2017,Alberta,25 à 29 ans,Université,48,8.0
2016/2017,Colombie-Britannique,15 à 19 ans,Total taux de participation,59,81.0
2016/2017,Colombie-Britannique,15 à 19 ans,Primaire/Secondaire,59,59.0
2016/2017,Colombie-Britannique,15 à 19 ans,Collège,59,7.0
2016/2017,Colombie-Britannique,15 à 19 ans,Université,59,15.0
2016/2017,Colombie-Britannique,20 à 24 ans,Total taux de participation,59,39.0
2016/2017,Colombie-Britannique,20 à 24 ans,Primaire/Secondaire,59,1.0
2016/2017,Colombie-Britannique,20 à 24 ans,Collège,59,10.0
2016/2017,Colombie-Britannique,20 à 24 ans,Université,59,28.0
2016/2017,Colombie-Britannique,25 à 29 ans,Total taux de participation,59,12.0
2016/2017,Colombie-Britannique,25 à 29 ans,Primaire/Secondaire,59,
2016/2017,Colombie-Britannique,25 à 29 ans,Collège,59,4.0
2016/2017,Colombie-Britannique,25 à 29 ans,Université,59,7.0
2016/2017,Yukon,15 à 19 ans,Total taux de participation,60,78.0
2016/2017,Yukon,15 à 19 ans,Primaire/Secondaire,60,57.0
2016/2017,Yukon,15 à 19 ans,Collège,60,
2016/2017,Yukon,15 à 19 ans,Université,60,14.0
2016/2017,Yukon,20 à 24 ans,Total taux de participation,60,19.0
2016/2017,Yukon,20 à 24 ans,Collège,60,
2016/2017,Yukon,20 à 24 ans,Université,60,11.0
2016/2017,Yukon,25 à 29 ans,Total taux de participation,60,9.0
2016/2017,Yukon,25 à 29 ans,Collège,60,
2016/2017,Yukon,25 à 29 ans,Université,60,
2016/2017,Territoires du Nord-Ouest,15 à 19 ans,Total taux de participation,61,85.0
2016/2017,Territoires du Nord-Ouest,15 à 19 ans,Primaire/Secondaire,61,74.0
2016/2017,Territoires du Nord-Ouest,15 à 19 ans,Collège,61,
2016/2017,Territoires du Nord-Ouest,15 à 19 ans,Université,61,
2016/2017,Territoires du Nord-Ouest,20 à 24 ans,Total taux de participation,61,24.0
2016/2017,Territoires du Nord-Ouest,20 à 24 ans,Primaire/Secondaire,61,
2016/2017,Territoires du Nord-Ouest,20 à 24 ans,Collège,61,9.0
2016/2017,Territoires du Nord-Ouest,20 à 24 ans,Université,61,10.0
2016/2017,Territoires du Nord-Ouest,25 à 29 ans,Total taux de participation,61,11.0
2016/2017,Territoires du Nord-Ouest,25 à 29 ans,Primaire/Secondaire,61,
2016/2017,Territoires du Nord-Ouest,25 à 29 ans,Collège,61,
2016/2017,Territoires du Nord-Ouest,25 à 29 ans,Université,61,6.0
2016/2017,Nunavut,15 à 19 ans,Total taux de participation,62,62.0
2016/2017,Nunavut,15 à 19 ans,Primaire/Secondaire,62,60.0
2016/2017,Nunavut,15 à 19 ans,Collège,62,
2016/2017,Nunavut,15 à 19 ans,Université,62,
2016/2017,Nunavut,20 à 24 ans,Total taux de participation,62,8.0
2016/2017,Nunavut,20 à 24 ans,Primaire/Secondaire,62,
2016/2017,Nunavut,20 à 24 ans,Collège,62,
2016/2017,Nunavut,20 à 24 ans,Université,62,
2016/2017,Nunavut,25 à 29 ans,Total taux de participation,62,
2016/2017,Nunavut,25 à 29 ans,Primaire/Secondaire,62,
2016/2017,Nunavut,25 à 29 ans,Collège,62,
2016/2017,Nunavut,25 à 29 ans,Université,62,
2017/2018,Canada,15 à 19 ans,Total taux de participation,,83.0
2017/2018,Canada,15 à 19 ans,Primaire/Secondaire,,59.0
2017/2018,Canada,15 à 19 ans,Collège,,11.0
2017/2018,Canada,15 à 19 ans,Université,,13.0
2017/2018,Canada,20 à 24 ans,Total taux de participation,,41.0
2017/2018,Canada,20 à 24 ans,Primaire/Secondaire,,1.0
2017/2018,Canada,20 à 24 ans,Collège,,11.0
2017/2018,Canada,20 à 24 ans,Université,,28.0
2017/2018,Canada,25 à 29 ans,Total taux de participation,,12.0
2017/2018,Canada,25 à 29 ans,Primaire/Secondaire,,0.0
2017/2018,Canada,25 à 29 ans,Collège,,4.0
2017/2018,Canada,25 à 29 ans,Université,,8.0
2017/2018,Terre-Neuve-et-Labrador,15 à 19 ans,Total taux de participation,10,84.0
2017/2018,Terre-Neuve-et-Labrador,15 à 19 ans,Primaire/Secondaire,10,60.0
2017/2018,Terre-Neuve-et-Labrador,15 à 19 ans,Collège,10,8.0
2017/2018,Terre-Neuve-et-Labrador,15 à 19 ans,Université,10,15.0
2017/2018,Terre-Neuve-et-Labrador,20 à 24 ans,Total taux de participation,10,39.0
2017/2018,Terre-Neuve-et-Labrador,20 à 24 ans,Primaire/Secondaire,10,
2017/2018,Terre-Neuve-et-Labrador,20 à 24 ans,Collège,10,12.0
2017/2018,Terre-Neuve-et-Labrador,20 à 24 ans,Université,10,25.0
2017/2018,Terre-Neuve-et-Labrador,25 à 29 ans,Total taux de participation,10,14.0
2017/2018,Terre-Neuve-et-Labrador,25 à 29 ans,Primaire/Secondaire,10,
2017/2018,Terre-Neuve-et-Labrador,25 à 29 ans,Collège,10,5.0
2017/2018,Terre-Neuve-et-Labrador,25 à 29 ans,Université,10,9.0
2017/2018,Île-du-Prince-Édouard,15 à 19 ans,Total taux de participation,11,85.0
2017/2018,Île-du-Prince-Édouard,15 à 19 ans,Primaire/Secondaire,11,59.0
2017/2018,Île-du-Prince-Édouard,15 à 19 ans,Collège,11,7.0
2017/2018,Île-du-Prince-Édouard,15 à 19 ans,Université,11,19.0
2017/2018,Île-du-Prince-Édouard,20 à 24 ans,Total taux de participation,11,36.0
2017/2018,Île-du-Prince-Édouard,20 à 24 ans,Primaire/Secondaire,11,
2017/2018,Île-du-Prince-Édouard,20 à 24 ans,Collège,11,9.0
2017/2018,Île-du-Prince-Édouard,20 à 24 ans,Université,11,27.0
2017/2018,Île-du-Prince-Édouard,25 à 29 ans,Total taux de participation,11,9.0
2017/2018,Île-du-Prince-Édouard,25 à 29 ans,Collège,11,2.0
2017/2018,Île-du-Prince-Édouard,25 à 29 ans,Université,11,7.0
2017/2018,Nouvelle-Écosse,15 à 19 ans,Total taux de participation,12,85.0
2017/2018,Nouvelle-Écosse,15 à 19 ans,Primaire/Secondaire,12,65.0
2017/2018,Nouvelle-Écosse,15 à 19 ans,Collège,12,5.0
2017/2018,Nouvelle-Écosse,15 à 19 ans,Université,12,14.0
2017/2018,Nouvelle-Écosse,20 à 24 ans,Total taux de participation,12,39.0
2017/2018,Nouvelle-Écosse,20 à 24 ans,Primaire/Secondaire,12,
2017/2018,Nouvelle-Écosse,20 à 24 ans,Collège,12,12.0
2017/2018,Nouvelle-Écosse,20 à 24 ans,Université,12,26.0
2017/2018,Nouvelle-Écosse,25 à 29 ans,Total taux de participation,12,12.0
2017/2018,Nouvelle-Écosse,25 à 29 ans,Primaire/Secondaire,12,
2017/2018,Nouvelle-Écosse,25 à 29 ans,Collège,12,3.0
2017/2018,Nouvelle-Écosse,25 à 29 ans,Université,12,9.0
2017/2018,Nouveau-Brunswick,15 à 19 ans,Total taux de participation,13,81.0
2017/2018,Nouveau-Brunswick,15 à 19 ans,Primaire/Secondaire,13,61.0
2017/2018,Nouveau-Brunswick,15 à 19 ans,Collège,13,5.0
2017/2018,Nouveau-Brunswick,15 à 19 ans,Université,13,15.0
2017/2018,Nouveau-Brunswick,20 à 24 ans,Total taux de participation,13,29.0
2017/2018,Nouveau-Brunswick,20 à 24 ans,Primaire/Secondaire,13,
2017/2018,Nouveau-Brunswick,20 à 24 ans,Collège,13,9.0
2017/2018,Nouveau-Brunswick,20 à 24 ans,Université,13,20.0
2017/2018,Nouveau-Brunswick,25 à 29 ans,Total taux de participation,13,8.0
2017/2018,Nouveau-Brunswick,25 à 29 ans,Collège,13,3.0
2017/2018,Nouveau-Brunswick,25 à 29 ans,Université,13,5.0
2017/2018,Québec,15 à 19 ans,Total taux de participation,24,85.0
2017/2018,Québec,15 à 19 ans,Primaire/Secondaire,24,49.0
2017/2018,Québec,15 à 19 ans,Collège,24,30.0
2017/2018,Québec,15 à 19 ans,Université,24,5.0
2017/2018,Québec,20 à 24 ans,Total taux de participation,24,48.0
2017/2018,Québec,20 à 24 ans,Primaire/Secondaire,24,3.0
2017/2018,Québec,20 à 24 ans,Collège,24,13.0
2017/2018,Québec,20 à 24 ans,Université,24,32.0
2017/2018,Québec,25 à 29 ans,Total taux de participation,24,14.0
2017/2018,Québec,25 à 29 ans,Primaire/Secondaire,24,1.0
2017/2018,Québec,25 à 29 ans,Collège,24,2.0
2017/2018,Québec,25 à 29 ans,Université,24,11.0
2017/2018,Ontario,15 à 19 ans,Total taux de participation,35,86.0
2017/2018,Ontario,15 à 19 ans,Primaire/Secondaire,35,61.0
2017/2018,Ontario,15 à 19 ans,Collège,35,8.0
2017/2018,Ontario,15 à 19 ans,Université,35,16.0
2017/2018,Ontario,20 à 24 ans,Total taux de participation,35,42.0
2017/2018,Ontario,20 à 24 ans,Primaire/Secondaire,35,1.0
2017/2018,Ontario,20 à 24 ans,Collège,35,12.0
2017/2018,Ontario,20 à 24 ans,Université,35,29.0
2017/2018,Ontario,25 à 29 ans,Total taux de participation,35,11.0
2017/2018,Ontario,25 à 29 ans,Primaire/Secondaire,35,
2017/2018,Ontario,25 à 29 ans,Collège,35,5.0
2017/2018,Ontario,25 à 29 ans,Université,35,7.0
2017/2018,Manitoba,15 à 19 ans,Total taux de participation,46,78.0
2017/2018,Manitoba,15 à 19 ans,Primaire/Secondaire,46,61.0
2017/2018,Manitoba,15 à 19 ans,Collège,46,3.0
2017/2018,Manitoba,15 à 19 ans,Université,46,13.0
2017/2018,Manitoba,20 à 24 ans,Total taux de participation,46,36.0
2017/2018,Manitoba,20 à 24 ans,Primaire/Secondaire,46,1.0
2017/2018,Manitoba,20 à 24 ans,Collège,46,6.0
2017/2018,Manitoba,20 à 24 ans,Université,46,29.0
2017/2018,Manitoba,25 à 29 ans,Total taux de participation,46,11.0
2017/2018,Manitoba,25 à 29 ans,Primaire/Secondaire,46,
2017/2018,Manitoba,25 à 29 ans,Collège,46,3.0
2017/2018,Manitoba,25 à 29 ans,Université,46,7.0
2017/2018,Saskatchewan,15 à 19 ans,Total taux de participation,47,80.0
2017/2018,Saskatchewan,15 à 19 ans,Primaire/Secondaire,47,64.0
2017/2018,Saskatchewan,15 à 19 ans,Collège,47,4.0
2017/2018,Saskatchewan,15 à 19 ans,Université,47,12.0
2017/2018,Saskatchewan,20 à 24 ans,Total taux de participation,47,32.0
2017/2018,Saskatchewan,20 à 24 ans,Primaire/Secondaire,47,1.0
2017/2018,Saskatchewan,20 à 24 ans,Collège,47,5.0
2017/2018,Saskatchewan,20 à 24 ans,Université,47,26.0
2017/2018,Saskatchewan,25 à 29 ans,Total taux de participation,47,9.0
2017/2018,Saskatchewan,25 à 29 ans,Primaire/Secondaire,47,
2017/2018,Saskatchewan,25 à 29 ans,Collège,47,2.0
2017/2018,Saskatchewan,25 à 29 ans,Université,47,7.0
2017/2018,Alberta,15 à 19 ans,Total taux de participation,48,78.0
2017/2018,Alberta,15 à 19 ans,Primaire/Secondaire,48,63.0
2017/2018,Alberta,15 à 19 ans,Collège,48,4.0
2017/2018,Alberta,15 à 19 ans,Université,48,12.0
2017/2018,Alberta,20 à 24 ans,Total taux de participation,48,34.0
2017/2018,Alberta,20 à 24 ans,Primaire/Secondaire,48,1.0
2017/2018,Alberta,20 à 24 ans,Collège,48,7.0
2017/2018,Alberta,20 à 24 ans,Université,48,26.0
2017/2018,Alberta,25 à 29 ans,Total taux de participation,48,9.0
2017/2018,Alberta,25 à 29 ans,Primaire/Secondaire,48,
2017/2018,Alberta,25 à 29 ans,Collège,48,3.0
2017/2018,Alberta,25 à 29 ans,Université,48,6.0
2017/2018,Colombie-Britannique,15 à 19 ans,Total taux de participation,59,80.0
2017/2018,Colombie-Britannique,15 à 19 ans,Primaire/Secondaire,59,59.0
2017/2018,Colombie-Britannique,15 à 19 ans,Collège,59,6.0
2017/2018,Colombie-Britannique,15 à 19 ans,Université,59,15.0
2017/2018,Colombie-Britannique,20 à 24 ans,Total taux de participation,59,38.0
2017/2018,Colombie-Britannique,20 à 24 ans,Primaire/Secondaire,59,1.0
2017/2018,Colombie-Britannique,20 à 24 ans,Collège,59,11.0
2017/2018,Colombie-Britannique,20 à 24 ans,Université,59,26.0
2017/2018,Colombie-Britannique,25 à 29 ans,Total taux de participation,59,12.0
2017/2018,Colombie-Britannique,25 à 29 ans,Primaire/Secondaire,59,
2017/2018,Colombie-Britannique,25 à 29 ans,Collège,59,4.0
2017/2018,Colombie-Britannique,25 à 29 ans,Université,59,8.0
2017/2018,Yukon,15 à 19 ans,Total taux de participation,60,75.0
2017/2018,Yukon,15 à 19 ans,Primaire/Secondaire,60,58.0
2017/2018,Yukon,15 à 19 ans,Collège,60,10.0
2017/2018,Yukon,15 à 19 ans,Université,60,
2017/2018,Yukon,20 à 24 ans,Total taux de participation,60,22.0
2017/2018,Yukon,20 à 24 ans,Primaire/Secondaire,60,
2017/2018,Yukon,20 à 24 ans,Collège,60,
2017/2018,Yukon,20 à 24 ans,Université,60,12.0
2017/2018,Yukon,25 à 29 ans,Total taux de participation,60,
2017/2018,Yukon,25 à 29 ans,Collège,60,
2017/2018,Yukon,25 à 29 ans,Université,60,
2017/2018,Territoires du Nord-Ouest,15 à 19 ans,Total taux de participation,61,80.0
2017/2018,Territoires du Nord-Ouest,15 à 19 ans,Primaire/Secondaire,61,67.0
2017/2018,Territoires du Nord-Ouest,15 à 19 ans,Collège,61,
2017/2018,Territoires du Nord-Ouest,15 à 19 ans,Université,61,8.0
2017/2018,Territoires du Nord-Ouest,20 à 24 ans,Total taux de participation,61,21.0
2017/2018,Territoires du Nord-Ouest,20 à 24 ans,Primaire/Secondaire,61,
2017/2018,Territoires du Nord-Ouest,20 à 24 ans,Collège,61,
2017/2018,Territoires du Nord-Ouest,20 à 24 ans,Université,61,10.0
2017/2018,Territoires du Nord-Ouest,25 à 29 ans,Total taux de participation,61,
2017/2018,Territoires du Nord-Ouest,25 à 29 ans,Primaire/Secondaire,61,
2017/2018,Territoires du Nord-Ouest,25 à 29 ans,Collège,61,
2017/2018,Territoires du Nord-Ouest,25 à 29 ans,Université,61,
2017/2018,Nunavut,15 à 19 ans,Total taux de participation,62,66.0
2017/2018,Nunavut,15 à 19 ans,Primaire/Secondaire,62,62.0
2017/2018,Nunavut,15 à 19 ans,Collège,62,
2017/2018,Nunavut,15 à 19 ans,Université,62,
2017/2018,Nunavut,20 à 24 ans,Total taux de participation,62,8.0
2017/2018,Nunavut,20 à 24 ans,Primaire/Secondaire,62,
2017/2018,Nunavut,20 à 24 ans,Collège,62,
2017/2018,Nunavut,20 à 24 ans,Université,62,
2017/2018,Nunavut,25 à 29 ans,Total taux de participation,62,
2017/2018,Nunavut,25 à 29 ans,Primaire/Secondaire,62,
2017/2018,Nunavut,25 à 29 ans,Collège,62,
2017/2018,Nunavut,25 à 29 ans,Université,62,
2018/2019,Canada,15 à 19 ans,Total taux de participation,,84.0
2018/2019,Canada,15 à 19 ans,Primaire/Secondaire,,58.0
2018/2019,Canada,15 à 19 ans,Collège,,12.0
2018/2019,Canada,15 à 19 ans,Université,,13.0
2018/2019,Canada,20 à 24 ans,Total taux de participation,,42.0
2018/2019,Canada,20 à 24 ans,Primaire/Secondaire,,1.0
2018/2019,Canada,20 à 24 ans,Collège,,12.0
2018/2019,Canada,20 à 24 ans,Université,,29.0
2018/2019,Canada,25 à 29 ans,Total taux de participation,,12.0
2018/2019,Canada,25 à 29 ans,Primaire/Secondaire,,0.0
2018/2019,Canada,25 à 29 ans,Collège,,4.0
2018/2019,Canada,25 à 29 ans,Université,,7.0
2018/2019,Terre-Neuve-et-Labrador,15 à 19 ans,Total taux de participation,10,83.0
2018/2019,Terre-Neuve-et-Labrador,15 à 19 ans,Primaire/Secondaire,10,57.0
2018/2019,Terre-Neuve-et-Labrador,15 à 19 ans,Collège,10,9.0
2018/2019,Terre-Neuve-et-Labrador,15 à 19 ans,Université,10,16.0
2018/2019,Terre-Neuve-et-Labrador,20 à 24 ans,Total taux de participation,10,45.0
2018/2019,Terre-Neuve-et-Labrador,20 à 24 ans,Primaire/Secondaire,10,
2018/2019,Terre-Neuve-et-Labrador,20 à 24 ans,Collège,10,10.0
2018/2019,Terre-Neuve-et-Labrador,20 à 24 ans,Université,10,34.0
2018/2019,Terre-Neuve-et-Labrador,25 à 29 ans,Total taux de participation,10,15.0
2018/2019,Terre-Neuve-et-Labrador,25 à 29 ans,Collège,10,5.0
2018/2019,Terre-Neuve-et-Labrador,25 à 29 ans,Université,10,10.0
2018/2019,Île-du-Prince-Édouard,15 à 19 ans,Total taux de participation,11,85.0
2018/2019,Île-du-Prince-Édouard,15 à 19 ans,Primaire/Secondaire,11,65.0
2018/2019,Île-du-Prince-Édouard,15 à 19 ans,Collège,11,6.0
2018/2019,Île-du-Prince-Édouard,15 à 19 ans,Université,11,14.0
2018/2019,Île-du-Prince-Édouard,20 à 24 ans,Total taux de participation,11,33.0
2018/2019,Île-du-Prince-Édouard,20 à 24 ans,Primaire/Secondaire,11,
2018/2019,Île-du-Prince-Édouard,20 à 24 ans,Collège,11,7.0
2018/2019,Île-du-Prince-Édouard,20 à 24 ans,Université,11,26.0
2018/2019,Île-du-Prince-Édouard,25 à 29 ans,Total taux de participation,11,11.0
2018/2019,Île-du-Prince-Édouard,25 à 29 ans,Primaire/Secondaire,11,
2018/2019,Île-du-Prince-Édouard,25 à 29 ans,Collège,11,4.0
2018/2019,Île-du-Prince-Édouard,25 à 29 ans,Université,11,7.0
2018/2019,Nouvelle-Écosse,15 à 19 ans,Total taux de participation,12,86.0
2018/2019,Nouvelle-Écosse,15 à 19 ans,Primaire/Secondaire,12,66.0
2018/2019,Nouvelle-Écosse,15 à 19 ans,Collège,12,6.0
2018/2019,Nouvelle-Écosse,15 à 19 ans,Université,12,14.0
2018/2019,Nouvelle-Écosse,20 à 24 ans,Total taux de participation,12,36.0
2018/2019,Nouvelle-Écosse,20 à 24 ans,Primaire/Secondaire,12,1.0
2018/2019,Nouvelle-Écosse,20 à 24 ans,Collège,12,10.0
2018/2019,Nouvelle-Écosse,20 à 24 ans,Université,12,26.0
2018/2019,Nouvelle-Écosse,25 à 29 ans,Total taux de participation,12,12.0
2018/2019,Nouvelle-Écosse,25 à 29 ans,Primaire/Secondaire,12,
2018/2019,Nouvelle-Écosse,25 à 29 ans,Collège,12,4.0
2018/2019,Nouvelle-Écosse,25 à 29 ans,Université,12,8.0
2018/2019,Nouveau-Brunswick,15 à 19 ans,Total taux de participation,13,80.0
2018/2019,Nouveau-Brunswick,15 à 19 ans,Primaire/Secondaire,13,60.0
2018/2019,Nouveau-Brunswick,15 à 19 ans,Collège,13,4.0
2018/2019,Nouveau-Brunswick,15 à 19 ans,Université,13,16.0
2018/2019,Nouveau-Brunswick,20 à 24 ans,Total taux de participation,13,30.0
2018/2019,Nouveau-Brunswick,20 à 24 ans,Primaire/Secondaire,13,
2018/2019,Nouveau-Brunswick,20 à 24 ans,Collège,13,8.0
2018/2019,Nouveau-Brunswick,20 à 24 ans,Université,13,22.0
2018/2019,Nouveau-Brunswick,25 à 29 ans,Total taux de participation,13,10.0
2018/2019,Nouveau-Brunswick,25 à 29 ans,Primaire/Secondaire,13,
2018/2019,Nouveau-Brunswick,25 à 29 ans,Collège,13,4.0
2018/2019,Nouveau-Brunswick,25 à 29 ans,Université,13,6.0
2018/2019,Québec,15 à 19 ans,Total taux de participation,24,83.0
2018/2019,Québec,15 à 19 ans,Primaire/Secondaire,24,48.0
2018/2019,Québec,15 à 19 ans,Collège,24,31.0
2018/2019,Québec,15 à 19 ans,Université,24,3.0
2018/2019,Québec,20 à 24 ans,Total taux de participation,24,48.0
2018/2019,Québec,20 à 24 ans,Primaire/Secondaire,24,2.0
2018/2019,Québec,20 à 24 ans,Collège,24,13.0
2018/2019,Québec,20 à 24 ans,Université,24,33.0
2018/2019,Québec,25 à 29 ans,Total taux de participation,24,15.0
2018/2019,Québec,25 à 29 ans,Primaire/Secondaire,24,1.0
2018/2019,Québec,25 à 29 ans,Collège,24,4.0
2018/2019,Québec,25 à 29 ans,Université,24,10.0
2018/2019,Ontario,15 à 19 ans,Total taux de participation,35,86.0
2018/2019,Ontario,15 à 19 ans,Primaire/Secondaire,35,61.0
2018/2019,Ontario,15 à 19 ans,Collège,35,8.0
2018/2019,Ontario,15 à 19 ans,Université,35,17.0
2018/2019,Ontario,20 à 24 ans,Total taux de participation,35,44.0
2018/2019,Ontario,20 à 24 ans,Primaire/Secondaire,35,1.0
2018/2019,Ontario,20 à 24 ans,Collège,35,13.0
2018/2019,Ontario,20 à 24 ans,Université,35,30.0
2018/2019,Ontario,25 à 29 ans,Total taux de participation,35,11.0
2018/2019,Ontario,25 à 29 ans,Primaire/Secondaire,35,0.0
2018/2019,Ontario,25 à 29 ans,Collège,35,5.0
2018/2019,Ontario,25 à 29 ans,Université,35,6.0
2018/2019,Manitoba,15 à 19 ans,Total taux de participation,46,78.0
2018/2019,Manitoba,15 à 19 ans,Primaire/Secondaire,46,60.0
2018/2019,Manitoba,15 à 19 ans,Collège,46,4.0
2018/2019,Manitoba,15 à 19 ans,Université,46,14.0
2018/2019,Manitoba,20 à 24 ans,Total taux de participation,46,35.0
2018/2019,Manitoba,20 à 24 ans,Primaire/Secondaire,46,1.0
2018/2019,Manitoba,20 à 24 ans,Collège,46,8.0
2018/2019,Manitoba,20 à 24 ans,Université,46,26.0
2018/2019,Manitoba,25 à 29 ans,Total taux de participation,46,10.0
2018/2019,Manitoba,25 à 29 ans,Primaire/Secondaire,46,
2018/2019,Manitoba,25 à 29 ans,Collège,46,3.0
2018/2019,Manitoba,25 à 29 ans,Université,46,7.0
2018/2019,Saskatchewan,15 à 19 ans,Total taux de participation,47,82.0
2018/2019,Saskatchewan,15 à 19 ans,Primaire/Secondaire,47,64.0
2018/2019,Saskatchewan,15 à 19 ans,Collège,47,3.0
2018/2019,Saskatchewan,15 à 19 ans,Université,47,16.0
2018/2019,Saskatchewan,20 à 24 ans,Total taux de participation,47,35.0
2018/2019,Saskatchewan,20 à 24 ans,Primaire/Secondaire,47,2.0
2018/2019,Saskatchewan,20 à 24 ans,Collège,47,6.0
2018/2019,Saskatchewan,20 à 24 ans,Université,47,28.0
2018/2019,Saskatchewan,25 à 29 ans,Total taux de participation,47,9.0
2018/2019,Saskatchewan,25 à 29 ans,Primaire/Secondaire,47,
2018/2019,Saskatchewan,25 à 29 ans,Collège,47,2.0
2018/2019,Saskatchewan,25 à 29 ans,Université,47,7.0
2018/2019,Alberta,15 à 19 ans,Total taux de participation,48,79.0
2018/2019,Alberta,15 à 19 ans,Primaire/Secondaire,48,62.0
2018/2019,Alberta,15 à 19 ans,Collège,48,4.0
2018/2019,Alberta,15 à 19 ans,Université,48,12.0
2018/2019,Alberta,20 à 24 ans,Total taux de participation,48,32.0
2018/2019,Alberta,20 à 24 ans,Primaire/Secondaire,48,1.0
2018/2019,Alberta,20 à 24 ans,Collège,48,9.0
2018/2019,Alberta,20 à 24 ans,Université,48,22.0
2018/2019,Alberta,25 à 29 ans,Total taux de participation,48,9.0
2018/2019,Alberta,25 à 29 ans,Primaire/Secondaire,48,
