Year,État matrimonial,Groupe d'âge,Géographie,Value
2021,Vivant en union libre,15 à 19 ans,Alberta,1.26
2021,Vivant en union libre,20 à 24 ans,Alberta,13.51
2021,Marié ou vivant en union libre,15 à 19 ans,Colombie-Britannique,1.2
2021,Marié ou vivant en union libre,20 à 24 ans,Colombie-Britannique,16.24
2021,Marié,15 à 19 ans,Colombie-Britannique,0.22
2021,Marié,20 à 24 ans,Colombie-Britannique,5.24
2021,Vivant en union libre,15 à 19 ans,Colombie-Britannique,0.99
2021,Vivant en union libre,20 à 24 ans,Colombie-Britannique,11.0
2021,Marié ou vivant en union libre,15 à 19 ans,Canada,1.34
2021,Marié ou vivant en union libre,20 à 24 ans,Canada,16.93
2021,Marié,15 à 19 ans,Canada,0.17
2021,Marié,20 à 24 ans,Canada,4.49
2021,Vivant en union libre,15 à 19 ans,Canada,1.17
2021,Vivant en union libre,20 à 24 ans,Canada,12.43
2021,Marié ou vivant en union libre,15 à 19 ans,Manitoba,1.87
2021,Marié ou vivant en union libre,20 à 24 ans,Manitoba,18.98
2021,Marié,15 à 19 ans,Manitoba,0.36
2021,Marié,20 à 24 ans,Manitoba,7.07
2021,Vivant en union libre,15 à 19 ans,Manitoba,1.51
2021,Vivant en union libre,20 à 24 ans,Manitoba,11.92
2021,Marié ou vivant en union libre,15 à 19 ans,Nouveau-Brunswick,2.21
2021,Marié ou vivant en union libre,20 à 24 ans,Nouveau-Brunswick,22.16
2021,Marié,15 à 19 ans,Nouveau-Brunswick,0.18
2021,Marié,20 à 24 ans,Nouveau-Brunswick,3.78
2021,Vivant en union libre,15 à 19 ans,Nouveau-Brunswick,2.03
2021,Vivant en union libre,20 à 24 ans,Nouveau-Brunswick,18.41
2021,Marié ou vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,1.45
2021,Marié ou vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,18.05
2021,Marié,15 à 19 ans,Terre-Neuve-et-Labrador,0.04
2021,Marié,20 à 24 ans,Terre-Neuve-et-Labrador,2.08
2021,Vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,1.41
2021,Vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,15.97
2021,Marié ou vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,2.0
2021,Marié ou vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,22.63
2021,Marié,20 à 24 ans,Territoires du Nord-Ouest,2.88
2021,Vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,2.0
2021,Vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,19.34
2021,Marié ou vivant en union libre,15 à 19 ans,Nouvelle-Écosse,1.41
2021,Marié ou vivant en union libre,20 à 24 ans,Nouvelle-Écosse,18.21
2021,Marié,15 à 19 ans,Nouvelle-Écosse,0.15
2021,Marié,20 à 24 ans,Nouvelle-Écosse,2.92
2021,Vivant en union libre,15 à 19 ans,Nouvelle-Écosse,1.24
2021,Vivant en union libre,20 à 24 ans,Nouvelle-Écosse,15.29
2021,Marié ou vivant en union libre,15 à 19 ans,Nunavut,9.35
2021,Marié ou vivant en union libre,20 à 24 ans,Nunavut,32.85
2021,Marié,20 à 24 ans,Nunavut,1.81
2021,Vivant en union libre,15 à 19 ans,Nunavut,9.35
2021,Vivant en union libre,20 à 24 ans,Nunavut,30.69
2021,Marié ou vivant en union libre,15 à 19 ans,Ontario,0.74
2021,Marié ou vivant en union libre,20 à 24 ans,Ontario,12.48
2021,Marié,15 à 19 ans,Ontario,0.16
2021,Marié,20 à 24 ans,Ontario,4.33
2021,Vivant en union libre,15 à 19 ans,Ontario,0.58
2021,Vivant en union libre,20 à 24 ans,Ontario,8.15
2021,Marié ou vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,1.07
2021,Marié ou vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,17.17
2021,Marié,20 à 24 ans,Île-du-Prince-Édouard,3.99
2021,Vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,1.07
2021,Vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,13.17
2021,Marié ou vivant en union libre,15 à 19 ans,Québec,2.09
2021,Marié ou vivant en union libre,20 à 24 ans,Québec,22.1
2021,Marié,15 à 19 ans,Québec,0.12
2021,Marié,20 à 24 ans,Québec,2.85
2021,Vivant en union libre,15 à 19 ans,Québec,1.97
2021,Vivant en union libre,20 à 24 ans,Québec,19.25
2021,Marié ou vivant en union libre,15 à 19 ans,Saskatchewan,1.96
2021,Marié ou vivant en union libre,20 à 24 ans,Saskatchewan,21.85
2021,Marié,15 à 19 ans,Saskatchewan,0.15
2021,Marié,20 à 24 ans,Saskatchewan,5.84
2021,Vivant en union libre,15 à 19 ans,Saskatchewan,1.8
2021,Vivant en union libre,20 à 24 ans,Saskatchewan,15.99
2021,Marié ou vivant en union libre,15 à 19 ans,Yukon,2.01
2021,Marié ou vivant en union libre,20 à 24 ans,Yukon,20.38
2021,Marié,20 à 24 ans,Yukon,4.27
2021,Vivant en union libre,15 à 19 ans,Yukon,2.01
2021,Vivant en union libre,20 à 24 ans,Yukon,16.11
