Year,Geography,Source,GeoCode,Value
1990,British Columbia,Oil and Gas,59,7.9
1991,British Columbia,Oil and Gas,59,7.3
1992,British Columbia,Oil and Gas,59,6.6
1993,British Columbia,Oil and Gas,59,6.3
1994,British Columbia,Oil and Gas,59,8.5
1995,British Columbia,Oil and Gas,59,10.3
1996,British Columbia,Oil and Gas,59,11.6
1997,British Columbia,Oil and Gas,59,10.3
1998,British Columbia,Oil and Gas,59,11.4
1999,British Columbia,Oil and Gas,59,12.3
2000,British Columbia,Oil and Gas,59,11.5
2001,British Columbia,Oil and Gas,59,13.1
2002,British Columbia,Oil and Gas,59,12.6
2003,British Columbia,Oil and Gas,59,12.4
2004,British Columbia,Oil and Gas,59,13.2
2005,British Columbia,Oil and Gas,59,12.9
2006,British Columbia,Oil and Gas,59,13.8
2007,British Columbia,Oil and Gas,59,14.3
2008,British Columbia,Oil and Gas,59,14.7
2009,British Columbia,Oil and Gas,59,14.3
2010,British Columbia,Oil and Gas,59,14.5
2011,British Columbia,Oil and Gas,59,14.9
2012,British Columbia,Oil and Gas,59,14.2
2013,British Columbia,Oil and Gas,59,14.5
2014,British Columbia,Oil and Gas,59,14.4
2015,British Columbia,Oil and Gas,59,14.2
2016,British Columbia,Oil and Gas,59,14.0
2017,British Columbia,Oil and Gas,59,14.0
2018,British Columbia,Oil and Gas,59,13.9
2019,British Columbia,Oil and Gas,59,13.2
2020,British Columbia,Oil and Gas,59,13.3
2021,British Columbia,Oil and Gas,59,12.4
1990,British Columbia,Electricity,59,0.9
1991,British Columbia,Electricity,59,0.5
1992,British Columbia,Electricity,59,1.0
1993,British Columbia,Electricity,59,2.0
1994,British Columbia,Electricity,59,1.7
1995,British Columbia,Electricity,59,1.8
1996,British Columbia,Electricity,59,0.3
1997,British Columbia,Electricity,59,0.6
1998,British Columbia,Electricity,59,1.4
1999,British Columbia,Electricity,59,0.7
2000,British Columbia,Electricity,59,1.7
2001,British Columbia,Electricity,59,2.2
2002,British Columbia,Electricity,59,0.7
2003,British Columbia,Electricity,59,0.7
2004,British Columbia,Electricity,59,0.9
2005,British Columbia,Electricity,59,1.0
2006,British Columbia,Electricity,59,1.1
2007,British Columbia,Electricity,59,0.9
2008,British Columbia,Electricity,59,1.2
2009,British Columbia,Electricity,59,1.1
2010,British Columbia,Electricity,59,1.0
2011,British Columbia,Electricity,59,0.6
2012,British Columbia,Electricity,59,0.3
2013,British Columbia,Electricity,59,0.4
2014,British Columbia,Electricity,59,0.3
2015,British Columbia,Electricity,59,0.3
2016,British Columbia,Electricity,59,0.4
2017,British Columbia,Electricity,59,0.4
2018,British Columbia,Electricity,59,0.5
2019,British Columbia,Electricity,59,0.6
2020,British Columbia,Electricity,59,0.2
2021,British Columbia,Electricity,59,0.4
1990,British Columbia,Transport,59,15.1
1991,British Columbia,Transport,59,15.0
1992,British Columbia,Transport,59,15.4
1993,British Columbia,Transport,59,15.8
1994,British Columbia,Transport,59,16.5
1995,British Columbia,Transport,59,17.3
1996,British Columbia,Transport,59,18.1
1997,British Columbia,Transport,59,18.8
1998,British Columbia,Transport,59,19.0
1999,British Columbia,Transport,59,19.2
2000,British Columbia,Transport,59,18.9
2001,British Columbia,Transport,59,18.5
2002,British Columbia,Transport,59,18.4
2003,British Columbia,Transport,59,19.2
2004,British Columbia,Transport,59,20.3
2005,British Columbia,Transport,59,19.6
2006,British Columbia,Transport,59,19.6
2007,British Columbia,Transport,59,20.1
2008,British Columbia,Transport,59,20.4
2009,British Columbia,Transport,59,19.9
2010,British Columbia,Transport,59,19.5
2011,British Columbia,Transport,59,18.6
2012,British Columbia,Transport,59,19.4
2013,British Columbia,Transport,59,20.3
2014,British Columbia,Transport,59,20.3
2015,British Columbia,Transport,59,20.4
2016,British Columbia,Transport,59,21.5
2017,British Columbia,Transport,59,21.8
2018,British Columbia,Transport,59,22.7
2019,British Columbia,Transport,59,22.7
2020,British Columbia,Transport,59,20.5
2021,British Columbia,Transport,59,21.6
1990,British Columbia,Heavy Industry,59,9.0
1991,British Columbia,Heavy Industry,59,9.3
1992,British Columbia,Heavy Industry,59,8.4
1993,British Columbia,Heavy Industry,59,8.4
1994,British Columbia,Heavy Industry,59,8.7
1995,British Columbia,Heavy Industry,59,8.8
1996,British Columbia,Heavy Industry,59,9.2
1997,British Columbia,Heavy Industry,59,9.4
1998,British Columbia,Heavy Industry,59,9.2
1999,British Columbia,Heavy Industry,59,9.5
2000,British Columbia,Heavy Industry,59,9.5
2001,British Columbia,Heavy Industry,59,8.5
2002,British Columbia,Heavy Industry,59,8.1
2003,British Columbia,Heavy Industry,59,8.2
2004,British Columbia,Heavy Industry,59,8.1
2005,British Columbia,Heavy Industry,59,7.2
2006,British Columbia,Heavy Industry,59,6.9
2007,British Columbia,Heavy Industry,59,6.7
2008,British Columbia,Heavy Industry,59,6.6
2009,British Columbia,Heavy Industry,59,6.1
2010,British Columbia,Heavy Industry,59,5.7
2011,British Columbia,Heavy Industry,59,5.8
2012,British Columbia,Heavy Industry,59,5.8
2013,British Columbia,Heavy Industry,59,5.5
2014,British Columbia,Heavy Industry,59,5.8
2015,British Columbia,Heavy Industry,59,5.9
2016,British Columbia,Heavy Industry,59,6.4
2017,British Columbia,Heavy Industry,59,6.5
2018,British Columbia,Heavy Industry,59,6.7
2019,British Columbia,Heavy Industry,59,6.4
2020,British Columbia,Heavy Industry,59,5.6
2021,British Columbia,Heavy Industry,59,5.3
1990,British Columbia,Buildings,59,7.7
1991,British Columbia,Buildings,59,7.8
1992,British Columbia,Buildings,59,7.8
1993,British Columbia,Buildings,59,8.7
1994,British Columbia,Buildings,59,8.3
1995,British Columbia,Buildings,59,8.4
1996,British Columbia,Buildings,59,9.1
1997,British Columbia,Buildings,59,8.6
1998,British Columbia,Buildings,59,8.0
1999,British Columbia,Buildings,59,8.5
2000,British Columbia,Buildings,59,8.8
2001,British Columbia,Buildings,59,8.7
2002,British Columbia,Buildings,59,9.2
2003,British Columbia,Buildings,59,8.2
2004,British Columbia,Buildings,59,8.2
2005,British Columbia,Buildings,59,8.4
2006,British Columbia,Buildings,59,8.4
2007,British Columbia,Buildings,59,8.3
2008,British Columbia,Buildings,59,8.5
2009,British Columbia,Buildings,59,8.2
2010,British Columbia,Buildings,59,8.2
2011,British Columbia,Buildings,59,8.3
2012,British Columbia,Buildings,59,8.0
2013,British Columbia,Buildings,59,8.0
2014,British Columbia,Buildings,59,8.0
2015,British Columbia,Buildings,59,7.5
2016,British Columbia,Buildings,59,8.0
2017,British Columbia,Buildings,59,8.6
2018,British Columbia,Buildings,59,8.4
2019,British Columbia,Buildings,59,8.8
2020,British Columbia,Buildings,59,8.9
2021,British Columbia,Buildings,59,9.1
1990,British Columbia,Agriculture,59,2.3
1991,British Columbia,Agriculture,59,2.4
1992,British Columbia,Agriculture,59,2.5
1993,British Columbia,Agriculture,59,2.5
1994,British Columbia,Agriculture,59,2.4
1995,British Columbia,Agriculture,59,2.5
1996,British Columbia,Agriculture,59,2.5
1997,British Columbia,Agriculture,59,2.6
1998,British Columbia,Agriculture,59,2.5
1999,British Columbia,Agriculture,59,2.7
2000,British Columbia,Agriculture,59,2.8
2001,British Columbia,Agriculture,59,2.9
2002,British Columbia,Agriculture,59,2.7
2003,British Columbia,Agriculture,59,2.7
2004,British Columbia,Agriculture,59,2.7
2005,British Columbia,Agriculture,59,2.7
2006,British Columbia,Agriculture,59,2.5
2007,British Columbia,Agriculture,59,2.4
2008,British Columbia,Agriculture,59,2.3
2009,British Columbia,Agriculture,59,2.1
2010,British Columbia,Agriculture,59,2.3
2011,British Columbia,Agriculture,59,2.3
2012,British Columbia,Agriculture,59,2.5
2013,British Columbia,Agriculture,59,2.5
2014,British Columbia,Agriculture,59,2.5
2015,British Columbia,Agriculture,59,2.6
2016,British Columbia,Agriculture,59,2.9
2017,British Columbia,Agriculture,59,2.9
2018,British Columbia,Agriculture,59,3.1
2019,British Columbia,Agriculture,59,3.0
2020,British Columbia,Agriculture,59,3.0
2021,British Columbia,Agriculture,59,2.9
1990,British Columbia,Waste,59,2.4
1991,British Columbia,Waste,59,2.3
1992,British Columbia,Waste,59,2.3
1993,British Columbia,Waste,59,2.3
1994,British Columbia,Waste,59,2.4
1995,British Columbia,Waste,59,2.5
1996,British Columbia,Waste,59,2.6
1997,British Columbia,Waste,59,2.5
1998,British Columbia,Waste,59,2.6
1999,British Columbia,Waste,59,2.6
2000,British Columbia,Waste,59,2.7
2001,British Columbia,Waste,59,2.5
2002,British Columbia,Waste,59,2.5
2003,British Columbia,Waste,59,2.6
2004,British Columbia,Waste,59,2.5
2005,British Columbia,Waste,59,2.4
2006,British Columbia,Waste,59,2.6
2007,British Columbia,Waste,59,2.6
2008,British Columbia,Waste,59,2.6
2009,British Columbia,Waste,59,2.7
2010,British Columbia,Waste,59,2.6
2011,British Columbia,Waste,59,2.6
2012,British Columbia,Waste,59,2.4
2013,British Columbia,Waste,59,2.3
2014,British Columbia,Waste,59,2.3
2015,British Columbia,Waste,59,2.3
2016,British Columbia,Waste,59,2.2
2017,British Columbia,Waste,59,2.1
2018,British Columbia,Waste,59,2.1
2019,British Columbia,Waste,59,2.1
2020,British Columbia,Waste,59,2.0
2021,British Columbia,Waste,59,2.0
1990,British Columbia,Coal Production,59,1.7
1991,British Columbia,Coal Production,59,1.8
1992,British Columbia,Coal Production,59,1.5
1993,British Columbia,Coal Production,59,1.9
1994,British Columbia,Coal Production,59,2.1
1995,British Columbia,Coal Production,59,2.1
1996,British Columbia,Coal Production,59,2.3
1997,British Columbia,Coal Production,59,2.3
1998,British Columbia,Coal Production,59,2.2
1999,British Columbia,Coal Production,59,2.2
2000,British Columbia,Coal Production,59,2.2
2001,British Columbia,Coal Production,59,2.4
2002,British Columbia,Coal Production,59,2.2
2003,British Columbia,Coal Production,59,2.1
2004,British Columbia,Coal Production,59,2.3
2005,British Columbia,Coal Production,59,2.0
2006,British Columbia,Coal Production,59,1.9
2007,British Columbia,Coal Production,59,2.1
2008,British Columbia,Coal Production,59,2.0
2009,British Columbia,Coal Production,59,1.6
2010,British Columbia,Coal Production,59,2.0
2011,British Columbia,Coal Production,59,2.0
2012,British Columbia,Coal Production,59,2.3
2013,British Columbia,Coal Production,59,2.3
2014,British Columbia,Coal Production,59,2.1
2015,British Columbia,Coal Production,59,1.9
2016,British Columbia,Coal Production,59,2.1
2017,British Columbia,Coal Production,59,1.9
2018,British Columbia,Coal Production,59,2.2
2019,British Columbia,Coal Production,59,2.3
2020,British Columbia,Coal Production,59,2.0
2021,British Columbia,Coal Production,59,2.3
1990,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.3
1991,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,2.6
1992,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,2.7
1993,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,2.9
1994,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.0
1995,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.9
1996,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,4.2
1997,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.9
1998,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.8
1999,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.9
2000,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,4.7
2001,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,5.0
2002,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,4.5
2003,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,4.8
2004,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,5.0
2005,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,5.3
2006,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.5
2007,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.7
2008,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.2
2009,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,2.3
2010,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,2.5
2011,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,2.6
2012,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,2.8
2013,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.1
2014,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,2.8
2015,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.1
2016,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.2
2017,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.4
2018,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.9
2019,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.4
2020,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.3
2021,British Columbia,"Light Manufacturing, Construction and Forest Resources",59,3.3
1990,Yukon,Territorial Inventory Total,60,0.5
1991,Yukon,Territorial Inventory Total,60,0.5
1992,Yukon,Territorial Inventory Total,60,0.6
1993,Yukon,Territorial Inventory Total,60,0.5
1994,Yukon,Territorial Inventory Total,60,0.5
1995,Yukon,Territorial Inventory Total,60,0.6
1996,Yukon,Territorial Inventory Total,60,0.5
1997,Yukon,Territorial Inventory Total,60,0.5
1998,Yukon,Territorial Inventory Total,60,0.5
1999,Yukon,Territorial Inventory Total,60,0.6
2000,Yukon,Territorial Inventory Total,60,0.5
2001,Yukon,Territorial Inventory Total,60,0.5
2002,Yukon,Territorial Inventory Total,60,0.5
2003,Yukon,Territorial Inventory Total,60,0.5
2004,Yukon,Territorial Inventory Total,60,0.5
2005,Yukon,Territorial Inventory Total,60,0.6
2006,Yukon,Territorial Inventory Total,60,0.6
2007,Yukon,Territorial Inventory Total,60,0.6
2008,Yukon,Territorial Inventory Total,60,0.6
2009,Yukon,Territorial Inventory Total,60,0.6
2010,Yukon,Territorial Inventory Total,60,0.6
2011,Yukon,Territorial Inventory Total,60,0.7
2012,Yukon,Territorial Inventory Total,60,0.7
2013,Yukon,Territorial Inventory Total,60,0.6
2014,Yukon,Territorial Inventory Total,60,0.5
2015,Yukon,Territorial Inventory Total,60,0.5
2016,Yukon,Territorial Inventory Total,60,0.5
2017,Yukon,Territorial Inventory Total,60,0.6
2018,Yukon,Territorial Inventory Total,60,0.6
2019,Yukon,Territorial Inventory Total,60,0.7
2020,Yukon,Territorial Inventory Total,60,0.6
2021,Yukon,Territorial Inventory Total,60,0.7
1990,Yukon,Oil and Gas,60,0.0
1991,Yukon,Oil and Gas,60,0.0
1992,Yukon,Oil and Gas,60,0.2
1993,Yukon,Oil and Gas,60,0.1
1994,Yukon,Oil and Gas,60,0.1
1995,Yukon,Oil and Gas,60,0.1
1996,Yukon,Oil and Gas,60,0.1
1997,Yukon,Oil and Gas,60,0.1
1998,Yukon,Oil and Gas,60,0.1
1999,Yukon,Oil and Gas,60,0.2
2000,Yukon,Oil and Gas,60,0.1
2001,Yukon,Oil and Gas,60,0.1
2002,Yukon,Oil and Gas,60,0.1
2003,Yukon,Oil and Gas,60,0.1
2004,Yukon,Oil and Gas,60,0.1
2005,Yukon,Oil and Gas,60,0.1
2006,Yukon,Oil and Gas,60,0.1
2007,Yukon,Oil and Gas,60,0.1
2008,Yukon,Oil and Gas,60,0.1
2009,Yukon,Oil and Gas,60,0.0
2010,Yukon,Oil and Gas,60,0.0
2011,Yukon,Oil and Gas,60,0.0
2012,Yukon,Oil and Gas,60,0.0
2013,Yukon,Oil and Gas,60,0.0
2014,Yukon,Oil and Gas,60,0.0
2015,Yukon,Oil and Gas,60,0.0
2016,Yukon,Oil and Gas,60,0.0
2017,Yukon,Oil and Gas,60,0.0
2018,Yukon,Oil and Gas,60,0.0
2019,Yukon,Oil and Gas,60,0.0
2020,Yukon,Oil and Gas,60,0.0
2021,Yukon,Oil and Gas,60,0.0
1990,Yukon,Electricity,60,0.1
1991,Yukon,Electricity,60,0.1
1992,Yukon,Electricity,60,0.1
1993,Yukon,Electricity,60,0.0
1994,Yukon,Electricity,60,0.0
1995,Yukon,Electricity,60,0.1
1996,Yukon,Electricity,60,0.1
1997,Yukon,Electricity,60,0.1
1998,Yukon,Electricity,60,0.0
1999,Yukon,Electricity,60,0.0
2000,Yukon,Electricity,60,0.0
2001,Yukon,Electricity,60,0.0
2002,Yukon,Electricity,60,0.0
2003,Yukon,Electricity,60,0.0
2004,Yukon,Electricity,60,0.0
2005,Yukon,Electricity,60,0.0
2006,Yukon,Electricity,60,0.0
2007,Yukon,Electricity,60,0.0
2008,Yukon,Electricity,60,0.0
2009,Yukon,Electricity,60,0.0
2010,Yukon,Electricity,60,0.0
2011,Yukon,Electricity,60,0.0
2012,Yukon,Electricity,60,0.0
2013,Yukon,Electricity,60,0.0
2014,Yukon,Electricity,60,0.0
2015,Yukon,Electricity,60,0.0
2016,Yukon,Electricity,60,0.0
2017,Yukon,Electricity,60,0.0
2018,Yukon,Electricity,60,0.0
2019,Yukon,Electricity,60,0.0
2020,Yukon,Electricity,60,0.1
2021,Yukon,Electricity,60,0.0
1990,Yukon,Transport,60,0.2
1991,Yukon,Transport,60,0.2
1992,Yukon,Transport,60,0.2
1993,Yukon,Transport,60,0.2
1994,Yukon,Transport,60,0.2
1995,Yukon,Transport,60,0.2
1996,Yukon,Transport,60,0.2
1997,Yukon,Transport,60,0.2
1998,Yukon,Transport,60,0.2
1999,Yukon,Transport,60,0.2
2000,Yukon,Transport,60,0.2
2001,Yukon,Transport,60,0.2
2002,Yukon,Transport,60,0.2
2003,Yukon,Transport,60,0.2
2004,Yukon,Transport,60,0.2
2005,Yukon,Transport,60,0.3
2006,Yukon,Transport,60,0.3
2007,Yukon,Transport,60,0.3
2008,Yukon,Transport,60,0.3
2009,Yukon,Transport,60,0.4
2010,Yukon,Transport,60,0.4
2011,Yukon,Transport,60,0.4
2012,Yukon,Transport,60,0.4
2013,Yukon,Transport,60,0.3
2014,Yukon,Transport,60,0.3
2015,Yukon,Transport,60,0.3
2016,Yukon,Transport,60,0.3
2017,Yukon,Transport,60,0.4
2018,Yukon,Transport,60,0.4
2019,Yukon,Transport,60,0.4
2020,Yukon,Transport,60,0.3
2021,Yukon,Transport,60,0.4
1990,Yukon,Heavy Industry,60,0.1
1991,Yukon,Heavy Industry,60,0.1
1992,Yukon,Heavy Industry,60,0.0
1993,Yukon,Heavy Industry,60,0.0
1994,Yukon,Heavy Industry,60,0.0
1995,Yukon,Heavy Industry,60,0.0
1996,Yukon,Heavy Industry,60,0.0
1997,Yukon,Heavy Industry,60,0.0
1998,Yukon,Heavy Industry,60,0.0
1999,Yukon,Heavy Industry,60,0.0
2000,Yukon,Heavy Industry,60,0.0
2001,Yukon,Heavy Industry,60,0.0
2002,Yukon,Heavy Industry,60,0.0
2003,Yukon,Heavy Industry,60,0.0
2004,Yukon,Heavy Industry,60,0.1
2005,Yukon,Heavy Industry,60,0.0
2006,Yukon,Heavy Industry,60,0.1
2007,Yukon,Heavy Industry,60,0.0
2008,Yukon,Heavy Industry,60,0.0
2009,Yukon,Heavy Industry,60,0.0
2010,Yukon,Heavy Industry,60,0.1
2011,Yukon,Heavy Industry,60,0.1
2012,Yukon,Heavy Industry,60,0.1
2013,Yukon,Heavy Industry,60,0.1
2014,Yukon,Heavy Industry,60,0.1
2015,Yukon,Heavy Industry,60,0.1
2016,Yukon,Heavy Industry,60,0.1
2017,Yukon,Heavy Industry,60,0.1
2018,Yukon,Heavy Industry,60,0.1
2019,Yukon,Heavy Industry,60,0.1
2020,Yukon,Heavy Industry,60,0.1
2021,Yukon,Heavy Industry,60,0.1
1990,Yukon,Buildings,60,0.1
1991,Yukon,Buildings,60,0.1
1992,Yukon,Buildings,60,0.1
1993,Yukon,Buildings,60,0.1
1994,Yukon,Buildings,60,0.1
1995,Yukon,Buildings,60,0.1
1996,Yukon,Buildings,60,0.1
1997,Yukon,Buildings,60,0.1
1998,Yukon,Buildings,60,0.1
1999,Yukon,Buildings,60,0.1
2000,Yukon,Buildings,60,0.1
2001,Yukon,Buildings,60,0.1
2002,Yukon,Buildings,60,0.1
2003,Yukon,Buildings,60,0.1
2004,Yukon,Buildings,60,0.1
2005,Yukon,Buildings,60,0.1
2006,Yukon,Buildings,60,0.1
2007,Yukon,Buildings,60,0.1
2008,Yukon,Buildings,60,0.1
2009,Yukon,Buildings,60,0.1
2010,Yukon,Buildings,60,0.1
2011,Yukon,Buildings,60,0.1
2012,Yukon,Buildings,60,0.1
2013,Yukon,Buildings,60,0.1
2014,Yukon,Buildings,60,0.0
2015,Yukon,Buildings,60,0.0
2016,Yukon,Buildings,60,0.0
2017,Yukon,Buildings,60,0.0
2018,Yukon,Buildings,60,0.0
2019,Yukon,Buildings,60,0.0
2020,Yukon,Buildings,60,0.0
2021,Yukon,Buildings,60,0.0
1990,Yukon,Agriculture,60,0.0
1991,Yukon,Agriculture,60,0.0
1992,Yukon,Agriculture,60,0.0
1993,Yukon,Agriculture,60,0.0
1994,Yukon,Agriculture,60,0.0
1995,Yukon,Agriculture,60,0.0
1996,Yukon,Agriculture,60,0.0
1997,Yukon,Agriculture,60,0.0
1998,Yukon,Agriculture,60,0.0
1999,Yukon,Agriculture,60,0.0
2000,Yukon,Agriculture,60,0.0
2001,Yukon,Agriculture,60,0.0
2002,Yukon,Agriculture,60,0.0
2003,Yukon,Agriculture,60,0.0
2004,Yukon,Agriculture,60,0.0
2005,Yukon,Agriculture,60,0.0
2006,Yukon,Agriculture,60,0.0
2007,Yukon,Agriculture,60,0.0
2008,Yukon,Agriculture,60,0.0
2009,Yukon,Agriculture,60,0.0
2010,Yukon,Agriculture,60,0.0
2011,Yukon,Agriculture,60,0.0
2012,Yukon,Agriculture,60,0.0
2013,Yukon,Agriculture,60,0.0
2014,Yukon,Agriculture,60,0.0
2015,Yukon,Agriculture,60,0.0
2016,Yukon,Agriculture,60,0.0
2017,Yukon,Agriculture,60,0.0
2018,Yukon,Agriculture,60,0.0
2019,Yukon,Agriculture,60,0.0
2020,Yukon,Agriculture,60,0.0
2021,Yukon,Agriculture,60,0.0
1990,Yukon,Waste,60,0.0
1991,Yukon,Waste,60,0.0
1992,Yukon,Waste,60,0.0
1993,Yukon,Waste,60,0.0
1994,Yukon,Waste,60,0.0
1995,Yukon,Waste,60,0.0
1996,Yukon,Waste,60,0.0
1997,Yukon,Waste,60,0.0
1998,Yukon,Waste,60,0.0
1999,Yukon,Waste,60,0.0
2000,Yukon,Waste,60,0.0
2001,Yukon,Waste,60,0.0
2002,Yukon,Waste,60,0.0
2003,Yukon,Waste,60,0.0
2004,Yukon,Waste,60,0.0
2005,Yukon,Waste,60,0.0
2006,Yukon,Waste,60,0.0
2007,Yukon,Waste,60,0.0
2008,Yukon,Waste,60,0.0
2009,Yukon,Waste,60,0.0
2010,Yukon,Waste,60,0.0
2011,Yukon,Waste,60,0.0
2012,Yukon,Waste,60,0.0
2013,Yukon,Waste,60,0.0
2014,Yukon,Waste,60,0.0
2015,Yukon,Waste,60,0.0
2016,Yukon,Waste,60,0.0
2017,Yukon,Waste,60,0.0
2018,Yukon,Waste,60,0.0
2019,Yukon,Waste,60,0.0
2020,Yukon,Waste,60,0.0
2021,Yukon,Waste,60,0.0
1990,Yukon,Coal Production,60,0.0
1991,Yukon,Coal Production,60,0.0
1992,Yukon,Coal Production,60,0.0
1993,Yukon,Coal Production,60,0.0
1994,Yukon,Coal Production,60,0.0
1995,Yukon,Coal Production,60,0.0
1996,Yukon,Coal Production,60,0.0
1997,Yukon,Coal Production,60,0.0
1998,Yukon,Coal Production,60,0.0
1999,Yukon,Coal Production,60,0.0
2000,Yukon,Coal Production,60,0.0
2001,Yukon,Coal Production,60,0.0
2002,Yukon,Coal Production,60,0.0
2003,Yukon,Coal Production,60,0.0
2004,Yukon,Coal Production,60,0.0
2005,Yukon,Coal Production,60,0.0
2006,Yukon,Coal Production,60,0.0
2007,Yukon,Coal Production,60,0.0
2008,Yukon,Coal Production,60,0.0
2009,Yukon,Coal Production,60,0.0
2010,Yukon,Coal Production,60,0.0
2011,Yukon,Coal Production,60,0.0
2012,Yukon,Coal Production,60,0.0
2013,Yukon,Coal Production,60,0.0
2014,Yukon,Coal Production,60,0.0
2015,Yukon,Coal Production,60,0.0
2016,Yukon,Coal Production,60,0.0
2017,Yukon,Coal Production,60,0.0
2018,Yukon,Coal Production,60,0.0
2019,Yukon,Coal Production,60,0.0
2020,Yukon,Coal Production,60,0.0
2021,Yukon,Coal Production,60,0.0
1990,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
1991,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
1992,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
1993,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
1994,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
1995,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
1996,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
1997,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
1998,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
1999,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2000,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2001,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2002,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2003,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2004,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2005,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2006,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2007,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2008,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2009,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2010,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2011,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2012,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2013,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2014,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2015,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2016,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2017,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2018,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2019,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2020,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
2021,Yukon,"Light Manufacturing, Construction and Forest Resources",60,0.0
1999,Northwest Territories,Territorial Inventory Total,61,1.3
2000,Northwest Territories,Territorial Inventory Total,61,1.5
2001,Northwest Territories,Territorial Inventory Total,61,1.9
2002,Northwest Territories,Territorial Inventory Total,61,1.6
2003,Northwest Territories,Territorial Inventory Total,61,1.5
2004,Northwest Territories,Territorial Inventory Total,61,1.4
2005,Northwest Territories,Territorial Inventory Total,61,1.7
2006,Northwest Territories,Territorial Inventory Total,61,1.6
2007,Northwest Territories,Territorial Inventory Total,61,1.8
2008,Northwest Territories,Territorial Inventory Total,61,1.6
2009,Northwest Territories,Territorial Inventory Total,61,1.5
2010,Northwest Territories,Territorial Inventory Total,61,1.5
2011,Northwest Territories,Territorial Inventory Total,61,1.5
2012,Northwest Territories,Territorial Inventory Total,61,1.6
2013,Northwest Territories,Territorial Inventory Total,61,1.6
2014,Northwest Territories,Territorial Inventory Total,61,1.5
2015,Northwest Territories,Territorial Inventory Total,61,1.6
2016,Northwest Territories,Territorial Inventory Total,61,1.3
2017,Northwest Territories,Territorial Inventory Total,61,1.4
