Year,data.Geography,GeoCode,data.Economic family type,data.Household food security status,Value
2019,data.Newfoundland and Labrador,,data.Persons in other elderly families,"data.Food insecure, moderate",
2020,data.Newfoundland and Labrador,,data.Persons in other elderly families,"data.Food insecure, moderate",
2018,data.Newfoundland and Labrador,,data.Persons in other elderly families,"data.Food insecure, severe",
2019,data.Newfoundland and Labrador,,data.Persons in other elderly families,"data.Food insecure, severe",
2020,data.Newfoundland and Labrador,,data.Persons in other elderly families,"data.Food insecure, severe",
2018,data.Newfoundland and Labrador,,data.Persons in non-elderly families,"data.Food insecure, marginal",8.3
2019,data.Newfoundland and Labrador,,data.Persons in non-elderly families,"data.Food insecure, marginal",5.6
2020,data.Newfoundland and Labrador,,data.Persons in non-elderly families,"data.Food insecure, marginal",4.9
2018,data.Newfoundland and Labrador,,data.Persons in non-elderly families,"data.Food insecure, moderate or severe",11.9
2019,data.Newfoundland and Labrador,,data.Persons in non-elderly families,"data.Food insecure, moderate or severe",13.1
2020,data.Newfoundland and Labrador,,data.Persons in non-elderly families,"data.Food insecure, moderate or severe",13.2
2018,data.Newfoundland and Labrador,,data.Persons in non-elderly families,"data.Food insecure, moderate",7.9
2019,data.Newfoundland and Labrador,,data.Persons in non-elderly families,"data.Food insecure, moderate",10.4
2020,data.Newfoundland and Labrador,,data.Persons in non-elderly families,"data.Food insecure, moderate",10.1
2018,data.Newfoundland and Labrador,,data.Persons in non-elderly families,"data.Food insecure, severe",3.9
2019,data.Newfoundland and Labrador,,data.Persons in non-elderly families,"data.Food insecure, severe",2.7
2020,data.Newfoundland and Labrador,,data.Persons in non-elderly families,"data.Food insecure, severe",3.2
2018,data.Newfoundland and Labrador,,data.Persons in couples,"data.Food insecure, marginal",
2019,data.Newfoundland and Labrador,,data.Persons in couples,"data.Food insecure, marginal",
2020,data.Newfoundland and Labrador,,data.Persons in couples,"data.Food insecure, marginal",3.7
2018,data.Newfoundland and Labrador,,data.Persons in couples,"data.Food insecure, moderate or severe",8.1
2019,data.Newfoundland and Labrador,,data.Persons in couples,"data.Food insecure, moderate or severe",7.1
2020,data.Newfoundland and Labrador,,data.Persons in couples,"data.Food insecure, moderate or severe",3.8
2018,data.Newfoundland and Labrador,,data.Persons in couples,"data.Food insecure, moderate",5.0
2019,data.Newfoundland and Labrador,,data.Persons in couples,"data.Food insecure, moderate",6.0
2020,data.Newfoundland and Labrador,,data.Persons in couples,"data.Food insecure, moderate",
2018,data.Newfoundland and Labrador,,data.Persons in couples,"data.Food insecure, severe",
2019,data.Newfoundland and Labrador,,data.Persons in couples,"data.Food insecure, severe",
2020,data.Newfoundland and Labrador,,data.Persons in couples,"data.Food insecure, severe",
2018,data.Newfoundland and Labrador,,data.Persons in couple families with children,"data.Food insecure, marginal",10.9
2019,data.Newfoundland and Labrador,,data.Persons in couple families with children,"data.Food insecure, marginal",6.1
2020,data.Newfoundland and Labrador,,data.Persons in couple families with children,"data.Food insecure, marginal",5.8
2018,data.Newfoundland and Labrador,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",8.8
2019,data.Newfoundland and Labrador,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",15.1
2020,data.Newfoundland and Labrador,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",16.4
2018,data.Newfoundland and Labrador,,data.Persons in couple families with children,"data.Food insecure, moderate",5.8
2019,data.Newfoundland and Labrador,,data.Persons in couple families with children,"data.Food insecure, moderate",13.4
2020,data.Newfoundland and Labrador,,data.Persons in couple families with children,"data.Food insecure, moderate",13.7
2018,data.Newfoundland and Labrador,,data.Persons in couple families with children,"data.Food insecure, severe",
2019,data.Newfoundland and Labrador,,data.Persons in couple families with children,"data.Food insecure, severe",
2020,data.Newfoundland and Labrador,,data.Persons in couple families with children,"data.Food insecure, severe",
2018,data.Newfoundland and Labrador,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",
2019,data.Newfoundland and Labrador,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",
2020,data.Newfoundland and Labrador,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",
2018,data.Newfoundland and Labrador,,data.Persons in couple families with other relatives,"data.Food insecure, moderate or severe",
2019,data.Newfoundland and Labrador,,data.Persons in couple families with other relatives,"data.Food insecure, moderate or severe",
2020,data.Newfoundland and Labrador,,data.Persons in couple families with other relatives,"data.Food insecure, moderate or severe",
2018,data.Newfoundland and Labrador,,data.Persons in couple families with other relatives,"data.Food insecure, moderate",
2019,data.Newfoundland and Labrador,,data.Persons in couple families with other relatives,"data.Food insecure, moderate",
2020,data.Newfoundland and Labrador,,data.Persons in couple families with other relatives,"data.Food insecure, moderate",
2018,data.Newfoundland and Labrador,,data.Persons in couple families with other relatives,"data.Food insecure, severe",
2019,data.Newfoundland and Labrador,,data.Persons in couple families with other relatives,"data.Food insecure, severe",
2020,data.Newfoundland and Labrador,,data.Persons in couple families with other relatives,"data.Food insecure, severe",
2018,data.Newfoundland and Labrador,,data.Persons in lone-parent families,"data.Food insecure, marginal",
2019,data.Newfoundland and Labrador,,data.Persons in lone-parent families,"data.Food insecure, marginal",
2020,data.Newfoundland and Labrador,,data.Persons in lone-parent families,"data.Food insecure, marginal",
2018,data.Newfoundland and Labrador,,data.Persons in lone-parent families,"data.Food insecure, moderate or severe",37.5
2019,data.Newfoundland and Labrador,,data.Persons in lone-parent families,"data.Food insecure, moderate or severe",33.0
2020,data.Newfoundland and Labrador,,data.Persons in lone-parent families,"data.Food insecure, moderate or severe",35.1
2018,data.Newfoundland and Labrador,,data.Persons in lone-parent families,"data.Food insecure, moderate",26.0
2019,data.Newfoundland and Labrador,,data.Persons in lone-parent families,"data.Food insecure, moderate",
2020,data.Newfoundland and Labrador,,data.Persons in lone-parent families,"data.Food insecure, moderate",19.6
2018,data.Newfoundland and Labrador,,data.Persons in lone-parent families,"data.Food insecure, severe",
2019,data.Newfoundland and Labrador,,data.Persons in lone-parent families,"data.Food insecure, severe",
2020,data.Newfoundland and Labrador,,data.Persons in lone-parent families,"data.Food insecure, severe",15.5
2018,data.Newfoundland and Labrador,,data.Persons in male lone-parent families,"data.Food insecure, marginal",
2019,data.Newfoundland and Labrador,,data.Persons in male lone-parent families,"data.Food insecure, marginal",
2020,data.Newfoundland and Labrador,,data.Persons in male lone-parent families,"data.Food insecure, marginal",
2018,data.Newfoundland and Labrador,,data.Persons in male lone-parent families,"data.Food insecure, moderate or severe",
2019,data.Newfoundland and Labrador,,data.Persons in male lone-parent families,"data.Food insecure, moderate or severe",
2020,data.Newfoundland and Labrador,,data.Persons in male lone-parent families,"data.Food insecure, moderate or severe",
2018,data.Newfoundland and Labrador,,data.Persons in male lone-parent families,"data.Food insecure, moderate",
2019,data.Newfoundland and Labrador,,data.Persons in male lone-parent families,"data.Food insecure, moderate",
2020,data.Newfoundland and Labrador,,data.Persons in male lone-parent families,"data.Food insecure, moderate",
2018,data.Newfoundland and Labrador,,data.Persons in male lone-parent families,"data.Food insecure, severe",
2019,data.Newfoundland and Labrador,,data.Persons in male lone-parent families,"data.Food insecure, severe",
2020,data.Newfoundland and Labrador,,data.Persons in male lone-parent families,"data.Food insecure, severe",
2018,data.Newfoundland and Labrador,,data.Persons in female lone-parent families,"data.Food insecure, marginal",
2019,data.Newfoundland and Labrador,,data.Persons in female lone-parent families,"data.Food insecure, marginal",
2020,data.Newfoundland and Labrador,,data.Persons in female lone-parent families,"data.Food insecure, marginal",
2018,data.Newfoundland and Labrador,,data.Persons in female lone-parent families,"data.Food insecure, moderate or severe",36.1
2019,data.Newfoundland and Labrador,,data.Persons in female lone-parent families,"data.Food insecure, moderate or severe",39.7
2020,data.Newfoundland and Labrador,,data.Persons in female lone-parent families,"data.Food insecure, moderate or severe",39.2
2018,data.Newfoundland and Labrador,,data.Persons in female lone-parent families,"data.Food insecure, moderate",22.6
2019,data.Newfoundland and Labrador,,data.Persons in female lone-parent families,"data.Food insecure, moderate",
2020,data.Newfoundland and Labrador,,data.Persons in female lone-parent families,"data.Food insecure, moderate",20.6
2018,data.Newfoundland and Labrador,,data.Persons in female lone-parent families,"data.Food insecure, severe",
2019,data.Newfoundland and Labrador,,data.Persons in female lone-parent families,"data.Food insecure, severe",
2020,data.Newfoundland and Labrador,,data.Persons in female lone-parent families,"data.Food insecure, severe",18.6
2018,data.Newfoundland and Labrador,,data.Persons in other non-elderly families,"data.Food insecure, marginal",10.8
2019,data.Newfoundland and Labrador,,data.Persons in other non-elderly families,"data.Food insecure, marginal",
2020,data.Newfoundland and Labrador,,data.Persons in other non-elderly families,"data.Food insecure, marginal",
2018,data.Newfoundland and Labrador,,data.Persons in other non-elderly families,"data.Food insecure, moderate or severe",18.5
2019,data.Newfoundland and Labrador,,data.Persons in other non-elderly families,"data.Food insecure, moderate or severe",
2020,data.Newfoundland and Labrador,,data.Persons in other non-elderly families,"data.Food insecure, moderate or severe",14.6
2018,data.Newfoundland and Labrador,,data.Persons in other non-elderly families,"data.Food insecure, moderate",10.6
2019,data.Newfoundland and Labrador,,data.Persons in other non-elderly families,"data.Food insecure, moderate",
2020,data.Newfoundland and Labrador,,data.Persons in other non-elderly families,"data.Food insecure, moderate",
2018,data.Newfoundland and Labrador,,data.Persons in other non-elderly families,"data.Food insecure, severe",
2019,data.Newfoundland and Labrador,,data.Persons in other non-elderly families,"data.Food insecure, severe",
2020,data.Newfoundland and Labrador,,data.Persons in other non-elderly families,"data.Food insecure, severe",
2018,data.Newfoundland and Labrador,,data.Persons not in an economic family,"data.Food insecure, marginal",4.3
2019,data.Newfoundland and Labrador,,data.Persons not in an economic family,"data.Food insecure, marginal",7.0
2020,data.Newfoundland and Labrador,,data.Persons not in an economic family,"data.Food insecure, marginal",4.6
2018,data.Newfoundland and Labrador,,data.Persons not in an economic family,"data.Food insecure, moderate or severe",18.6
2019,data.Newfoundland and Labrador,,data.Persons not in an economic family,"data.Food insecure, moderate or severe",17.9
2020,data.Newfoundland and Labrador,,data.Persons not in an economic family,"data.Food insecure, moderate or severe",18.2
2018,data.Newfoundland and Labrador,,data.Persons not in an economic family,"data.Food insecure, moderate",11.8
2019,data.Newfoundland and Labrador,,data.Persons not in an economic family,"data.Food insecure, moderate",10.8
2020,data.Newfoundland and Labrador,,data.Persons not in an economic family,"data.Food insecure, moderate",10.0
2018,data.Newfoundland and Labrador,,data.Persons not in an economic family,"data.Food insecure, severe",6.8
2019,data.Newfoundland and Labrador,,data.Persons not in an economic family,"data.Food insecure, severe",7.1
2020,data.Newfoundland and Labrador,,data.Persons not in an economic family,"data.Food insecure, severe",8.2
2018,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,"data.Food insecure, marginal",4.8
2019,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,"data.Food insecure, marginal",
2020,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,"data.Food insecure, marginal",
2018,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,"data.Food insecure, moderate or severe",12.3
2019,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,"data.Food insecure, moderate or severe",6.0
2020,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,"data.Food insecure, moderate or severe",11.1
2018,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,"data.Food insecure, moderate",9.7
2019,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,"data.Food insecure, moderate",6.0
2020,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,"data.Food insecure, moderate",5.5
2018,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,"data.Food insecure, severe",
2019,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,"data.Food insecure, severe",
2020,data.Newfoundland and Labrador,,data.Elderly persons not in an economic family,"data.Food insecure, severe",
2018,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,"data.Food insecure, marginal",
2019,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,"data.Food insecure, marginal",
2020,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,"data.Food insecure, marginal",
2018,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,"data.Food insecure, moderate or severe",14.3
2019,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,"data.Food insecure, moderate or severe",
2020,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,"data.Food insecure, moderate or severe",
2018,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,"data.Food insecure, moderate",
2019,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,"data.Food insecure, moderate",
2020,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,"data.Food insecure, moderate",
2018,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,"data.Food insecure, severe",
2019,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,"data.Food insecure, severe",
2020,data.Newfoundland and Labrador,,data.Elderly males not in an economic family,"data.Food insecure, severe",
2018,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,"data.Food insecure, marginal",
2019,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,"data.Food insecure, marginal",
2020,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,"data.Food insecure, marginal",
2018,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,"data.Food insecure, moderate or severe",11.0
2019,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,"data.Food insecure, moderate or severe",7.1
2020,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,"data.Food insecure, moderate or severe",12.6
2018,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,"data.Food insecure, moderate",7.9
2019,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,"data.Food insecure, moderate",7.1
2020,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,"data.Food insecure, moderate",
2018,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,"data.Food insecure, severe",
2019,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,"data.Food insecure, severe",
2020,data.Newfoundland and Labrador,,data.Elderly females not in an economic family,"data.Food insecure, severe",
2018,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,"data.Food insecure, marginal",4.0
2019,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,"data.Food insecure, marginal",7.6
2020,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,"data.Food insecure, marginal",5.1
2018,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,"data.Food insecure, moderate or severe",22.1
2019,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,"data.Food insecure, moderate or severe",24.1
2020,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,"data.Food insecure, moderate or severe",23.1
2018,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,"data.Food insecure, moderate",13.0
2019,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,"data.Food insecure, moderate",13.3
2020,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,"data.Food insecure, moderate",13.1
2018,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,"data.Food insecure, severe",9.1
2019,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,"data.Food insecure, severe",10.9
2020,data.Newfoundland and Labrador,,data.Non-elderly persons not in an economic family,"data.Food insecure, severe",10.0
2018,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,"data.Food insecure, marginal",
2019,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,"data.Food insecure, marginal",
2020,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,"data.Food insecure, marginal",
2018,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,"data.Food insecure, moderate or severe",19.0
2019,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,"data.Food insecure, moderate or severe",22.3
2020,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,"data.Food insecure, moderate or severe",17.4
2018,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,"data.Food insecure, moderate",11.8
2019,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,"data.Food insecure, moderate",15.4
2020,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,"data.Food insecure, moderate",8.6
2018,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,"data.Food insecure, severe",7.2
2019,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,"data.Food insecure, severe",
2020,data.Newfoundland and Labrador,,data.Non-elderly males not in an economic family,"data.Food insecure, severe",8.7
2018,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,"data.Food insecure, marginal",
2019,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,"data.Food insecure, marginal",
2020,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,"data.Food insecure, marginal",
2018,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,"data.Food insecure, moderate or severe",26.5
2019,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,"data.Food insecure, moderate or severe",26.5
2020,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,"data.Food insecure, moderate or severe",31.1
2018,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,"data.Food insecure, moderate",14.7
2019,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,"data.Food insecure, moderate",10.6
2020,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,"data.Food insecure, moderate",19.4
2018,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,"data.Food insecure, severe",11.8
2019,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,"data.Food insecure, severe",15.9
2020,data.Newfoundland and Labrador,,data.Non-elderly females not in an economic family,"data.Food insecure, severe",11.7
2018,data.Prince Edward Island,,data.All persons,"data.Food insecure, marginal",5.0
2019,data.Prince Edward Island,,data.All persons,"data.Food insecure, marginal",5.4
2020,data.Prince Edward Island,,data.All persons,"data.Food insecure, marginal",5.7
2018,data.Prince Edward Island,11,data.All persons,"data.Food insecure, moderate or severe",12.3
2019,data.Prince Edward Island,11,data.All persons,"data.Food insecure, moderate or severe",13.2
2020,data.Prince Edward Island,11,data.All persons,"data.Food insecure, moderate or severe",10.7
2018,data.Prince Edward Island,,data.All persons,"data.Food insecure, moderate",7.4
2019,data.Prince Edward Island,,data.All persons,"data.Food insecure, moderate",8.7
2020,data.Prince Edward Island,,data.All persons,"data.Food insecure, moderate",6.3
2018,data.Prince Edward Island,,data.All persons,"data.Food insecure, severe",4.9
2019,data.Prince Edward Island,,data.All persons,"data.Food insecure, severe",4.5
2020,data.Prince Edward Island,,data.All persons,"data.Food insecure, severe",4.4
2018,data.Prince Edward Island,,data.Persons in economic families,"data.Food insecure, marginal",4.7
2019,data.Prince Edward Island,,data.Persons in economic families,"data.Food insecure, marginal",5.5
2020,data.Prince Edward Island,,data.Persons in economic families,"data.Food insecure, marginal",5.8
2018,data.Prince Edward Island,,data.Persons in economic families,"data.Food insecure, moderate or severe",11.7
2019,data.Prince Edward Island,,data.Persons in economic families,"data.Food insecure, moderate or severe",13.4
2020,data.Prince Edward Island,,data.Persons in economic families,"data.Food insecure, moderate or severe",10.3
2018,data.Prince Edward Island,,data.Persons in economic families,"data.Food insecure, moderate",7.6
2019,data.Prince Edward Island,,data.Persons in economic families,"data.Food insecure, moderate",8.8
2020,data.Prince Edward Island,,data.Persons in economic families,"data.Food insecure, moderate",6.3
2018,data.Prince Edward Island,,data.Persons in economic families,"data.Food insecure, severe",4.1
2019,data.Prince Edward Island,,data.Persons in economic families,"data.Food insecure, severe",4.7
2020,data.Prince Edward Island,,data.Persons in economic families,"data.Food insecure, severe",4.1
2018,data.Prince Edward Island,,data.Persons in elderly families,"data.Food insecure, marginal",
2019,data.Prince Edward Island,,data.Persons in elderly families,"data.Food insecure, marginal",
2020,data.Prince Edward Island,,data.Persons in elderly families,"data.Food insecure, marginal",3.2
2018,data.Prince Edward Island,,data.Persons in elderly families,"data.Food insecure, moderate or severe",
2019,data.Prince Edward Island,,data.Persons in elderly families,"data.Food insecure, moderate or severe",
2020,data.Prince Edward Island,,data.Persons in elderly families,"data.Food insecure, moderate or severe",
2018,data.Prince Edward Island,,data.Persons in elderly families,"data.Food insecure, moderate",
2019,data.Prince Edward Island,,data.Persons in elderly families,"data.Food insecure, moderate",
2020,data.Prince Edward Island,,data.Persons in elderly families,"data.Food insecure, moderate",
2018,data.Prince Edward Island,,data.Persons in elderly families,"data.Food insecure, severe",
2019,data.Prince Edward Island,,data.Persons in elderly families,"data.Food insecure, severe",
2020,data.Prince Edward Island,,data.Persons in elderly families,"data.Food insecure, severe",
2018,data.Prince Edward Island,,data.Persons in elderly couples,"data.Food insecure, marginal",
2019,data.Prince Edward Island,,data.Persons in elderly couples,"data.Food insecure, marginal",
2020,data.Prince Edward Island,,data.Persons in elderly couples,"data.Food insecure, marginal",
2018,data.Prince Edward Island,,data.Persons in elderly couples,"data.Food insecure, moderate or severe",
2019,data.Prince Edward Island,,data.Persons in elderly couples,"data.Food insecure, moderate or severe",
2020,data.Prince Edward Island,,data.Persons in elderly couples,"data.Food insecure, moderate or severe",
2018,data.Prince Edward Island,,data.Persons in elderly couples,"data.Food insecure, moderate",
2019,data.Prince Edward Island,,data.Persons in elderly couples,"data.Food insecure, moderate",
2020,data.Prince Edward Island,,data.Persons in elderly couples,"data.Food insecure, moderate",
2018,data.Prince Edward Island,,data.Persons in elderly couples,"data.Food insecure, severe",
2019,data.Prince Edward Island,,data.Persons in elderly couples,"data.Food insecure, severe",
2020,data.Prince Edward Island,,data.Persons in elderly couples,"data.Food insecure, severe",
2018,data.Prince Edward Island,,data.Persons in other elderly families,"data.Food insecure, marginal",
2019,data.Prince Edward Island,,data.Persons in other elderly families,"data.Food insecure, marginal",
2020,data.Prince Edward Island,,data.Persons in other elderly families,"data.Food insecure, marginal",
2018,data.Prince Edward Island,,data.Persons in other elderly families,"data.Food insecure, moderate or severe",
2019,data.Prince Edward Island,,data.Persons in other elderly families,"data.Food insecure, moderate or severe",
2020,data.Prince Edward Island,,data.Persons in other elderly families,"data.Food insecure, moderate or severe",
2018,data.Prince Edward Island,,data.Persons in other elderly families,"data.Food insecure, moderate",
2019,data.Prince Edward Island,,data.Persons in other elderly families,"data.Food insecure, moderate",
2020,data.Prince Edward Island,,data.Persons in other elderly families,"data.Food insecure, moderate",
2018,data.Prince Edward Island,,data.Persons in other elderly families,"data.Food insecure, severe",
2019,data.Prince Edward Island,,data.Persons in other elderly families,"data.Food insecure, severe",
2020,data.Prince Edward Island,,data.Persons in other elderly families,"data.Food insecure, severe",
2018,data.Prince Edward Island,,data.Persons in non-elderly families,"data.Food insecure, marginal",5.0
2019,data.Prince Edward Island,,data.Persons in non-elderly families,"data.Food insecure, marginal",6.2
2020,data.Prince Edward Island,,data.Persons in non-elderly families,"data.Food insecure, marginal",6.4
2018,data.Prince Edward Island,,data.Persons in non-elderly families,"data.Food insecure, moderate or severe",13.3
2019,data.Prince Edward Island,,data.Persons in non-elderly families,"data.Food insecure, moderate or severe",15.0
2020,data.Prince Edward Island,,data.Persons in non-elderly families,"data.Food insecure, moderate or severe",11.9
2018,data.Prince Edward Island,,data.Persons in non-elderly families,"data.Food insecure, moderate",8.8
2019,data.Prince Edward Island,,data.Persons in non-elderly families,"data.Food insecure, moderate",9.8
2020,data.Prince Edward Island,,data.Persons in non-elderly families,"data.Food insecure, moderate",7.2
2018,data.Prince Edward Island,,data.Persons in non-elderly families,"data.Food insecure, severe",4.5
2019,data.Prince Edward Island,,data.Persons in non-elderly families,"data.Food insecure, severe",5.2
2020,data.Prince Edward Island,,data.Persons in non-elderly families,"data.Food insecure, severe",4.7
2018,data.Prince Edward Island,,data.Persons in couples,"data.Food insecure, marginal",
2019,data.Prince Edward Island,,data.Persons in couples,"data.Food insecure, marginal",
2020,data.Prince Edward Island,,data.Persons in couples,"data.Food insecure, marginal",5.7
2018,data.Prince Edward Island,,data.Persons in couples,"data.Food insecure, moderate or severe",11.1
2019,data.Prince Edward Island,,data.Persons in couples,"data.Food insecure, moderate or severe",8.7
2020,data.Prince Edward Island,,data.Persons in couples,"data.Food insecure, moderate or severe",
2018,data.Prince Edward Island,,data.Persons in couples,"data.Food insecure, moderate",6.8
2019,data.Prince Edward Island,,data.Persons in couples,"data.Food insecure, moderate",
2020,data.Prince Edward Island,,data.Persons in couples,"data.Food insecure, moderate",
2018,data.Prince Edward Island,,data.Persons in couples,"data.Food insecure, severe",4.3
2019,data.Prince Edward Island,,data.Persons in couples,"data.Food insecure, severe",
2020,data.Prince Edward Island,,data.Persons in couples,"data.Food insecure, severe",
2018,data.Prince Edward Island,,data.Persons in couple families with children,"data.Food insecure, marginal",5.3
2019,data.Prince Edward Island,,data.Persons in couple families with children,"data.Food insecure, marginal",
2020,data.Prince Edward Island,,data.Persons in couple families with children,"data.Food insecure, marginal",
2018,data.Prince Edward Island,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",11.6
2019,data.Prince Edward Island,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",11.4
2020,data.Prince Edward Island,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",14.5
2018,data.Prince Edward Island,,data.Persons in couple families with children,"data.Food insecure, moderate",7.3
2019,data.Prince Edward Island,,data.Persons in couple families with children,"data.Food insecure, moderate",7.8
2020,data.Prince Edward Island,,data.Persons in couple families with children,"data.Food insecure, moderate",9.8
2018,data.Prince Edward Island,,data.Persons in couple families with children,"data.Food insecure, severe",
2019,data.Prince Edward Island,,data.Persons in couple families with children,"data.Food insecure, severe",
2020,data.Prince Edward Island,,data.Persons in couple families with children,"data.Food insecure, severe",
2018,data.Prince Edward Island,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",
2019,data.Prince Edward Island,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",
2020,data.Prince Edward Island,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",
2018,data.Prince Edward Island,,data.Persons in couple families with other relatives,"data.Food insecure, moderate or severe",
2019,data.Prince Edward Island,,data.Persons in couple families with other relatives,"data.Food insecure, moderate or severe",
2020,data.Prince Edward Island,,data.Persons in couple families with other relatives,"data.Food insecure, moderate or severe",
2018,data.Prince Edward Island,,data.Persons in couple families with other relatives,"data.Food insecure, moderate",
2019,data.Prince Edward Island,,data.Persons in couple families with other relatives,"data.Food insecure, moderate",
2020,data.Prince Edward Island,,data.Persons in couple families with other relatives,"data.Food insecure, moderate",
2018,data.Prince Edward Island,,data.Persons in couple families with other relatives,"data.Food insecure, severe",
2019,data.Prince Edward Island,,data.Persons in couple families with other relatives,"data.Food insecure, severe",
2020,data.Prince Edward Island,,data.Persons in couple families with other relatives,"data.Food insecure, severe",
2018,data.Prince Edward Island,,data.Persons in lone-parent families,"data.Food insecure, marginal",
2019,data.Prince Edward Island,,data.Persons in lone-parent families,"data.Food insecure, marginal",
2020,data.Prince Edward Island,,data.Persons in lone-parent families,"data.Food insecure, marginal",
2018,data.Prince Edward Island,,data.Persons in lone-parent families,"data.Food insecure, moderate or severe",34.5
2019,data.Prince Edward Island,,data.Persons in lone-parent families,"data.Food insecure, moderate or severe",43.1
2020,data.Prince Edward Island,,data.Persons in lone-parent families,"data.Food insecure, moderate or severe",32.7
2018,data.Prince Edward Island,,data.Persons in lone-parent families,"data.Food insecure, moderate",21.9
2019,data.Prince Edward Island,,data.Persons in lone-parent families,"data.Food insecure, moderate",26.9
2020,data.Prince Edward Island,,data.Persons in lone-parent families,"data.Food insecure, moderate",
2018,data.Prince Edward Island,,data.Persons in lone-parent families,"data.Food insecure, severe",
2019,data.Prince Edward Island,,data.Persons in lone-parent families,"data.Food insecure, severe",
2020,data.Prince Edward Island,,data.Persons in lone-parent families,"data.Food insecure, severe",
2018,data.Prince Edward Island,,data.Persons in male lone-parent families,"data.Food insecure, marginal",
